TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,DURABILITY,INPLAYTEXT,PLAYERCLASS,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
Dieser Diener hat +1/+1. <i>(+1 Angriff/+1 Leben)</i>,Missions,Enchantment,TU4c_006e,Banane,,,,,,,,,,,,,,,,
Verleiht einem befreundeten Diener +1/+1. <i>(+1 Angriff/+1 Leben)</i>,Missions,Spell,TU4c_006,Banane,Neutral,Common,1,,,,,,,,,,,,,
,Missions,Minion,TU4f_005,Braumeister,,Common,4,4,4,,,,,,,,,,,
Stellt 8 Leben wieder her.,Missions,Spell,TU4c_008,Der Wille Muklas,,Common,3,,,,,,,,,,,,,
König Mukla hat +8 Angriff in diesem Zug.,Missions,Enchantment,TU4c_008e,Die Macht Muklas,,,,,,OneTurnEffect,,,,,,,,,,
,Missions,Weapon,TU4e_007,Doppelkriegsgleven,,Common,6,4,,,2,,,,,,,,,
<b>Kampfschrei:</b> Wirft Bananen.,Missions,Minion,TU4f_007,Durchgedrehter Affe,,Common,1,1,2,Battlecry,,,,,,,,,,
Was ist in dem Fass?,Missions,Minion,TU4c_003,Fass,Neutral,Common,0,,2,Deathrattle,,,,,,,,,,
Verursacht 2 Schaden.,Missions,Spell,TU4c_002,Fasswurf,Neutral,Common,1,,,,,,,,,,,,,
,Missions,Minion,TU4e_002t,Flamme von Azzinoth,,Common,1,2,1,,,,,,,,,,,
<b>Heldenfähigkeit</b>
Beschwört zwei Diener (2/1).,Missions,Hero Power,TU4e_002,Flammen von Azzinoth,,,2,,,,,,,,,,,,,
Verschießt 5 Geschosse auf zufällige Feinde die jeweils $1 Schaden verursachen.,Missions,Spell,TU4e_005,Flammenexplosion,,Common,3,,,,,,,,,,,,,
,Missions,Minion,TU4a_003,Gnoll,,Common,1,1,1,,,,,,,,,,,
,Missions,Minion,TU4a_002,Gnoll der Flusspfoten,,Common,1,2,1,,,,,,,,,,,
,Missions,Hero,TU4d_001,Hemet Nesingwary,,Common,,,20,,,,Hunter,,,,,,,
,Missions,Hero,TU4a_001,Hogger,,Common,,,10,,,,,,,,,,,
Verursacht 4 Schaden.,Missions,Spell,TU4a_004,Hogger ZERQUETSCHT!,,Common,3,,,,,,,,,,,,,
,Missions,Hero,TU4e_001,Illidan Sturmgrimm,,,,,30,,,,Hunter,,,,,,,
,Missions,Hero,TU4a_006,Jaina Prachtmeer,,Common,,,27,,,,Mage,,,,,,,
,Missions,Hero,TU4c_001,König Mukla,,Common,,,26,,,,,,,,,,,
