SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,PLAYERCLASS,COLLECTIBLE,HEALTH,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,MECHANICS,DURABILITY,ATTACK,RACE,INPLAYTEXT
Basic,Aderlass,Neutral,<b>Heldenfähigkeit</b>Zieht eine Karte und erleidet 2 Schaden.,Free,2,Hero Power,CS2_056,Warlock,,,,,,,,,,,
Basic,AFK,,Eure Züge sind kürzer.,,,Enchantment,GAME_004,,,,,,,,,,,,
Basic,Amoklauf,,Dieser Diener hat erhöhten Angriff.,,,Enchantment,EX1_399e,,,,,,,,,,,,
Basic,Anduin Wrynn,Neutral,,Free,,Hero,HERO_09,Priest,True,30,,,,,,,,,
Basic,Angespornt,,Der Schlachtzugsleiter verleiht diesem Diener +1 Angriff.,,,Enchantment,CS2_122e,,,,,,,,,,,,
Basic,Anregen,Neutral,Erhaltet 2 Manakristalle nur für diesen Zug.,Free,0,Spell,EX1_169,Druid,True,,Doug Alexander,Wird auf Stufe 36 freigeschaltet.,Einige Druiden haben noch immer Alpträume von Fremden die ihnen „Gib mir Anregen!!!“ zurufen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Arkane Explosion,Neutral,Fügt allen feindlichen Dienern $1 Schaden zu.,Free,2,Spell,CS2_025,Mage,True,,Howard Lyon,Wird auf Stufe 28 freigeschaltet.,Viel besser als Arkane Implosion.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Arkane Geschosse,Neutral,Verursacht $3 Schaden der zufällig auf alle Feinde verteilt wird.,Free,1,Spell,EX1_277,Mage,True,,Warren Mahy,Wird auf Stufe 32 freigeschaltet.,Man möchte glauben dass Ihr Eure Geschosse etwas besser kontrollieren könntet nun da Ihr ein mächtiger Magier und so weiter seid.,Wird auf Stufe 1 freigeschaltet.,ImmuneToSpellpower,,,,
Basic,Arkane Intelligenz,Neutral,Zieht 2 Karten.,Free,3,Spell,CS2_023,Mage,True,,Dave Berggren,Wird auf Stufe 15 freigeschaltet.,Das Ausspielen dieser Karte macht Euch KLÜGER. Und ganz ehrlich gesagt ein bisschen mehr Intelligenz könnten wir alle vertragen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Arkaner Schuss,Neutral,Verursacht $2 Schaden.,Free,1,Spell,DS1_185,Hunter,True,,Luca Zontini,Wird auf Stufe 32 freigeschaltet.,Früher verkauften Magier diese arkanen Pfeile an Jäger doch als die Jäger genug Magie erlernt hatten um sie selbst herzustellen machte Sturmwind aufgrund des damit verbundenen Verlusts an Arbeitsplätzen eine Rezession durch.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Arkanitschnitter,Neutral,,Common,5,Weapon,CS2_112,Warrior,True,,Stefan Kopinski,Wird auf Stufe 51 freigeschaltet.,Ihn zu tragen heißt noch lange nicht dass man sich wie die Axt im Walde aufführen sollte.,Wird auf Stufe 10 freigeschaltet.,,2,5,,
Basic,Attentat,Neutral,Vernichtet einen feindlichen Diener.,Free,5,Spell,CS2_076,Rogue,True,,Glenn Rane,Wird auf Stufe 47 freigeschaltet.,Über Risiken und Nebenwirkungen braucht Ihr Euch keine Gedanken zu machen.,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Aufrüsten!,Neutral,<b>Heldenfähigkeit</b>Erhaltet 2 Rüstung.,Free,2,Hero Power,CS2_102,Warrior,,,,,,,,,,,
Basic,Avatar der Münze,,<i>Ihr habt den Münzwurf verloren aber einen Freund gewonnen.</i>,Free,0,Minion,GAME_002,,,1,,,,,,,1,,
Basic,Banner der Frostwölfe,,Erhöhte Werte.,,,Enchantment,CS2_226e,,,,,,,,,,,,
Basic,Blaukiemenkrieger,Neutral,<b>Ansturm</b>,Common,2,Minion,CS2_173,,True,1,Jakub Kasper,Wird freigeschaltet wenn Ihr als Paladin Stufe 53 erreicht.,Er will Euch doch nur umarmen. Auf äußerst glibberige Art und Weise.,,Charge,,2,Murloc,
Basic,Blutelfenklerikerin,Neutral,<b>Kampfschrei:</b> Verleiht einem befreundeten Diener +1/+1.,Common,3,Minion,EX1_019,,True,2,Doug Alexander,Wird freigeschaltet wenn Ihr als Priester Stufe 53 erreicht.,Sie hat immer eine Dose Sonnenbrunnen-Energydrink™ dabei!,,Battlecry,,3,,
Basic,Blutsauger,Neutral,Verursacht $2 Schaden. Stellt bei Eurem Helden #2 Leben wieder her.,Free,3,Spell,CS2_061,Warlock,True,,Alex Horley Orlandelli,Wird auf Stufe 45 freigeschaltet.,„Ich habe Euch gerade ein Jahr Eures Lebens ausgesaugt.“,Wird auf Stufe 1 freigeschaltet.,,,,,
Basic,Blutsumpfraptor,Horde,,Free,2,Minion,CS2_172,,True,2,Dan Brereton,Wird freigeschaltet wenn Ihr als Jäger Stufe 57 erreicht.,„Tötet 30 Raptoren.“ – Hemet Nesingwary,,,,3,Beast,
Basic,Champion von Sturmwind,Alliance,Eure anderen Diener haben +1/+1.,Common,7,Minion,CS2_222,,True,6,Doug Alexander,Wird freigeschaltet wenn Ihr als Paladin Stufe 59 erreicht.,Todesschwinge hat ihm bei seinem Angriff auf die Hauptstadt einen Mordsschrecken eingejagt. Jetzt traut er sich kaum noch allein auf die Straße.,,Aura,,6,,
Basic,Demut,Neutral,Setzt den Angriff eines Dieners auf 1.,Common,1,Spell,EX1_360,Paladin,True,,Daren Bader,Wird auf Stufe 28 freigeschaltet.,Demut wie in „den Gegner demütigen“.,Wird auf Stufe 6 freigeschaltet.,,,,,
Basic,Demut,Neutral,Angriff auf 1 gesetzt.,,,Enchantment,EX1_360e,Paladin,,,,,,,,,,,
Basic,Die Macht Sturmwinds,,+1/+1.,,,Enchantment,CS2_222o,,,,,,,,,,,,
Basic,Die Münze,,,,,Enchantment,GAME_005e,,,,,,,,,,,,
Basic,Die Münze,,Erhaltet 1 Manakristall nur für diesen Zug.,,,Spell,GAME_005,,,,,,,,,,,,
Basic,Dolchbeherrschung,Neutral,<b>Heldenfähigkeit</b>Legt einen Dolch (1/2) an.,Free,2,Hero Power,CS2_083b,Rogue,,,,,,,,,,,
Basic,Dolchfächer,Neutral,Fügt allen feindlichen Dienern $1 Schaden zu. Zieht eine Karte.,Common,3,Spell,EX1_129,Rogue,True,,Andrew Robinson,Wird auf Stufe 29 freigeschaltet.,Macht nicht einfachen nicht zweifachen sondern gleich dolchfachen Schaden!,Wird auf Stufe 4 freigeschaltet.,,,,,
