SET,NAME,TEXT,COST,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,MECHANICS,ELITE,ATTACK,HEALTH,RACE,DURABILITY,FACTION
Blackrock Mountain,Absteigen,<b>Heldenfähigkeit</b>Ruft Gyth herbei. Erhaltet eine neue Heldenfähigkeit.,4,Hero Power,BRMA09_5H,,,,,,,,,,,,,,
Blackrock Mountain,Absteigen,<b>Heldenfähigkeit</b>Ruft Gyth herbei. Erhaltet eine neue Heldenfähigkeit.,4,Hero Power,BRMA09_5,,,,,,,,,,,,,,
Blackrock Mountain,Aktivieren!,<b>Heldenfähigkeit</b>Aktiviert eine zufällige Tron-Einheit.,4,Hero Power,BRMA14_10,,,,,,,,,,,,,,
Blackrock Mountain,Aktivieren!,<b>Heldenfähigkeit</b>Aktiviert eine zufällige Tron-Einheit.,2,Hero Power,BRMA14_10H,,,,,,,,,,,,,,
Blackrock Mountain,Andächtige Totenwache,Zieht 2 Karten. Kostet (1) weniger für jeden Diener der in diesem Zug gestorben ist.,5,Spell,BRM_001,True,Jaime Jones,Common,Kann nach dem Abschluss der Paladinherausforderung im Schwarzfels hergestellt werden.,Jedes Jahr versammeln sich Angehörige beim Schwarzfels um derer zu gedenken die in die Lava hinein gedankenkontrolliert wurden.,Wird durch das Abschließen der Paladinherausforderung im Schwarzfels freigeschaltet.,Paladin,,,,,,,
Blackrock Mountain,Arkanotron,<b>Zauberschaden +2</b> für beide Spieler.,0,Minion,BRMA14_3,,,Legendary,,,,,Spellpower,True,2,2,Mech,,
Blackrock Mountain,Arkanotron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Arkanotron!,0,Hero Power,BRMA14_2H,,,,,,,,,,,,,,
Blackrock Mountain,Arkanotron aktivieren,<b>Heldenfähigkeit</b>Aktiviert Arkanotron!,2,Hero Power,BRMA14_2,,,,,,,,,,,,,,
Blackrock Mountain,Atramedes,,,Hero,BRMA16_1H,,,,,,,,,,,30,,,
Blackrock Mountain,Atramedes,,,Hero,BRMA16_1,,,,,,,,,,,30,,,
Blackrock Mountain,Auf sie mit Gebrüll!,Ruft vier Zwerge (1/1) mit <b>Spott</b> herbei.,3,Spell,BRMA01_4,,,,,,,,,,,,,,
Blackrock Mountain,Auferstehung,Ruft einen zufälligen verbündeten Diener herbei der in dieser Partie gestorben ist.,2,Spell,BRM_017,True,Luke Mancini,Rare,Kann nach dem Sieg über Imperator Thaurissan in den Schwarzfelstiefen hergestellt werden.,„Ich betrat den Dungeon und sah einen getöteten Abenteurer. Mit letzter Kraft hatte er eine Nachricht in die Wand eingeritzt. Es waren nur zwei Worte: afk brb.“,Wird durch den Sieg über Imperator Thaurissan in den Schwarzfelstiefen freigeschaltet.,Priest,,,,,,,
