SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
"Credits","Andy Brock",True,"Kann nicht zum <b>Schweigen</b> gebracht werden. <b>Gottesschild</b> <b>Verstohlenheit</b>.","Legendary",1,1,3,"Minion","CRED_15"
"Credits","Ben Brode",True,"Die Lautstärke kann nicht unter den Maximalwert fallen.","Legendary",4,3,1,"Minion","CRED_08"
"Credits","Ben Thompson",True,"<b>Kampfschrei:</b> Zeichnet einen Diener herbei.","Legendary",4,6,7,"Minion","CRED_09"
"Credits","Bob Fitch",True,"<b>Super-Spott</b> <i>(JEDER Charakter muss diesen Diener angreifen.)</i>","Legendary",2,3,4,"Minion","CRED_03"
"Credits","Brian Schwab",True,"Verleiht am Ende Eures Zuges einem zufälligen Diener +1 Angriff.","Legendary",10,10,10,"Minion","CRED_13"
"Credits","Derek Sakamoto",True,"<i>Meister im Fußklatschen.</i>","Legendary",3,1,1,"Minion","CRED_06"
"Credits","Eric Dodds",True,"<b>Kampfschrei:</b> Ruft einen Piraten (2/2) herbei und vernichtet alle Ninjas.","Legendary",5,6,5,"Minion","CRED_02"
"Credits","Hamilton Chu",True,"<i>War erfolgreich NICHT Teil des Problems – meistens zumindest.</i>","Legendary",9,7,5,"Minion","CRED_16"
"Credits","Jason Chayes",True,"<b>Wutanfall:</b> Kleiner Scherz! Er hat nie Wutanfälle.","Legendary",7,6,6,"Minion","CRED_01"
"Credits","Jay Baxter",True,"<b>Kampfschrei:</b> Konstruiert FÜNF zufällige Erfindungen.","Legendary",1,4,4,"Minion","CRED_11"
"Credits","Kyle Harrison",True,"<i>3 für einen Diener mit 5/4? Kein schlechter Tausch!</i>","Legendary",5,3,4,"Minion","CRED_05"
"Credits","Michael Schweitzer",True,"<b>C-C-C-COMBO:</b> Vernichtet einen Diener.","Legendary",2,2,2,"Minion","CRED_10"
"Credits","Rachelle Davis",True,"<b>Kampfschrei:</b> Zieht ZWEI Karten. <i>Sie ist kein Ingenieurslehrling.</i>","Legendary",1,2,2,"Minion","CRED_12"
"Credits","Rob Pardo",True,"Ohne diesen Diener im Deck kann kein Spiel gestartet werden.","Legendary",9,9,9,"Minion","CRED_17"
"Credits","Steven Gabriel",True,"<b>Kampfschrei:</b> Beschwört ein stark schäumendes Getränk herbei.","Legendary",3,1,3,"Minion","CRED_04"
"Credits","Yong Woo",True,"Eure anderen Diener haben +3 Angriff und <b>Ansturm</b>.","Legendary",3,5,2,"Minion","CRED_14"
"Credits","Zwick",True,"<b>Kampfschrei:</b> Beschwert Euch über die Bacon-Preise.","Legendary",2,2,2,"Minion","CRED_07"
