MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,ELITE,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,PLAYERCLASS,RACE
Aura,Curse of Naxxramas,Anbeter,Euer Held hat +3 Angriff wenn Ihr am Zug seid.,2,3,4,Minion,NAX2_05H,,,,,,,,,,
Aura,Curse of Naxxramas,Anbeter,Euer Held hat +1 Angriff wenn Ihr am Zug seid.,1,3,4,Minion,NAX2_05,,,,,,,,,,
,Curse of Naxxramas,Anub&sbquo;Rekhan,,,,45,Hero,NAX1h_01,,,,,,,,,,
,Curse of Naxxramas,Anub&sbquo;Rekhan,,,,30,Hero,NAX1_01,,,,,,,,,,
,Curse of Naxxramas,Baron Totenschwur,,,,7,Hero,NAX9_01,,,,,,,,,,
Aura,Curse of Naxxramas,Baron Totenschwur,Die <b>Todesröcheln</b>-Effekte Eurer Diener werden 2-mal ausgelöst.,1,4,7,Minion,FP1_031,True,Ralph Horsley,True,Legendary,Kann nach dem Abschluss des Militärviertels hergestellt werden.,Fünf kleine Reiterlein bestritten ein Turnier um einen war es schnell geschehn da waren&sbquo;s nur noch vier.,Wird durch das Abschließen des Militärviertels freigeschaltet.,,,
,Curse of Naxxramas,Baron Totenschwur,,,,14,Hero,NAX9_01H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Biss des Todes,<b>Todesröcheln:</b> Fügt allen Dienern 1 Schaden zu.,4,4,,Weapon,FP1_021,True,Jim Nelson,,Common,Kann nach dem Abschluss der Klassenherausforderung des Kriegers in Naxxramas hergestellt werden.,Darf&sbquo;s ein Biss&sbquo;chen Tod sein?,Wird durch das Abschließen der Klassenherausforderung des Kriegers in Naxxramas freigeschaltet.,2,Warrior,
,Curse of Naxxramas,Dezimieren,<b>Heldenfähigkeit</b>
Setzt das Leben aller Diener auf 1.,,2,,Hero Power,NAX12_02,,,,,,,,,,
