MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,FACTION,DURABILITY
Charge,Blackrock Mountain,Aberration,<b>Charge</b>,1,1,1,Minion,BRMA15_4,,,,,,,,,,,
,Blackrock Mountain,Activate Arcanotron,<b>Hero Power</b>Activate Arcanotron!,,2,,Hero Power,BRMA14_2,,,,,,,,,,,
,Blackrock Mountain,Activate Arcanotron,<b>Hero Power</b>Activate Arcanotron!,,0,,Hero Power,BRMA14_2H,,,,,,,,,,,
,Blackrock Mountain,Activate Electron,<b>Hero Power</b>Activate Electron!,,6,,Hero Power,BRMA14_6,,,,,,,,,,,
,Blackrock Mountain,Activate Electron,<b>Hero Power</b>Activate Electron!,,4,,Hero Power,BRMA14_6H,,,,,,,,,,,
,Blackrock Mountain,Activate Magmatron,<b>Hero Power</b>Activate Magmatron!,,8,,Hero Power,BRMA14_8,,,,,,,,,,,
,Blackrock Mountain,Activate Magmatron,<b>Hero Power</b>Activate Magmatron!,,6,,Hero Power,BRMA14_8H,,,,,,,,,,,
,Blackrock Mountain,Activate Toxitron,<b>Hero Power</b>Activate Toxitron!,,4,,Hero Power,BRMA14_4,,,,,,,,,,,
,Blackrock Mountain,Activate Toxitron,<b>Hero Power</b>Activate Toxitron!,,2,,Hero Power,BRMA14_4H,,,,,,,,,,,
,Blackrock Mountain,Activate!,<b>Hero Power</b>Activate a random Tron.,,4,,Hero Power,BRMA14_10,,,,,,,,,,,
,Blackrock Mountain,Activate!,<b>Hero Power</b>Activate a random Tron.,,2,,Hero Power,BRMA14_10H,,,,,,,,,,,
Spellpower,Blackrock Mountain,Arcanotron,Both players have <b>Spell Damage +2</b>.,2,0,2,Minion,BRMA14_3,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1,,,,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1H,,,,,,,,,,,
,Blackrock Mountain,Axe Flinger,Whenever this minion takes damage deal 2 damage to the enemy hero.,2,4,5,Minion,BRM_016,,Common,,True,Efrem Palacios,Can be crafted after completing the Warrior Class Challenge in Blackrock Mountain.,Once a lowly &bdquo;Stick Flinger&bdquo; he&sbquo;s been relentless on the path to his ultimate dream: &bdquo;Tauren Flinger&bdquo;.,Unlocked by completing the Warrior Class Challenge in Blackrock Mountain.,Warrior,,
,Blackrock Mountain,Baron Geddon,,,,30,Hero,BRMA05_1,,,,,,,,,,,
,Blackrock Mountain,Baron Geddon,,,,50,Hero,BRMA05_1H,,,,,,,,,,,
,Blackrock Mountain,Black Whelp,,2,1,1,Minion,BRM_022t,,Common,Dragon,,Jaemin Kim,,,,,,
