MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,ELITE,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY
OneTurnEffect,"Classic","'Inspired'","This minion has +2 Attack this turn.","Enchantment","CS2_188o",,,,,,,,,,,,,
Deathrattle|Taunt,"Classic","Abomination","<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.","Minion","EX1_097",True,"Neutral","Alex Horley Orlandelli","Rare",4,5,4,"Abominations enjoy Fresh Meat and long walks on the beach.",,,,,
Battlecry,"Classic","Abusive Sergeant","<b>Battlecry:</b> Give a minion +2 Attack this turn.","Minion","CS2_188",True,"Alliance","Luca Zontini","Common",2,1,1,"ADD ME TO YOUR DECK MAGGOT!",,,,,
,"Classic","Acolyte of Pain","Whenever this minion takes damage draw a card.","Minion","EX1_007",True,,"Dave Kendall","Common",1,3,3,"He trained when he was younger to be an acolyte of joy but things didn’t work out like he thought they would.",,,,,
Charge|Divine Shield|Taunt|Windfury,"Classic","Al'Akir the Windlord","<b>Windfury Charge Divine Shield Taunt</b>","Minion","NEW1_010",True,,"Raymond Swanland","Legendary",3,8,5,"He is the weakest of the four Elemental Lords.  And the other three don't let him forget it.",True,"Shaman",,,
,"Classic","Alarm-o-Bot","At the start of your turn swap this minion with a random one in your hand.","Minion","EX1_006",True,,"Sean O’Daniels","Rare",0,3,3,"WARNING.  WARNING.  WARNING.",,,"Mech",,
Battlecry,"Classic","Aldor Peacekeeper","<b>Battlecry:</b> Change an enemy minion's Attack to 1.","Minion","EX1_382",True,"Neutral","Dany Orizio","Rare",3,3,3,"The Aldor hate two things: the Scryers and smooth jazz.",,"Paladin",,,
Battlecry,"Classic","Alexstrasza","<b>Battlecry:</b> Set a hero's remaining Health to 15.","Minion","EX1_561",True,"Neutral","Raymond Swanland","Legendary",8,9,8,"Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.",True,,"Dragon",,
,"Classic","Alexstrasza's Fire","Health set to 15.","Enchantment","EX1_561e",,,,,,,,,,,,,
Enrage,"Classic","Amani Berserker","<b>Enrage:</b> +3 Attack","Minion","EX1_393",True,"Neutral","Chippy","Common",2,2,3,"If an Amani berserker asks "Joo lookin' at me?!" the correct response is "Nah mon".",,,,,
,"Classic","Ancestral Spirit","Give a minion "<b>Deathrattle:</b> Resummon this minion."","Spell","CS2_038",True,"Neutral","Zoltan & Gabor","Rare",,2,,"It was just a flesh wound.",,"Shaman",,,
,"Classic","Ancestral Spirit","<b>Deathrattle:</b> Resummon this minion.","Enchantment","CS2_038e",,,,,,,,,,"Shaman",,,
