MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,HOWTOGETGOLD,FLAVOR,HOWTOGET,TYPE,ID,PLAYERCLASS,ELITE,DURABILITY,RACE
Deathrattle,True,Curse of Naxxramas,Anub&sbquo;ar Ambusher,Nate Bowden,<b>Deathrattle:</b> Return a random friendly minion to your hand.,Common,5,4,5,Can be crafted after completing the Rogue Class Challenge in Naxxramas.,Originally he was called &bdquo;Anub&sbquo;ar Guy who bounces a guy back to your hand&bdquo; but it lacked a certain zing.,Unlocked by completing the Rogue Class Challenge in Naxxramas.,Minion,FP1_026,Rogue,,,
,,Curse of Naxxramas,Anub&sbquo;Rekhan,,,,,,45,,,,Hero,NAX1h_01,,,,
,,Curse of Naxxramas,Anub&sbquo;Rekhan,,,,,,30,,,,Hero,NAX1_01,,,,
Secret,True,Curse of Naxxramas,Avenge,Zoltan & Gabor,<b>Secret:</b> When one of your minions dies give a random friendly minion +3/+2.,Common,,1,,Can be crafted after completing the Paladin Class Challenge in Naxxramas.,Several paladins have joined together to deliver justice under the name &bdquo;Justice Force.&bdquo;  Their lawyer talked them out of calling themselves the Justice League.,Unlocked by completing the Paladin Class Challenge in Naxxramas.,Spell,FP1_020,Paladin,,,
,,Curse of Naxxramas,Baron Rivendare,,,,,,7,,,,Hero,NAX9_01,,,,
,,Curse of Naxxramas,Baron Rivendare,,,,,,14,,,,Hero,NAX9_01H,,,,
Aura,True,Curse of Naxxramas,Baron Rivendare,Ralph Horsley,Your minions trigger their <b>Deathrattles</b> twice.,Legendary,1,4,7,Can be crafted after completing the Military Quarter.,There used to be five Horsemen but one of them left because a job opened up in the deadmines and the benefits were better.,Unlocked by completing the Military Quarter.,Minion,FP1_031,,True,,
,,Curse of Naxxramas,Chains,,<b>Hero Power</b>
Take control of a random enemy minion.,,,8,,,,,Hero Power,NAX15_04H,,,,
,,Curse of Naxxramas,Chains,,<b>Hero Power</b>
Take control of a random enemy minion until end of turn.,,,8,,,,,Hero Power,NAX15_04,,,,
,,Curse of Naxxramas,Consume,,Increased stats.,,,,,,,,Enchantment,FP1_005e,,,,
Deathrattle,True,Curse of Naxxramas,Dancing Swords,Jon McConnell,<b>Deathrattle:</b> Your opponent draws a card.,Common,4,3,4,Can be crafted after defeating Instructor Razuvious in the Military Quarter.,They like to dance to reggae.,Unlocked by defeating Instructor Razuvious in the Military Quarter.,Minion,FP1_029,,,,
Deathrattle,True,Curse of Naxxramas,Dark Cultist,Phroilan Gardner,<b>Deathrattle:</b> Give a random friendly minion +3 Health.,Common,3,3,4,Can be crafted after completing the Priest Class Challenge in Naxxramas.,The Cult of the Damned has found it&sbquo;s best not to mention their name when recruiting new cultists.,Unlocked by completing the Priest Class Challenge in Naxxramas.,Minion,FP1_023,Priest,,,
,,Curse of Naxxramas,Darkness Calls,,Increased stats.,,,,,,,,Enchantment,FP1_028e,,,,
Deathrattle,True,Curse of Naxxramas,Death&sbquo;s Bite,Jim Nelson,<b>Deathrattle:</b> Deal 1 damage to all minions.,Common,4,4,,Can be crafted after completing the Warrior Class Challenge in Naxxramas.,&bdquo;Take a bite outta Death.&bdquo; - McScruff the Deathlord,Unlocked by completing the Warrior Class Challenge in Naxxramas.,Weapon,FP1_021,Warrior,,2,
,,Curse of Naxxramas,Deathbloom,,Deal $5 damage to a minion. Summon a Spore.,,,4,,,,,Spell,NAX6_03,,,,
Charge|Deathrattle,,Curse of Naxxramas,Deathcharger,,<b>Charge. Deathrattle:</b> Deal 3 damage to your hero.,,2,1,3,,,,Minion,FP1_006,,,,
Deathrattle|Taunt,True,Curse of Naxxramas,Deathlord,Ben Olson,<b>Taunt. Deathrattle:</b> Your opponent puts a minion from their deck into the battlefield.,Rare,2,3,8,Can be crafted after defeating The Four Horsemen in the Military Quarter.,&bdquo;Rise from your grave!&bdquo; - Kel&sbquo;Thuzad,Unlocked by defeating The Four Horsemen in the Military Quarter.,Minion,FP1_009,,,,
,,Curse of Naxxramas,Decimate,,Health changed to 1.,,,,,,,,Enchantment,NAX12_02e,,,,
,,Curse of Naxxramas,Decimate,,<b>Hero Power</b>
Change the Health of all minions to 1.,,,2,,,,,Hero Power,NAX12_02,,,,
,,Curse of Naxxramas,Decimate,,<b>Hero Power</b>
Change the Health of enemy minions to 1.,,,0,,,,,Hero Power,NAX12_02H,,,,
Secret,True,Curse of Naxxramas,Duplicate,Alex Garner,<b>Secret:</b> When a friendly minion dies put 2 copies of it into your hand.,Common,,3,,Can be crafted after completing the Mage Class Challenge in Naxxramas.,The one time when duping cards won&sbquo;t get your account banned!,Unlocked by completing the Mage Class Challenge in Naxxramas.,Spell,FP1_018,Mage,,,
Battlecry,True,Curse of Naxxramas,Echoing Ooze,Eric Browning,<b>Battlecry:</b> Summon an exact copy of this minion at the end of the turn.,Epic,1,2,2,Can be crafted after defeating Sapphiron in the Frostwyrm Lair.,OOZE... Ooze... Ooze... (ooze...),Unlocked by defeating Sapphiron in the Frostwyrm Lair.,Minion,FP1_003,,,,
OneTurnEffect,,Curse of Naxxramas,Enrage,,+6 Attack this turn.,,,,,,,,Enchantment,NAX12_04e,,,,
,,Curse of Naxxramas,Enrage,,Give your hero +6 Attack this turn.,,,3,,,,,Spell,NAX12_04,,,,
,,Curse of Naxxramas,Eruption,,<b>Hero Power</b>
Deal 3 damage to the left-most enemy minion.,,,0,,,,,Hero Power,NAX5_02H,,,,
,,Curse of Naxxramas,Eruption,,<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.,,,1,,,,,Hero Power,NAX5_02,,,,
,,Curse of Naxxramas,Extra Teeth,,Increased Attack.,,,,,,,,Enchantment,NAX12_03e,,,,
,,Curse of Naxxramas,Fallout Slime,,,,2,1,2,,,,Minion,NAX11_03,,,,
,,Curse of Naxxramas,Feugen,,,Legendary,4,5,7,,,,Minion,NAX13_04H,,True,,
Deathrattle,True,Curse of Naxxramas,Feugen,Dany Orizio,<b>Deathrattle:</b> If Stalagg also died this game summon Thaddius.,Legendary,4,5,7,Can be crafted after completing the Construct Quarter.,Feugen is sad because everyone likes Stalagg better.,Unlocked by completing the Construct Quarter.,Minion,FP1_015,,True,,
Freeze,,Curse of Naxxramas,Frost Blast,,<b>Hero Power</b>
Deal 2 damage to the enemy hero and <b>Freeze</b> it.,,,0,,,,,Hero Power,NAX15_02,,,,
Freeze,,Curse of Naxxramas,Frost Blast,,<b>Hero Power</b>
Deal 3 damage to the enemy hero and <b>Freeze</b> it.,,,0,,,,,Hero Power,NAX15_02H,,,,
,,Curse of Naxxramas,Frost Breath,,<b>Hero Power</b>
Destroy all enemy minions that aren&sbquo;t <b>Frozen</b>.,,,0,,,,,Hero Power,NAX14_02,,,,
Aura,,Curse of Naxxramas,Frozen Champion,,Permanently Frozen.  Adjacent minions are Immune to Frost Breath.,,2,5,10,,,,Minion,NAX14_03,,,,
,,Curse of Naxxramas,Fungal Growth,,Increased Attack.,,,,,,,,Enchantment,NAX6_03te,,,,
,,Curse of Naxxramas,Gluth,,,,,,45,,,,Hero,NAX12_01H,,,,
,,Curse of Naxxramas,Gluth,,,,,,30,,,,Hero,NAX12_01,,,,
,,Curse of Naxxramas,Gothik the Harvester,,,,,,30,,,,Hero,NAX8_01,,,,
,,Curse of Naxxramas,Gothik the Harvester,,,,,,45,,,,Hero,NAX8_01H,,,,
,,Curse of Naxxramas,Grand Widow Faerlina,,,,,,45,,,,Hero,NAX2_01H,,,,
,,Curse of Naxxramas,Grand Widow Faerlina,,,,,,30,,,,Hero,NAX2_01,,,,
,,Curse of Naxxramas,Grobbulus,,,,,,45,,,,Hero,NAX11_01H,,,,
,,Curse of Naxxramas,Grobbulus,,,,,,30,,,,Hero,NAX11_01,,,,
Taunt,,Curse of Naxxramas,Guardian of Icecrown,,<b>Taunt</b>,,5,4,5,,,,Minion,NAX15_03t,,,,
Taunt,,Curse of Naxxramas,Guardian of Icecrown,,<b>Taunt</b>,,3,4,3,,,,Minion,NAX15_03n,,,,
,,Curse of Naxxramas,Harvest,,<b>Hero Power</b>
Draw a card.,,,2,,,,,Hero Power,NAX8_02,,,,
,,Curse of Naxxramas,Harvest,,<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.,,,1,,,,,Hero Power,NAX8_02H,,,,
,,Curse of Naxxramas,Hateful Strike,,<b>Hero Power</b>
Destroy a minion.,,,4,,,,,Hero Power,NAX10_03H,,,,
,,Curse of Naxxramas,Hateful Strike,,<b>Hero Power</b>
Destroy a minion.,,,4,,,,,Hero Power,NAX10_03,,,,
Deathrattle,True,Curse of Naxxramas,Haunted Creeper,Jeremy Cranford,<b>Deathrattle:</b> Summon two 1/1 Spectral Spiders.,Common,1,2,2,Can be crafted after defeating Anub&sbquo;Rekhan in the Arachnid Quarter.,Arachnofauxbia: Fear of fake spiders.,Unlocked by defeating Anub&sbquo;Rekhan in the Arachnid Quarter.,Minion,FP1_002,,,,Beast
,,Curse of Naxxramas,Heigan the Unclean,,,,,,30,,,,Hero,NAX5_01,Warlock,,,
,,Curse of Naxxramas,Heigan the Unclean,,,,,,45,,,,Hero,NAX5_01H,Warlock,,,
Deathrattle,,Curse of Naxxramas,Hook,,<b>Deathrattle:</b> Put this weapon into your hand.,,5,3,,,,,Weapon,NAX10_02,,,8,
Deathrattle|Windfury,,Curse of Naxxramas,Hook,,<b>Windfury</b>
<b>Deathrattle:</b> Put this weapon into your hand.,,4,3,,,,,Weapon,NAX10_02H,,,8,
,,Curse of Naxxramas,Instructor Razuvious,,,,,,55,,,,Hero,NAX7_01H,,,,
,,Curse of Naxxramas,Instructor Razuvious,,,,,,40,,,,Hero,NAX7_01,,,,
,,Curse of Naxxramas,Interloper!,,,,,,,,,,Enchantment,NAX15_01He,,,,
,,Curse of Naxxramas,Interloper!,,,,,,,,,,Enchantment,NAX15_01e,,,,
,,Curse of Naxxramas,Jaws,,Whenever a minion with <b>Deathrattle</b> dies gain +2 Attack.,,1,1,,,,,Weapon,NAX12_03,,,5,
,,Curse of Naxxramas,Jaws,,Whenever a minion with <b>Deathrattle</b> dies gain +2 Attack.,,3,1,,,,,Weapon,NAX12_03H,,,5,
,,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,,,45,,,,Hero,NAX15_01H,,,,
,,Curse of Naxxramas,Kel&sbquo;Thuzad,,,,,,30,,,,Hero,NAX15_01,,,,
,True,Curse of Naxxramas,Kel&sbquo;Thuzad,Chris Robinson,At the end of each turn summon all friendly minions that died this turn.,Legendary,6,8,8,Can be crafted after defeating every boss in Naxxramas!,Kel&sbquo;Thuzad could not resist the call of the Lich King.   Even when it&sbquo;s just a robo-call extolling the Lich King&sbquo;s virtues.,Unlocked by defeating every boss in Naxxramas!,Minion,FP1_013,,True,,
,,Curse of Naxxramas,Lady Blaumeux,,Your hero is <b>Immune</b>.,,2,3,7,,,,Minion,NAX9_02H,,True,,
