COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,FLAVOR,TYPE,ID,PLAYERCLASS,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
True,Goblins vs Gnomes,Ancestor&sbquo;s Call,Dan Scott,Put a random minion from each player&sbquo;s hand into the battlefield.,Epic,4,&bdquo;Hey! Ancestors!&bdquo; - Ancestor&sbquo;s call,Spell,GVG_029,Shaman,,,,,,
True,Goblins vs Gnomes,Anima Golem,Josh Harris,At the end of each turn destroy this minion if it&sbquo;s your only one.,Epic,6,The Dark Animus is evil and mysterious and huge and unable to write sentences that utilize proper grammar.,Minion,GVG_077,Warlock,9,9,Mech,,,
True,Goblins vs Gnomes,Annoy-o-Tron,Matt Dixon,<b>Taunt</b><b>Divine Shield</b>,Common,2,The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool Tinkertown and was eventually exiled from the Eastern Kingdoms altogether.,Minion,GVG_085,,1,2,Mech,Divine Shield|Taunt,,
True,Goblins vs Gnomes,Anodized Robo Cub,Eva Widermann,<b>Taunt</b>. <b>Choose One -</b>+1 Attack; or +1 Health.,Common,2,It&sbquo;s adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,Minion,GVG_030,Druid,2,2,Mech,Taunt,False,
True,Goblins vs Gnomes,Antique Healbot,Jesper Esjing,<b>Battlecry:</b> Restore 8 Health to your hero.,Common,5,They don&sbquo;t make &sbquo;em like they used to! (Because of explosions mostly.),Minion,GVG_069,,3,3,Mech,Battlecry,,
True,Goblins vs Gnomes,Arcane Nullifier X-21,Zero Yue,<b>Taunt</b>Can&sbquo;t be targeted by spells or Hero Powers.,Rare,4,There was some hard talk between gnome magi and engineers about inventing this mech.,Minion,GVG_091,,2,5,Mech,Taunt,,
,Goblins vs Gnomes,Armor Plated,,Increased Attack.,,,,Enchantment,GVG_086e,Warrior,,,,,,
,Goblins vs Gnomes,Armor Plating,,+1 Health.,,,,Enchantment,PART_001e,,,,,,,
,Goblins vs Gnomes,Armor Plating,Nutchapol Thitinunthakorn,Give a minion +1 Health.,,1,,Spell,PART_001,,,,,,,
,Goblins vs Gnomes,Attack Mode,,+1 Attack.,,,,Spell,GVG_030a,Druid,,,,,,
