TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,DURABILITY,PLAYERCLASS,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
This minion has +1/+1. <i>(+1 Attack/+1 Health)</i>,Missions,Enchantment,TU4c_006e,Bananas,,,,,,,,,,,,,,,,
Give a friendly minion +1/+1. <i>(+1 Attack/+1 Health)</i>,Missions,Spell,TU4c_006,Bananas,Neutral,Common,1,,,,,,,,,,,,,
Is something in this barrel?,Missions,Minion,TU4c_003,Barrel,Neutral,Common,0,Deathrattle,2,Breakable,,,,,,,,,,
Deal 2 damage.,Missions,Spell,TU4c_002,Barrel Toss,Neutral,Common,1,,,,,,,,,,,,,
,Missions,Minion,TU4f_005,Brewmaster,,Common,4,,4,,4,,,,,,,,,
,Missions,Minion,TU4d_002,Crazed Hunter,,Common,1,,1,,1,,,,,,,,,
<b>Battlecry:</b> Throw Bananas.,Missions,Minion,TU4f_007,Crazy Monkey,,Common,1,Battlecry,2,,1,,,,,,,,,
,Missions,Weapon,TU4e_007,Dual Warglaives,,Common,6,,,,4,2,,,,,,,,
Shoot 5 missiles at random enemies for $1 damage each.,Missions,Spell,TU4e_005,Flame Burst,,Common,3,,,,,,,,,,,,,
,Missions,Minion,TU4e_002t,Flame of Azzinoth,,Common,1,,1,,2,,,,,,,,,
<b>Hero Power</b>
Summon two 2/1 minions.,Missions,Hero Power,TU4e_002,Flames of Azzinoth,,,2,,,,,,,,,,,,,
,Missions,Minion,TU4a_003,Gnoll,,Common,1,,1,,1,,,,,,,,,
,Missions,Hero,TU4d_001,Hemet Nesingwary,,Common,,,20,,,,Hunter,,,,,,,
Was hiding in a barrel!,Missions,Minion,TU4c_005,Hidden Gnome,Neutral,Common,2,,3,,1,,,,,,,,,
,Missions,Hero,TU4a_001,Hogger,,Common,,,10,,,,,,,,,,,
Deal 4 damage.,Missions,Spell,TU4a_004,Hogger SMASH!,,Common,3,,,,,,,,,,,,,
,Missions,Hero,TU4e_001,Illidan Stormrage,,,,,30,,,,Hunter,,,,,,,
,Missions,Hero,TU4a_006,Jaina Proudmoore,,Common,,,27,,,,Mage,,,,,,,
,Missions,Hero,TU4c_001,King Mukla,,Common,,,26,,,,,,,,,,,
Has +2/+2. <i>(+2 Attack/+2 Health)</i>,Missions,Enchantment,TU4f_004o,Legacy of the Emperor,,,,,,,,,,,,,,,,
Give your minions +2/+2. <i>(+2 Attack/+2 Health)</i>,Missions,Spell,TU4f_004,Legacy of the Emperor,,Common,3,,,,,,,,,,,,,
,Missions,Hero,TU4f_001,Lorewalker Cho,,,,,25,,,,,,,,,,,
,Missions,Minion,TU4a_005,Massive Gnoll,,Common,4,,2,,5,,,,,,,,,
King Mukla has +8 Attack this turn.,Missions,Enchantment,TU4c_008e,Might of Mukla,,,,OneTurnEffect,,,,,,,,,,,,
,Missions,Hero,TU4b_001,Millhouse Manastorm,,Common,,,20,,,,Mage,,,,,,,
So strong! And only 6 Mana?!,Missions,Minion,TU4c_007,Mukla's Big Brother,,Common,6,,10,,10,,,,,,,,,
<b></b>,Missions,Minion,TU4e_003,Naga Myrmidon,,Common,1,,1,,1,,,,,,,,,
,Missions,Minion,TU4f_002,Pandaren Scout,,Common,1,,1,,1,,,,,,,,,
,Missions,Minion,TU4a_002,Riverpaw Gnoll,,Common,1,,1,,2,,,,,,,,,
,Missions,Minion,TU4f_003,Shado-Pan Monk,,Common,2,,2,,2,,,,,,,,,
<b>Hero Power</b>
Deal 1 damage.,Missions,Hero Power,TU4d_003,Shotgun Blast,,Common,2,,,,,,Hunter,,,,,,,
Deal 2 damage to all enemies.,Missions,Spell,TU4c_004,Stomp,Neutral,Common,2,,,,,,,,,,,,,
Until you kill Cho's minions he can't be attacked.,Missions,Spell,TU4f_006,Transcendence,,Common,1,,,,,,,,,,,,,
Until you kill Cho's minions he can't be attacked.,Missions,Enchantment,TU4f_006o,Transcendence,,,,,,,,,,,,,,,,
,Missions,Weapon,TU4e_004,Warglaive of Azzinoth,,Common,2,,,,2,2,,,,,,,,
Restore 8 Health.,Missions,Spell,TU4c_008,Will of Mukla,,Common,3,,,,,,,,,,,,,
This minion has +2 Attack this turn.,Classic,Enchantment,CS2_188o,'Inspired',,,,OneTurnEffect,,,,,,,,,,,,
<b>Taunt</b>. <b>Deathrattle:</b> Deal 2 damage to ALL characters.,Classic,Minion,EX1_097,Abomination,Neutral,Rare,5,Deathrattle|Taunt,4,,4,,,True,Alex Horley Orlandelli,Abominations enjoy Fresh Meat and long walks on the beach.,,,,
<b>Battlecry:</b> Give a minion +2 Attack this turn.,Classic,Minion,CS2_188,Abusive Sergeant,Alliance,Common,1,Battlecry,1,,2,,,True,Luca Zontini,ADD ME TO YOUR DECK MAGGOT!,,,,
Whenever this minion takes damage draw a card.,Classic,Minion,EX1_007,Acolyte of Pain,,Common,3,,3,,1,,,True,Dave Kendall,He trained when he was younger to be an acolyte of joy but things didn’t work out like he thought they would.,,,,
<b>Windfury Charge Divine Shield Taunt</b>,Classic,Minion,NEW1_010,Al'Akir the Windlord,,Legendary,8,Charge|Divine Shield|Taunt|Windfury,5,,3,,Shaman,True,Raymond Swanland,He is the weakest of the four Elemental Lords.  And the other three don't let him forget it.,True,,,
At the start of your turn swap this minion with a random one in your hand.,Classic,Minion,EX1_006,Alarm-o-Bot,,Rare,3,,3,,0,,,True,Sean O’Daniels,WARNING.  WARNING.  WARNING.,,Mech,,
<b>Battlecry:</b> Change an enemy minion's Attack to 1.,Classic,Minion,EX1_382,Aldor Peacekeeper,Neutral,Rare,3,Battlecry,3,,3,,Paladin,True,Dany Orizio,The Aldor hate two things: the Scryers and smooth jazz.,,,,
<b>Battlecry:</b> Set a hero's remaining Health to 15.,Classic,Minion,EX1_561,Alexstrasza,Neutral,Legendary,9,Battlecry,8,,8,,,True,Raymond Swanland,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,True,Dragon,,
Health set to 15.,Classic,Enchantment,EX1_561e,Alexstrasza's Fire,,,,,,,,,,,,,,,,
<b>Enrage:</b> +3 Attack,Classic,Minion,EX1_393,Amani Berserker,Neutral,Common,2,Enrage,3,,2,,,True,Chippy,If an Amani berserker asks "Joo lookin' at me?!" the correct response is "Nah mon".,,,,
Give a minion "<b>Deathrattle:</b> Resummon this minion.",Classic,Spell,CS2_038,Ancestral Spirit,Neutral,Rare,2,,,,,,Shaman,True,Zoltan & Gabor,It was just a flesh wound.,,,,
<b>Deathrattle:</b> Resummon this minion.,Classic,Enchantment,CS2_038e,Ancestral Spirit,,,,,,,,,Shaman,,,,,,,
<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,Classic,Minion,EX1_057,Ancient Brewmaster,Alliance,Common,4,Battlecry,4,,5,,,True,Bernie Kang,Most pandaren say his brew tastes like yak.  But apparently that's a compliment.,,,,
<b>Battlecry:</b> Give adjacent minions <b>Spell Damage +1</b>.,Classic,Minion,EX1_584,Ancient Mage,Neutral,Rare,4,Battlecry,5,,2,,,True,Howard Lyon,Sometimes he forgets and just wanders into someone else's game.,,,,
<b>Choose One -</b> Draw 2 cards; or Restore 5 Health.,Classic,Minion,NEW1_008,Ancient of Lore,,Epic,7,,5,,5,,Druid,True,Patrik Hjelm,Go ahead carve your initials in him.,,,,
<b>Choose One</b> -
+5 Attack; or +5 Health and <b>Taunt</b>.,Classic,Minion,EX1_178,Ancient of War,Neutral,Epic,7,,5,,5,,Druid,True,Sean O’Daniels,Young Night Elves love to play "Who can get the Ancient of War to Uproot?"  You lose if you get crushed to death.,,,,
Restore 5 Health.,Classic,Spell,NEW1_008b,Ancient Secrets,,,,,,,,,Druid,,,,,,,
Draw 2 cards.,Classic,Spell,NEW1_008a,Ancient Teachings,,,,,,,,,Druid,,,,,,,
Can't Attack.,Classic,Minion,EX1_045,Ancient Watcher,Alliance,Rare,2,,5,,4,,,True,Richard Wright,Why do its eyes seem to follow you as you walk by?,,,,
<b>Enrage:</b> +5 Attack.,Classic,Minion,EX1_009,Angry Chicken,,Rare,1,Enrage,1,,1,,,True,Mike Sass,There is no beast more frightening (or ridiculous) than a fully enraged chicken.,,Beast,,
<b>Battlecry:</b> Equip a 2/2 weapon.,Classic,Minion,EX1_398,Arathi Weaponsmith,Neutral,Common,4,Battlecry,3,,3,,Warrior,True,Samwise,50% off fist weapons limited time only!,,,,
<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,Classic,Minion,EX1_089,Arcane Golem,Neutral,Rare,3,Battlecry|Charge,2,,4,,,True,Sedhayu Ardian,Having Arcane golems at home really classes up the place and as a bonus they are great conversation pieces.,,,,
Whenever you cast a spell add a 'Fireball' spell to your hand.,Classic,Minion,EX1_559,Archmage Antonidas,Neutral,Legendary,7,,7,Grand Magus,5,,Mage,True,Wayne Reynolds,Antonidas was the Grand Magus of the Kirin Tor and Jaina's mentor.  This was a big step up from being Grand Magus of Jelly Donuts.,True,,,
<b>Charge</b> <b>Divine Shield</b>,Classic,Minion,EX1_067,Argent Commander,Neutral,Rare,6,Charge|Divine Shield,2,,4,,,True,James Ryman,The Argent Dawn stands vigilant against the Scourge as well as people who cut in line at coffee shops.,,,,
<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,Classic,Minion,EX1_362,Argent Protector,Neutral,Common,2,Battlecry,2,,2,,Paladin,True,Doug Alexander,"I'm not saying you can dodge fireballs.  I'm saying with this shield you won't have to.",,,,
<b>Divine Shield</b>,Classic,Minion,EX1_008,Argent Squire,Alliance,Common,1,Divine Shield,1,,1,,,True,Zoltan & Gabor,"I solemnly swear to uphold the Light purge the world of darkness and to eat only burritos." - The Argent Dawn Oath,,,,
Whenever a friendly minion takes damage gain 1 Armor.,Classic,Minion,EX1_402,Armorsmith,Neutral,Rare,2,,4,Smithing,1,,Warrior,True,Greg Hildebrandt,She accepts guild funds for repairs!,,,,
,Classic,Weapon,EX1_383t,Ashbringer,,Legendary,5,,,,5,3,Paladin,,,,,,,
