SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,Can&sbquo;t be <b>Silenced. Divine Shield Stealth.</b>,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,Your volume can&sbquo;t be reduced below maximum.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Battlecry:</b> Draw some cards. With a pen.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Super Taunt</b> <i>(EVERY character must attack this minion.)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,At the end of your turn give a random minion +1 Attack.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>The notorious Footclapper.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Battlecry:</b> Summon a 2/2 Pirate and destroy all Ninjas.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>Was successfully NOT part of the problem! ...most of the time.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Enrage:</b> Just kidding! He never Enrages.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Battlecry:</b> Summon FIVE random Inventions.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>3 for a 5/4? That&sbquo;s a good deal!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>C-C-C-COMBO:</b> Destroy a minion.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Battlecry:</b> Draw TWO cards. <i>She&sbquo;s not a novice engineer.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,You can&sbquo;t start a game without this minion in your deck.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Battlecry:</b> Summon a frothy beverage.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Your other minions have +3 Attack and <b>Charge</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Battlecry:</b> Complain about bacon prices.,Legendary,2,2,2,Minion,CRED_07
