SET,NAME,TEXT,RARITY,COST,TYPE,ID,MECHANICS,FACTION,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Missions","¡Hogger MACHACA!","Inflige 4 p. de daño.","Common",3,"Spell","TU4a_004",,,,,,,,,,,,,,
"Missions","Barril","¿Hay algo dentro de este barril?","Common",0,"Minion","TU4c_003",Deathrattle,"Neutral",2,"",,,,,,,,,,
"Missions","Cazador demenciado",,"Common",1,"Minion","TU4d_002",,,1,,1,,,,,,,,,
"Missions","Disparo de escopeta","<b>Poder de héroe</b>
Inflige 1 p. de daño.","Common",2,"Hero Power","TU4d_003",,,,,,"Hunter",,,,,,,,
"Missions","Eremita Cho",,,,"Hero","TU4f_001",,,25,,,,,,,,,,,
"Missions","Explorador pandaren",,"Common",1,"Minion","TU4f_002",,,1,,1,,,,,,,,,
"Missions","Gnoll",,"Common",1,"Minion","TU4a_003",,,1,,1,,,,,,,,,
"Missions","Gnoll enorme",,"Common",4,"Minion","TU4a_005",,,2,,5,,,,,,,,,
"Missions","Gnoll Zarparrío",,"Common",1,"Minion","TU4a_002",,,1,,2,,,,,,,,,
"Missions","Gnomo escondido","¡Estaba escondido en el barril!","Common",2,"Minion","TU4c_005",,"Neutral",3,,1,,,,,,,,,
"Missions","Guja de guerra de Azzinoth",,"Common",2,"Weapon","TU4e_004",,,,,2,,2,,,,,,,
"Missions","Gujas de guerra dobles",,"Common",6,"Weapon","TU4e_007",,,,,4,,2,,,,,,,
"Missions","Hemet Nesingwary",,"Common",,"Hero","TU4d_001",,,20,,,"Hunter",,,,,,,,
"Missions","Hermano mayor de Mukla","¡Qué fuerte! ¿Y solo cuesta 6 cristales de maná?","Common",6,"Minion","TU4c_007",,,10,,10,,,,,,,,,
"Missions","Hogger",,"Common",,"Hero","TU4a_001",,,10,,,,,,,,,,,
"Missions","Illidan Tempestira",,,,"Hero","TU4e_001",,,30,,,"Hunter",,,,,,,,
"Missions","Jaina Valiente",,"Common",,"Hero","TU4a_006",,,27,,,"Mage",,,,,,,,
"Missions","Lanzar barril","Inflige 2 p. de daño.","Common",1,"Spell","TU4c_002",,"Neutral",,,,,,,,,,,,
"Missions","Legado del Emperador","Tiene +2/+2. <i>(+2 p. de ataque/+2 p. de salud)</i>",,,"Enchantment","TU4f_004o",,,,,,,,,,,,,,
"Missions","Legado del Emperador","Otorga +2/+2 a tus esbirros. <i>(+2 p. de ataque/+2 p. de salud)</i>","Common",3,"Spell","TU4f_004",,,,,,,,,,,,,,
"Missions","Llama de Azzinoth",,"Common",1,"Minion","TU4e_002t",,,1,,2,,,,,,,,,
"Missions","Llamas de Azzinoth","<b>Poder de héroe</b>
Invoca a dos esbirros 2/1.",,2,"Hero Power","TU4e_002",,,,,,,,,,,,,,
"Missions","Maestro cervecero",,"Common",4,"Minion","TU4f_005",,,4,,4,,,,,,,,,
"Missions","Mirmidón naga","<b></b>","Common",1,"Minion","TU4e_003",,,1,,1,,,,,,,,,
"Missions","Molino Tormenta de Maná",,"Common",,"Hero","TU4b_001",,,20,,,"Mage",,,,,,,,
"Missions","Monje del Shadopan",,"Common",2,"Minion","TU4f_003",,,2,,2,,,,,,,,,
"Missions","Mono loco","<b>Grito de batalla:</b> Lanza plátanos.","Common",1,"Minion","TU4f_007",Battlecry,,2,,1,,,,,,,,,
"Missions","Pisotón","Inflige 2 p. de daño a todos los enemigos.","Common",2,"Spell","TU4c_004",,"Neutral",,,,,,,,,,,,
"Missions","Plátanos","Este esbirro tiene +1/+1. <i>(+1 p. de ataque/+1 p. de salud)</i>",,,"Enchantment","TU4c_006e",,,,,,,,,,,,,,
"Missions","Plátanos","Otorga +1/+1 a un esbirro amistoso. <i>(+1 p. de ataque/+1 p. de salud)</i>","Common",1,"Spell","TU4c_006",,"Neutral",,,,,,,,,,,,
"Missions","Poderío de Mukla","El rey Mukla tiene +8 p. de ataque este turno.",,,"Enchantment","TU4c_008e",OneTurnEffect,,,,,,,,,,,,,
"Missions","Ráfaga de llamas","Dispara 5 misiles a enemigos aleatorios. Cada uno inflige $1 p. de daño.","Common",3,"Spell","TU4e_005",,,,,,,,,,,,,,
"Missions","Rey Mukla",,"Common",,"Hero","TU4c_001",,,26,,,,,,,,,,,
"Missions","Transcendencia","No puedes atacar a Cho hasta que hayas matado a todos sus esbirros.","Common",1,"Spell","TU4f_006",,,,,,,,,,,,,,
"Missions","Transcendencia","No puedes atacar a Cho hasta que hayas matado a todos sus esbirros.",,,"Enchantment","TU4f_006o",,,,,,,,,,,,,,
"Missions","Voluntad de Mukla","Restaura 8 p. de salud.","Common",3,"Spell","TU4c_008",,,,,,,,,,,,,,
"Classic","¡Afilado!","+2 p. de ataque de Herrera maliciosa.",,,"Enchantment","CS2_221e",,,,,,,,,,,,,,
"Classic","¡Arrr!","El capitán de Mares del Sur otorga +1/+1.",,,"Enchantment","NEW1_027e",,,,,,,,,,,,,,
"Classic","¡Baja las armas!","Ataque cambiado a 1 p.",,,"Enchantment","EX1_382e",,,,,,"Paladin",,,,,,,,
"Classic","¡Experimentos!","El alquimista loco ha intercambiado el ataque y la salud.",,,"Enchantment","EX1_059e",,,,,,,,,,,,,,
"Classic","¡Inferno!","<b>Poder de héroe</b>
Invoca un infernal 6/6.",,2,"Hero Power","EX1_tk33",,"Neutral",,,,"Warlock",,,,,,,,
"Classic","¡Mata a Molino!","¡Los hechizos cuestan (0) cristales este turno!","Legendary",,"Enchantment","NEW1_029t",,,,,,,,,,,,,,
"Classic","¡Mejora!","Si tienes un arma le otorga +1/+1. Si no equipa un arma 1/3.","Rare",1,"Spell","EX1_409",,"Neutral",,,,"Warrior",,True,"Matt Cavotta","Eso valdrá unos 50 DKP.",,,,
