SET,NAME,TEXT,COST,TYPE,ID,PLAYERCLASS,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,RACE,DURABILITY,FACTION
Blackrock Mountain,¡A por ellos!,Invoca cuatro enanos 1/1 con <b>Provocar</b>.,3,Spell,BRMA01_4,,,,,,,,,,,,,,
Blackrock Mountain,¡Activar!,<b>Poder de héroe</b>Activa un &bdquo;tron&bdquo; aleatorio.,4,Hero Power,BRMA14_10,,,,,,,,,,,,,,
Blackrock Mountain,¡Activar!,<b>Poder de héroe</b>Activa un &bdquo;tron&bdquo; aleatorio.,2,Hero Power,BRMA14_10H,,,,,,,,,,,,,,
Blackrock Mountain,¡Ardiendo!,Ataque aumentado.,,Enchantment,BRM_012e,,,,,,,,,,,,,,
Blackrock Mountain,¡Cuantos más mejor!,<b>Poder de héroe</b>Coloca un esbirro de cada mazo en el campo de batalla.,0,Hero Power,BRMA01_2,,,,,,,,,,,,,,
Blackrock Mountain,¡Cuantos más mejor!,<b>Poder de héroe</b>Coloca dos esbirros de tu mazo y uno del mazo de tu oponente en el campo de batalla.,0,Hero Power,BRMA01_2H,,,,,,,,,,,,,,
Blackrock Mountain,¡Desencadenado!,Tu siguiente dragón cuesta (2) cristales menos.,,Enchantment,BRM_018e,Paladin,,,,,,,,,,,,,
Blackrock Mountain,¡LAVA!,Inflige $2 p. de daño a todos los esbirros.,2,Spell,BRMA17_4,,,,,,,,,,,,,,
Blackrock Mountain,¡Liberad a las aberraciones!,Invoca 3 aberraciones.,2,Spell,BRMA15_3,,,,,,,,,,,,,,
Blackrock Mountain,¡MORID INSECTOS!,<b>Poder de héroe</b>Inflige 8 p. de daño a un enemigo aleatorio. DOS VECES.,2,Hero Power,BRM_027pH,,,,,,,,,,,,,,
Blackrock Mountain,¡MUERE INSECTO!,<b>Poder de héroe</b>Inflige 8 p. de daño a un enemigo aleatorio.,2,Hero Power,BRM_027p,,,,,,,,,,,,,,
Blackrock Mountain,¡MUERE INSECTO!,Inflige $8 p. de daño a un enemigo aleatorio.,0,Spell,BRMA13_8,,AffectedBySpellPower,,,,,,,,,,,,
Blackrock Mountain,¡Nefarian ataca!,<b>Poder de héroe</b>¡Nefarian lanza fuego desde arriba!,0,Hero Power,BRMA17_8H,,,,,,,,,,,,,,
Blackrock Mountain,¡Nefarian ataca!,<b>Poder de héroe</b>¡Nefarian lanza fuego desde arriba!,0,Hero Power,BRMA17_8,,,,,,,,,,,,,,
Blackrock Mountain,¡Rocas fuera!,Invoca 3 jurafuegos. <b>Sobrecarga:</b> (2),3,Spell,BRMA04_4,,,,,,,,,,,,,,
Blackrock Mountain,¡Rocas fuera!,Invoca 3 jurafuegos. <b>Sobrecarga:</b> (2),3,Spell,BRMA04_4H,,,,,,,,,,,,,,
Blackrock Mountain,Aberración,<b>Cargar</b>,1,Minion,BRMA15_4,,Charge,1,1,,,,,,,,,,
Blackrock Mountain,Abrid las puertas,<b>Poder de héroe</b>Invoca a tres crías 1/1. Obtiene un nuevo poder de héroe.,2,Hero Power,BRMA09_2,,,,,,,,,,,,,,
Blackrock Mountain,Abrid las puertas,<b>Poder de héroe</b>Invoca a tres crías 2/2. Obtiene un nuevo poder de héroe.,2,Hero Power,BRMA09_2H,,,,,,,,,,,,,,
Blackrock Mountain,Abucheos del público,<b>Poder de héroe</b>Invoca a un espectador 1/1 con <b>Provocar</b>.,0,Hero Power,BRMA02_2H,,,,,,,,,,,,,,
Blackrock Mountain,Abucheos del público,<b>Poder de héroe</b>Invoca a un espectador 1/1 con <b>Provocar</b>.,1,Hero Power,BRMA02_2,,,,,,,,,,,,,,
Blackrock Mountain,Acólito despiertallamas,,2,Minion,BRMA06_4,,,1,3,,,,,,,,,,
Blackrock Mountain,Acólito despiertallamas,,2,Minion,BRMA06_4H,,,3,3,,,,,,,,,,
Blackrock Mountain,Activar Arcanotron,<b>Poder de héroe</b>¡Se activa Arcanotron!,2,Hero Power,BRMA14_2,,,,,,,,,,,,,,
Blackrock Mountain,Activar Arcanotron,<b>Poder de héroe</b>¡Se activa Arcanotron!,0,Hero Power,BRMA14_2H,,,,,,,,,,,,,,
Blackrock Mountain,Activar Electron,<b>Poder de héroe</b>¡Se activa Electron!,6,Hero Power,BRMA14_6,,,,,,,,,,,,,,
Blackrock Mountain,Activar Electron,<b>Poder de héroe</b>¡Se activa Electron!,4,Hero Power,BRMA14_6H,,,,,,,,,,,,,,
