TEXT,SET,TYPE,ID,NAME,PLAYERCLASS,FACTION,COST,RARITY,COLLECTIBLE,ARTIST,FLAVOR,MECHANICS,ATTACK,HEALTH,INPLAYTEXT,ELITE,RACE,DURABILITY
+2 p. de ataque de Herrera maliciosa.,Classic,Enchantment,CS2_221e,¡Afilado!,,,,,,,,,,,,,,
El capitán de Mares del Sur otorga +1/+1.,Classic,Enchantment,NEW1_027e,¡Arrr!,,,,,,,,,,,,,,
Ataque cambiado a 1 p.,Classic,Enchantment,EX1_382e,¡Baja las armas!,Paladin,,,,,,,,,,,,,
El alquimista loco ha intercambiado el ataque y la salud.,Classic,Enchantment,EX1_059e,¡Experimentos!,,,,,,,,,,,,,,
<b>Poder de héroe</b>
Invoca un infernal 6/6.,Classic,Hero Power,EX1_tk33,¡Inferno!,Warlock,Neutral,2,,,,,,,,,,,
¡Los hechizos cuestan (0) cristales este turno!,Classic,Enchantment,NEW1_029t,¡Mata a Molino!,,,,Legendary,,,,,,,,,,
Si tienes un arma le otorga +1/+1. Si no equipa un arma 1/3.,Classic,Spell,EX1_409,¡Mejora!,Warrior,Neutral,1,Rare,True,Matt Cavotta,Eso valdrá unos 50 DKP.,,,,,,,
El líder de guerra múrloc otorga +2/+1.,Classic,Enchantment,EX1_507e,¡Mrgglaargl!,,,,,,,,,,,,,,
Ataque y salud aumentados.,Classic,Enchantment,EX1_044e,¡Sube de nivel!,,,,,,,,,,,,,,
<b>Provocar</b>. <b>Último aliento:</b> Inflige 2 p. de daño a todos los personajes.,Classic,Minion,EX1_097,Abominación,,Neutral,5,Rare,True,Alex Horley Orlandelli,La olerás mucho antes de verla.,Deathrattle|Taunt,4,4,,,,
<b>Último aliento:</b> Roba una carta.,Classic,Minion,EX1_096,Acaparador de botín,,Neutral,2,Common,True,Jim Nelson,Le dará a necesidad digas lo que digas.,Deathrattle,2,1,,,,
Roba una carta cada vez que este esbirro recibe daño.,Classic,Minion,EX1_007,Acólito de dolor,,,3,Common,True,Dave Kendall,Cuando era joven intentó buscar trabajo como acólito de la alegría pero la economía lo convirtió en lo que es ahora.,,1,3,,,,
Cada vez que lanzas un hechizo obtiene +2 p. de ataque este turno.,Classic,Minion,EX1_055,Adicta al maná,,Alliance,2,Rare,True,Hideaki Takamura,Está intentando dejarlo pero sigue tomando maná cuando tiene un día duro.,,1,3,,,,
