SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,No se le puede aplicar <b>Silencio Escudo divino</b> ni <b>Sigilo</b>.,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,El volumen no se puede bajar del máximo.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Grito de batalla:</b> Cambia el dibujo de una carta.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Provocar Total</b> <i>(TODOS los personajes deben atacar a este esbirro)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,Al final de tu turno otorga +1 p. de ataque a un esbirro aleatorio.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>Muy hábil con los pies.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Grito de batalla:</b> Invoca a un pirata 2/2 y destruye a todos los ninjas.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>¡Ha conseguido NO ser parte del problema! Bueno la mayor parte del tiempo.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Enfurecer:</b> ¡Es broma! No se enfurece nunca.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Grito de batalla:</b> Invoca CINCO inventos aleatorios.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>¿(3) cristales por un 5/4? No está mal.</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>C-C-C-COMBO:</b> Destruye a un esbirro.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Grito de batalla:</b> Roba DOS cartas. <i>No es una ingeniera novata.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,No puedes empezar una partida si este esbirro no está en tu mazo.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Grito de batalla:</b> Invoca una bebida espumosa.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Tus demás esbirros tienen +3 p. de ataque y <b>Cargar</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Grito de batalla:</b> Se queja por el precio del bacon.,Legendary,2,2,2,Minion,CRED_07
