SET,TYPE,ID,NAME,TEXT,COST,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,HEALTH,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY
"Curse of Naxxramas","Enchantment","NAX15_01e","¡Intrusos!",,,,,,,,,,,,,,,
"Curse of Naxxramas","Enchantment","NAX15_01He",""¡Intrusos!".",,,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX14_02","Aliento de Escarcha","<b>Poder de héroe</b>
Destruye a todos los esbirros enemigos que no estén <b>congelados</b>.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_016","Alma gemebunda","<b>Grito de batalla: Silencia</b> a tus demás esbirros.",4,Battlecry,True,"Glenn Rane","Rare",3,5,"Se puede crear tras derrotar a Thaddius en el Arrabal de los Ensamblajes.","Esta alma no levanta cabeza.","Se desbloquea al derrotar a Thaddius en el Arrabal de los Ensamblajes.",,,,
"Curse of Naxxramas","Minion","FP1_019t","Antárbol",,1,,,,,2,2,,,,"Druid",,,
"Curse of Naxxramas","Hero","NAX1h_01","Anub'Rekhan",,,,,,,,45,,,,,,,
"Curse of Naxxramas","Hero","NAX1_01","Anub'Rekhan",,,,,,,,30,,,,,,,
"Curse of Naxxramas","Minion","FP1_002t","Araña espectral",,1,,,,,1,1,,,,,,,
"Curse of Naxxramas","Enchantment","FP1_030e","Aura necrótica","Tus hechizos cuestan (5) cristales más este turno.",,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX6_02","Aura necrótica","<b>Poder de héroe</b>
Inflige 3 p. de daño al héroe enemigo.",2,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX6_02H","Aura necrótica","<b>Poder de héroe</b>
Inflige 3 p. de daño al héroe enemigo.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","FP1_012t","Babosa","<b>Provocar</b>",1,Taunt,,,,1,2,,,,,,,
"Curse of Naxxramas","Minion","NAX11_03","Babosa radiactiva",,1,,,,,2,2,,,,,,,
"Curse of Naxxramas","Minion","NAX15_05","Baldomero","<i>Quiérelo y acarícialo.</i>",0,,,,"Legendary",1,1,,,,,True,"Beast",
"Curse of Naxxramas","Minion","FP1_031","Barón Osahendido","Tus esbirros activan su <b>Último aliento</b> dos veces.",4,Aura,True,"Ralph Horsley","Legendary",1,7,"Se puede crear tras completar el Arrabal Militar.","Lady Blaumeux quería que la gente los conociera como "Lady Blaumeux y sus amigos" pero no pudo ser.","Se desbloquea al completar el Arrabal Militar.",,True,,
"Curse of Naxxramas","Hero","NAX9_01H","Barón Osahendido",,,,,,,,14,,,,,,,
"Curse of Naxxramas","Hero","NAX9_01","Barón Osahendido",,,,,,,,7,,,,,,,
"Curse of Naxxramas","Minion","FP1_008","Caballero espectral","No puede ser objetivo de hechizos ni de poderes de héroe.",5,,True,"Chris Rahn","Common",4,6,"Se puede crear tras derrotar a Gothik el Cosechador en el Arrabal Militar.","¿Qué tienen en común los dragones feéricos y los caballeros espectrales?... ¡Que les encanta merendar!","Se desbloquea al derrotar a Gothik el Cosechador en el Arrabal Militar.",,,,
"Curse of Naxxramas","Hero Power","NAX15_04H","Cadenas","<b>Poder de héroe</b>
Toma el control de un esbirro enemigo aleatorio.",8,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX15_04","Cadenas","<b>Poder de héroe</b>
Toma el control de un esbirro enemigo aleatorio hasta el final del turno.",8,,,,,,,,,,,,,
"Curse of Naxxramas","Hero Power","NAX13_02","Cambio de polaridad","<b>Poder de héroe</b>
Intercambia el ataque y la salud de todos los esbirros.",0,,,,,,,,,,,,,
"Curse of Naxxramas","Minion","NAX14_03","Campeón congelado","Congelado permanentemente. Los esbirros adyacentes son inmunes a Aliento de Escarcha.",5,Aura,,,,2,10,,,,,,,
