SET,NAME,TEXT,RARITY,COST,TYPE,ID,FACTION,MECHANICS,HEALTH,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
"Missions","¡Hogger APLASTA!","Inflige 4 de daño.","Common",3,"Spell","TU4a_004",,,,,,,,,,,,,,
"Missions","Bananas","Este esbirro tiene +1/+1. <i>(+1 de Ataque/+1 de Salud)</i>",,,"Enchantment","TU4c_006e",,,,,,,,,,,,,,
"Missions","Bananas","Otorga +1/+1 a un esbirro aliado. <i>(+1 de Ataque/+1 de Salud)</i>","Common",1,"Spell","TU4c_006","Neutral",,,,,,,,,,,,,
"Missions","Barril","¿Hay algo en este barril?","Common",0,"Minion","TU4c_003","Neutral",Deathrattle,2,"",,,,,,,,,,
"Missions","Cazador enloquecido",,"Common",1,"Minion","TU4d_002",,,1,,1,,,,,,,,,
"Missions","Disparo de escopeta","<b>Poder de héroe</b>
Inflige 1 de daño.","Common",2,"Hero Power","TU4d_003",,,,,,"Hunter",,,,,,,,
"Missions","Eremita Cho",,,,"Hero","TU4f_001",,,25,,,,,,,,,,,
"Missions","Explorador pandaren",,"Common",1,"Minion","TU4f_002",,,1,,1,,,,,,,,,
"Missions","Gnoll",,"Common",1,"Minion","TU4a_003",,,1,,1,,,,,,,,,
"Missions","Gnoll gigante",,"Common",4,"Minion","TU4a_005",,,2,,5,,,,,,,,,
"Missions","Gnoll zarparrío",,"Common",1,"Minion","TU4a_002",,,1,,2,,,,,,,,,
"Missions","Gnomo oculto","¡Estaba escondido en un barril!","Common",2,"Minion","TU4c_005","Neutral",,3,,1,,,,,,,,,
"Missions","Guja de guerra de Azzinoth",,"Common",2,"Weapon","TU4e_004",,,,,2,,2,,,,,,,
"Missions","Gujas de guerra dobles",,"Common",6,"Weapon","TU4e_007",,,,,4,,2,,,,,,,
"Missions","Hemet Nesingwary",,"Common",,"Hero","TU4d_001",,,20,,,"Hunter",,,,,,,,
