SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,No puede ser <b>Silenciado. Escudo divino Sigilo.</b>,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,Tu volumen se estancará en el máximo.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Grito de batalla:</b> afila las zarpas y... toma la lapicera.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Súper provocación</b> <i>(TODOS los personajes deben atacar a este esbirro).</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,Al final de tu turno otorga +1 de Ataque a un esbirro aleatorio.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>El infame piecitos rápidos.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Grito de batalla:</b> invoca un Pirata 2/2 y destruye a todos los Ninjas.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>Consiguió NO ser parte del problema... casi casi todo el tiempo.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Enfurecer:</b> ¡Es broma! Nunca se enfurece.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Grito de batalla:</b> invoca CINCO invenciones aleatorias.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>¿3 de maná por un 5/4? ¡Trato hecho!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>C-C-C-COMBO:</b> destruye un esbirro.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Grito de batalla:</b> roba DOS cartas. <i>Ella no es una ingeniera novicia.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,No puedes comenzar una partida si no tienes este esbirro en tu mazo.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Grito de batalla:</b> invoca una bebida espumosa.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Tus otros esbirros tienen +3 de Ataque y <b>Carga</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Grito de batalla:</b> se queja de lo caro que está el tocino.,Legendary,2,2,2,Minion,CRED_07
