SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,MECHANICS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,RACE,ELITE,DURABILITY
Goblins vs Gnomes,¡Reparaciones!,+4 de Salud.,Enchantment,GVG_069a,Priest,,,,,,,,,,,
Goblins vs Gnomes,Acechador Gilblin,<b>Sigilo</b>,Minion,GVG_081,,Stealth,True,Seamus Gallagher,Common,2,2,3,"Shhh creo que oí algo.

Bah no debe de ser nada". —Cualquier secuaz,,,
Goblins vs Gnomes,Aceite filoagudo de Manitas,+3 de Ataque.,Enchantment,GVG_022a,,,,,,,,,,,,
Goblins vs Gnomes,Aceite filoagudo de Manitas,Le otorga a tu arma +3 de Ataque. <b>Combo:</b> otorga +3 de Ataque a un esbirro aliado aleatorio.,Spell,GVG_022,Rogue,Combo,True,Den,Common,,4,,Nunca corras con tijeras. Y menos si usas este aceite.,,,
Goblins vs Gnomes,Aceite filoagudo de Manitas,+3 de Ataque.,Enchantment,GVG_022b,,,,,,,,,,,,
Goblins vs Gnomes,Achatarrado,Estadísticas aumentadas.,Enchantment,GVG_106e,,,,,,,,,,,,
Goblins vs Gnomes,Acorazado MAX,<b>Escudo divino</b>,Minion,GVG_079,,Divine Shield,True,Nutchapol Thitinunthakorn,Common,7,8,7,En Tanaris hay una fábrica de acorazados pero después de los primeros dos tuvieron que cancelar la producción porque los costos eran arrolladores.,Mech,,
Goblins vs Gnomes,Ajustatuercas de lata,<b>Grito de batalla</b>: otorga +2/+2 a un Meca aliado.,Minion,GVG_055,Warrior,Battlecry,True,Jesper Esjing,Rare,2,4,5,Si se rompe solo dale un par de patadas y grita: "¡Pedazo de chatarra!".,Mech,,
Goblins vs Gnomes,Amasijo,Destruye un esbirro. Cuesta (4) menos si tienes un esbirro dañado.,Spell,GVG_052,Warrior,,True,Michael Sutfin,Epic,,7,,Usar esta carta contra tus enemigos es una de las mejores cosas de la vida... o eso dicen algunos bárbaros.,,,
Goblins vs Gnomes,Árbol de la vida,Restaura toda la Salud a todos los personajes.,Spell,GVG_033,Druid,,True,Steve Prescott,Epic,,9,,Sanación: ¡crece en los árboles!,,,
Goblins vs Gnomes,Atracador vil,Cada vez que tu adversario juega una carta descarta las 3 primeras de tu mazo.,Minion,GVG_016,,,True,Zoltan & Gabor,Epic,8,5,8,Es muy atracador. Y muy vil. Enfréntalo... ¡si te atreves!,Mech,,
Goblins vs Gnomes,Bien equipado,+2/+2.,Enchantment,GVG_060e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Blindado,Ataque aumentado.,Enchantment,GVG_086e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Blindaje de armadura,Otorga +1 de Salud a un esbirro.,Spell,PART_001,,,,Nutchapol Thitinunthakorn,,,1,,,,,
Goblins vs Gnomes,Blindaje de armadura,+1 de Salud.,Enchantment,PART_001e,,,,,,,,,,,,
Goblins vs Gnomes,Bolvar Fordragón,Mientras está en tu mano cada vez que un esbirro aliado muere obtiene +1 de Ataque.,Minion,GVG_063,Paladin,,True,Tooth,Legendary,1,5,7,Y entonces a Bolvar lo queman vivo después se sienta en un trono de hielo y todos se olvidan de él. Ah... ¿qué? ¿no lo sabías?,,True,
Goblins vs Gnomes,Bomba sórdida,Inflige $3 de daño.,Spell,GVG_015,Warlock,,True,Jeff Haynie,Common,,2,,Si quieres armar un mazo "emo" ¡esta carta es para ti!,,,
Goblins vs Gnomes,Bombardera sombría,<b>Grito de batalla:</b> inflige 3 de daño a cada héroe.,Minion,GVG_009,Priest,Battlecry,True,Matt Dixon,Epic,2,1,1,La Bombardera cumple con su trabajo pero ya no siente la misma pasión.,,,
Goblins vs Gnomes,Bombardero demente,<b>Grito de batalla:</b> inflige 6 de daño divididos aleatoriamente entre todos los demás personajes.,Minion,GVG_090,,Battlecry,True,Alex Horley Orlandelli,Rare,5,5,4,Oye Bombardero ya cálmate un poco.,,,
Goblins vs Gnomes,Boxeador penumbroso,Cada vez que sanan a un personaje inflige 1 de daño a un enemigo aleatorio.,Minion,GVG_072,Priest,,True,Dan Scott,Rare,2,2,3,Golpear es su función principal. Y también su función secundaria.,Mech,,
Goblins vs Gnomes,Cabeza de Mimiron,Al comienzo de tu turno si tienes al menos 3 Mecas destrúyelos a todos para armar el V-07-TR-0N.,Minion,GVG_111,,,True,Trent Kaniuga,Legendary,4,5,5,¡NO TOQUES ese botón rojo!,Mech,True,
Goblins vs Gnomes,Cachorro-bot anodizado,<b>Provocación</b>. <b>Elige una opción:</b>
+1 de Ataque o +1 de Salud.,Minion,GVG_030,Druid,Taunt,True,Eva Widermann,Common,2,2,2,¡Es tan liiindo! PERO SANTOS COLMILLOS ¿POR QUÉ QUIERE COMERME LA CARA?,Mech,False,
Goblins vs Gnomes,Caminaespíritus cienaleta,Cuando muere otro múrloc aliado robas una carta. <b>Sobrecarga</b>: (1),Minion,GVG_040,Shaman,,True,Clint Langley,Epic,2,4,5,Los elementos siempre responden al llamado de quienes luchan por una causa justa aun si solo gritas "¡MRGHRGLGLGL!".,Murloc,,
Goblins vs Gnomes,Campomuflado quisquilloso,Otorga <b>Sigilo</b> a un esbirro aliado hasta tu próximo turno.,Spell,PART_004,,,,Nutchapol Thitinunthakorn,,,1,,,,,
Goblins vs Gnomes,Camuflaje,En sigilo hasta tu próximo turno.,Enchantment,PART_004e,,,,,,,,,,,,
Goblins vs Gnomes,Cañón del buque,Cada vez que invocas un Pirata inflige 2 de daño a un enemigo aleatorio.,Minion,GVG_075,,,True,Warren Mahy,Common,2,2,3,Según dicen este fue el primer cañón que Kenny le vendió a Guybrush después de dejar el negocio de las limonadas.,,,
Goblins vs Gnomes,Cañón flamígero,Inflige $4 de daño a un esbirro enemigo aleatorio.,Spell,GVG_001,Mage,,True,Mauricio Herrera,Common,,2,,Seamos honestos: "Cañón flamígero" no es el nombre máaaas original para un dispositivo goblin...,,,
Goblins vs Gnomes,Cañón vil,Al final de tu turno inflige 2 de daño a un esbirro que no sea un Meca.,Minion,GVG_020,Warlock,,True,Matt Gaser,Rare,3,4,5,La caja dice: "Nuevo y mejorado ¡200% más vil!".,Mech,,
Goblins vs Gnomes,Ceño fruncido,Estadísticas aumentadas.,Enchantment,GVG_100e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Chamán Machacaduna,<b>Viento furioso Sobrecarga: (1)</b>
50% de probabilidad de atacar al enemigo equivocado.,Minion,GVG_066,Shaman,Windfury,True,José Ladrönn,Rare,5,4,4,Él simplemente cierra los ojos y se lanza. ¡Raarararrrarar!,,,
Goblins vs Gnomes,Chatarroñero,Cada vez que muere un Meca aliado obtiene +2/+2.,Minion,GVG_106,,,True,Zoltan Boros,Epic,1,5,5,¡La chatarra de un robot es la SUPERMEJORA DE OTRO!,Mech,,
Goblins vs Gnomes,Chisporroteo,Inflige $3-$6 de daño. <b>Sobrecarga: (1)</b>,Spell,GVG_038,Shaman,,True,Warren Mahy,Common,,2,,¡Se me chisporroteó!,,,
Goblins vs Gnomes,Ciberpeluquero goblin,<b>Grito de batalla:</b> le otorga +1 de Ataque a tu arma.,Minion,GVG_023,Rogue,Battlecry,True,Zolton Boros,Common,3,2,2,Puede hacerte un bonito corte de cabello... o de altura.,Mech,,
Goblins vs Gnomes,Conmutado,El Conmutador de polaridad ha intercambiado el Ataque y la Salud.,Enchantment,PART_006a,,,,,,,,,,,,
Goblins vs Gnomes,Conmutador de polaridad,Intercambia el Ataque y la Salud de un esbirro.,Spell,PART_006,,,,Nutthapon Petthai,,,1,,,,,
Goblins vs Gnomes,Contrarcana diminuta,Los esbirros adyacentes no pueden ser objetivo de Hechizos ni Poderes de héroe.,Minion,GVG_122,Mage,Aura,True,Jonboy Meyers,Epic,2,4,5,No hay hechizo que pueda con ella... pero nunca logró que la dejaran subir a la montaña rusa.,,,
Goblins vs Gnomes,Corazón demoníaco,+5/+5.,Enchantment,GVG_019e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Corazón demoníaco,Inflige $5 de daño a un esbirro. Si es un Demonio aliado entonces le otorga +5/+5.,Spell,GVG_019,Warlock,,True,Kerem Beyit,Epic,,5,,Prácticamente todos los miembros de la Alianza demoníaca unificada son Brujos. Qué casualidad...,,,
Goblins vs Gnomes,Cronoretroceso,Devuelve un esbirro aliado a tu mano.,Spell,PART_002,,,,Nutthapon Petthai,,,1,,,,,
Goblins vs Gnomes,Cuchilla frenética,Inflige $1 de daño a un esbirro aleatorio. Se repite hasta que un esbirro muere.,Spell,GVG_050,Warrior,,True,Andrew Hou,Epic,,3,,Solo a los goblins podía parecerles una buena idea. Pero hasta ellos empiezan a tener dudas.,,,
Goblins vs Gnomes,Cuerno oxidado,Otorga <b>Provocación</b> a un esbirro.,Spell,PART_003,,,,Peerasak Senalai,,,1,,,,,
Goblins vs Gnomes,Cuidadora de arboleda,<b>Elige una opción:</b> otorga un Cristal de maná a cada jugador o cada jugador roba una carta.,Minion,GVG_032,Druid,,True,Chris Rahn,Rare,2,3,4,Le gusta: pasear y la naturaleza. No le gusta: las trituradoras goblin y las sandalias (¡nunca encuentra de su talla!).,,,
Goblins vs Gnomes,Diablillo,,Minion,GVG_045t,Warlock,,,,,1,1,1,,Demon,,
Goblins vs Gnomes,Dientes de acero,+2 de Ataque.,Enchantment,GVG_048e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Disparo de cobra,Inflige $3 de daño a un esbirro y al héroe enemigo.,Spell,GVG_073,Hunter,,True,Howard Lyon,Common,,5,,El "Disparo de cobra" es muchisisísimo peor que la "Caricia de cobra".,,,
Goblins vs Gnomes,Don Barredora,<b>Congela</b> a cualquier personaje dañado por este esbirro.,Minion,GVG_002,Mage,Freeze,True,Gabor Szikszai,Common,2,2,3,Siempre que lo veas pasar canta al compás "Don Barredora es quien yo soy... ¡chucu chu!",Mech,,
Goblins vs Gnomes,Doncella escudera,<b>Grito de batalla:</b> obtienes 5 de Armadura.,Minion,GVG_053,Warrior,Battlecry,True,Alex Horley Orlandelli,Rare,5,6,5,Siempre la acompañan tres portaescudos para darle repuestos cuando empieza a perder durabilidad.,,,
Goblins vs Gnomes,Dr. Bum,<b>Grito de batalla</b>: Invoca dos Robots bum 1/1. <i>ADVERTENCIA: Los robots pueden explotar.</i>,Minion,GVG_110,,Battlecry,True,Alex Garner,Legendary,7,7,7,¡CONTEMPLA ESTA MARAVILLA!,,True,
Goblins vs Gnomes,Druida del Colmillo,,Minion,GVG_080t,Druid,,,Massive Black,,7,5,7,,Beast,,
Goblins vs Gnomes,Druida del Colmillo,<b>Grito de batalla:</b> si tienes una Bestia transforma a este esbirro en un 7/7.,Minion,GVG_080,Druid,Battlecry,True,Brandon Kitkouski,Common,4,5,4,Los Druidas del Colmillo viven en las Cuevas de los Lamentos. Usan ropa con dibujos de serpientes cuentan chistes de serpientes y se pasan el día diciendo "viejo".,,,
Goblins vs Gnomes,Eco de Medivh,Pone una copia de todos los esbirros aliados en tu mano.,Spell,GVG_005,Mage,,True,Alex Garner,Epic,,4,,El eco de Medivh ronda incesantemente por Karazhan condenado a hacer trampa en el ajedrez y en <i>Hearthstone</i> para toda la eternidad.,,,
Goblins vs Gnomes,El rey,Ataque aumentado.,Enchantment,GVG_046e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Elegido de Velen,+2/+4 y <b>Daño de hechizo +1</b>.,Enchantment,GVG_010b,,,,,,,,,,,,
Goblins vs Gnomes,Elegido de Velen,Otorga +2/+4 y <b>Daño de hechizo +1</b> a un esbirro.,Spell,GVG_010,Priest,,True,Alex Horley Orlandelli,Common,,3,,Velen le mandó a Tyrande una tarjeta preciosa con una imagen del Tranvía Subterráneo que decía: "¡Tú-tú-tú eres la elegida!".,,,
Goblins vs Gnomes,Embustero tuerto,Cada vez que invocas a un Pirata obtiene <b>Sigilo</b>.,Minion,GVG_025,Rogue,,True,Danny Beck,Rare,4,2,1,Esto es lo que pasa cuando a un pirata le pica el ojo y no recuerda en qué brazo tiene el garfio.,Pirate,,
Goblins vs Gnomes,Escupehollín,<b>Daño de hechizo +1</b>,Minion,GVG_123,Mage,Spellpower,True,Phil Saunders,Rare,3,3,3,El inventor de la trituradora goblin está en un conflicto de patentes con el inventor del escupehollín.,Mech,,
Goblins vs Gnomes,Experimentador gnomo,<b>Grito de batalla:</b> roba una carta. Si es un esbirro transfórmalo en un Pollo.,Minion,GVG_092,,Battlecry,True,Jesper Esjing,Rare,3,3,2,Es increíble que aún se sorprenda cada vez que él mismo termina transformado en pollo.,,,
Goblins vs Gnomes,Explosión diablillólica,Inflige $2-$4 de daño a un esbirro. Invoca un Diablillo 1/1 por cada punto de daño infligido.,Spell,GVG_045,Warlock,,True,Jaemin Kim,Rare,,4,,Las esquirlas son muuuucho peores que la explosión.,,,
Goblins vs Gnomes,Fingir muerte,Activa todos los <b>Estertores</b> de tus esbirros.,Spell,GVG_026,Hunter,,True,Luca Zontini,Epic,,2,,Lo más difícil de fingir una muerte convincente es lograr el olor adecuado. Se necesita mucha práctica y una buena falta de higiene personal.,,,
Goblins vs Gnomes,Francotirador Bonvapor,Puedes usar tu Poder de héroe en esbirros.,Minion,GVG_087,Hunter,,True,Jun Kang,Epic,2,2,3,En general los goblins no tienen paciencia para ser francotiradores. La mayoría prefiere la satisfacción instantánea de una buena explosión.,,,
Goblins vs Gnomes,Fuegos fatuoscuros,Invoca 5 Fuegos fatuos.,Spell,GVG_041b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Fuegos fatuoscuros,+5/+5 y <b>Provocación</b>.,Enchantment,GVG_041c,Druid,,,,,,,,,,,
Goblins vs Gnomes,Fuegos fatuoscuros,<b>Elige una opción:</b> Invoca 5 Fuegos fatuos o le otorga +5/+5 y <b>Provocación</b> a un esbirro.,Spell,GVG_041,Druid,,True,Trent Kaniuga,Epic,,6,,Son como el resto de los Fuegos fatuos pero les gusta el dark metal.,,,
Goblins vs Gnomes,Fuegos fatuoscuros,+5/+5 y <b>Provocación</b>.,Spell,GVG_041a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Fulmimago goblin,<b>Grito de batalla:</b> si tienes un Meca inflige 4 de daño dividido aleatoriamente entre todos los enemigos.,Minion,GVG_004,Mage,Battlecry,True,Glenn Rane,Rare,5,4,4,Si no tienes una bomba a mano lanza cualquier invento goblin. No notarás la diferencia.,,,
