TEXT,SET,TYPE,ID,NAME,MECHANICS,COLLECTIBLE,ARTIST,ELITE,RARITY,ATTACK,COST,HEALTH,HOWTOGETGOLD,FLAVOR,FACTION,RACE,INPLAYTEXT
Estadísticas aumentadas.,Promotion,Enchantment,Mekka3e,¡Fortalecido!,,,,,,,,,,,,,
<b>Grito de batalla:</b> Otorga a ambos jugadores el poder del ROCK (con una carta Acorde Potente),Promotion,Minion,PRO_001,Elite Tauren Chieftain,Battlecry,True,Samwise Didier,True,Legendary,5,5,5,Otorgada en la BlizzCon 2013.,Está buscando baterista. Sus candidatos son: Ingeniera novicia Sen'jin Maestro de escudos y Ragnaros el Señor del Fuego.,,,
Al final de tu turno otorga +1/+1 a un esbirro aleatorio.,Promotion,Minion,Mekka3,Fortalecedor 3000,,,,,Common,0,1,4,,,Alliance,Mech,
<b>Grito de batalla:</b> invoca una invención INCREÍBLE.,Promotion,Minion,EX1_112,Gelbin Mekkatorque,Battlecry,True,Ludo Lullabi,True,Legendary,6,6,6,Esta carta se otorgó como recompensa a los jugadores que ayudaron a probar la Tienda durante la beta.,Es el líder de los gnomos y un inventor increíble. Además ha mejorado mucho: ahora convierte cosas en pollos MUCHO menos que antes.,Alliance,,
Invoca tres cuatro o cinco múrlocs 1/1.,Promotion,Spell,PRO_001a,I Am Murloc,,,,,,,4,,,,,,
,Promotion,Minion,PRO_001at,Múrloc,,,,,,1,1,1,,,,Murloc,
<i>¡Ey pollo!</i>,Promotion,Minion,Mekka4t,Pollo,,,,,,1,0,1,,,,Beast,
Al comienzo de tu turno destruye a este esbirro y roba 3 cartas.,Promotion,Minion,Mekka1,Pollo buscador,,,,,Common,0,1,1,,,Alliance,Mech,
Al comienzo de tu turno transforma a un esbirro aleatorio en un Pollo 1/1.,Promotion,Minion,Mekka4,Pollotizador,,,,,Common,0,1,3,,,Alliance,Mech,
Invoca un guerrero de la Horda aleatorio.,Promotion,Spell,PRO_001c,Power of the Horde,,,,,,,4,,,,,,
Al final de tu turno restaura 6 de Salud a un personaje dañado.,Promotion,Minion,Mekka2,Robot de reparación,,,,,Common,0,1,3,,,Alliance,Mech,
Inflige $4 de daño. Roba una carta.,Promotion,Spell,PRO_001b,Rogues Do It...,,,,,,,4,,,,,,
¡Ha sido transformado en un pollo!,Promotion,Enchantment,Mekka4e,Transformado,Morph,,,,,,,,,,,,
