TEXT,SET,TYPE,ID,NAME,MECHANICS,PLAYERCLASS,COLLECTIBLE,FACTION,RARITY,HEALTH,COST,ARTIST,ATTACK,HOWTOGETGOLD,FLAVOR,HOWTOGET,RACE,INPLAYTEXT,DURABILITY
Vos tours sont plus courts.,Basic,Enchantment,GAME_004,ABS,,,,,,,,,,,,,,,
+1 ATQ pendant ce tour.,Basic,Enchantment,CS2_083e,Aiguisé,OneTurnEffect,Rogue,,,,,,,,,,,,,
Le chef de raid confère +1 ATQ à ce serviteur.,Basic,Enchantment,CS2_122e,Amélioration,,,,,,,,,,,,,,,
,Basic,Hero,HERO_09,Anduin Wrynn,,Priest,True,Neutral,Free,30,,,,,,,,,
<b>Pouvoir héroïque</b>Invoque un totem aléatoire.,Basic,Hero Power,CS2_049,Appel totémique,,Shaman,,Neutral,Free,,2,,,,,,,,
<b>Cri de guerre :</b> inflige 1 point de dégâts.,Basic,Minion,CS2_189,Archère elfe,Battlecry,,True,Horde,Common,1,1,Steve Prescott,1,Débloquée au niveau 57 du druide.,N’essayez même pas de l’inviter à sortir elle filerait comme une flèche.,,,,
<b>Dégâts des sorts : +1</b>,Basic,Minion,CS2_155,Archimage,Spellpower,,True,Alliance,Common,7,6,Steve Ellis,4,Débloquée au niveau 57 du mage.,Pour obtenir le titre d’archimage il suffit de pouvoir détruire tous ceux qui ne seraient pas d’accord.,,,,
Ce personnage a +3 ATQ pendant ce tour.,Basic,Enchantment,CS2_045e,Arme croque-roc,OneTurnEffect,Shaman,,,,,,,,,,,,,
Confère à un personnage allié +3 ATQ pendant ce tour.,Basic,Spell,CS2_045,Arme croque-roc,,Shaman,True,Neutral,Free,,1,Alex Horley Orlandelli,,Débloquée au niveau 36.,Elle ne craint ni roi ni roc !,Débloquée au niveau 1.,,,
Détruit un serviteur adverse.,Basic,Spell,CS2_076,Assassiner,,Rogue,True,Neutral,Free,,5,Glenn Rane,,Débloquée au niveau 47.,Si vous ne voulez pas être assassiné fuyez dans les Tarides et changez de nom. Bonne chance !,Débloquée au niveau 1.,,,
Renvoie un serviteur adverse dans la main de votre adversaire.,Basic,Spell,EX1_581,Assommer,,Rogue,True,Neutral,Free,,2,Scott Altmann,,Débloquée au niveau 40.,Les voleurs adorent les films assommants.,Débloquée au niveau 1.,,,
Inflige $5 |4(pointpoints) de dégâts au héros adverse.,Basic,Spell,DS1_233,Attaque mentale,,Priest,True,Neutral,Free,,2,Dave Allsop,,Débloquée au niveau 15.,Ce sort vous explose littéralement DANS la tête.,Débloquée au niveau 1.,,,
Inflige $3 |4(pointpoints) de dégâts au héros adverse.,Basic,Spell,CS2_075,Attaque pernicieuse,,Rogue,True,Neutral,Free,,1,Frank Cho,,Débloquée au niveau 15.,Il y a quelque chose de délétère dans cette attaque. De pernicieux même !,Débloquée au niveau 1.,,,
Inflige $2 |4(pointpoints) de dégâts à un serviteur indemne.,Basic,Spell,CS2_072,Attaque sournoise,,Rogue,True,Neutral,Free,,0,Michael Sutfin,,Débloquée au niveau 36.,Attention derrière toi c’est affreux !,Débloquée au niveau 1.,,,
<i>Vous avez peut-être perdu à pile ou face mais vous avez gagné un ami.</i>,Basic,Minion,GAME_002,Avatar de la pièce,,,,,Free,1,0,,1,,,,,,
Inflige $4 |4(pointpoints) de dégâts à un adversaire et $1 |4(pointpoints) de dégâts à tous les autres adversaires.,Basic,Spell,CS2_012,Balayage,,Druid,True,Neutral,Common,,4,Sean O’Daniels,,Débloquée au niveau 47.,Quand un ours se met sur ses pattes arrière et tend celles de devant vous êtes bon pour un balayage ! ... ou un gros câlin.,Débloquée au niveau 8.,,,
Caractéristiques augmentées.,Basic,Enchantment,CS2_226e,Bannière loup-de-givre,,,,,,,,,,,,,,,
+3 ATQ.,Basic,Enchantment,CS2_087e,Bénédiction de puissance,,Paladin,,Neutral,,,,,,,,,,,
Confère +3 ATQ à un serviteur.,Basic,Spell,CS2_087,Bénédiction de puissance,,Paladin,True,Neutral,Free,,1,Zoltan Boros,,Débloquée au niveau 45.,« Sans bénédiction la puissance n’est rien ! » - Toad Mackle récemment béni.,Débloquée au niveau 1.,,,
Confère à un serviteur +4/+4. <i>(+4 ATQ/+4 PV)</i>,Basic,Spell,CS2_092,Bénédiction des rois,,Paladin,True,Neutral,Common,,4,Lucas Graciano,,Débloquée au niveau 49.,Étant donné le nombre de rois ayant été assassinés vous êtes certain de vouloir leur bénédiction ?,Débloquée au niveau 10.,,,
+4/+4.,Basic,Enchantment,CS2_092e,Bénédiction des rois,,Paladin,,,,,,,,,,,,,
+1/+1.,Basic,Enchantment,EX1_019e,Bénédiction du clerc,,Priest,,,,,,,,,,,,,
L’Attaque de ce serviteur est augmentée.,Basic,Enchantment,EX1_399e,Berserker,,,,,,,,,,,,,,,
Chaque fois que ce serviteur subit des dégâts il gagne +3 ATQ.,Basic,Minion,EX1_399,Berserker gurubashi,,,True,Neutral,Common,7,5,Alex Horley Orlandelli,2,Débloquée au niveau 57 du démoniste.,Les meilleures défenses c’est l’attaque.,,,,
Inflige $6 |4(pointpoints) de dégâts.,Basic,Spell,CS2_029,Boule de feu,,Mage,True,Neutral,Free,,4,Ralph Horsley,,Débloquée au niveau 44.,Ce sort est utile pour faire brûler des choses. Si vous cherchez un sort pour griller ou juste réchauffer vous n’êtes pas au bon endroit.,Débloquée au niveau 1.,,,
Vous piochez une carte chaque fois que vous invoquez une bête.,Basic,Minion,CS2_237,Busard affamé,,Hunter,True,,Common,2,5,Bernie Kang,3,Débloquée au niveau 47.,Si vous le nourrissez il perdra toute son <i>identité</i>.,Débloquée au niveau 4.,Beast,,
Vos autres serviteursont +1/+1.,Basic,Minion,CS2_222,Champion de Hurlevent,Aura,,True,Alliance,Common,6,7,Doug Alexander,6,Débloquée au niveau 59 du paladin.,Quand Aile de mort a attaqué la capitale ce soldat a été le seul membre de son escouade à avoir survécu. Depuis il est devenu amer...,,,,
Chaque fois que votre héros attaque lui rend 2 PV.,Basic,Weapon,CS2_097,Championne en vrai-argent,,Paladin,True,Neutral,Common,,4,Ryan Sook,4,Débloquée au niveau 40.,Elle fend elle tranche elle coupe vraiment tout même la parole ! (Mais ce n’est pas poli.),Débloquée au niveau 2.,,,2
Passer en second augmente vos points de vie.,Basic,Enchantment,GAME_001,Chance de la pièce,,,,,,,,,,,,,,,
<b>Pouvoir héroïque</b>+1 ATQ pendant ce tour.+1 Armure.,Basic,Hero Power,CS2_017,Changeforme,,Druid,,Neutral,Free,,2,,,,,,,,
+2 ATQ et <b>Charge</b>.,Basic,Enchantment,CS2_103e2,Charge,,Warrior,,,,,,,,,,,,,
Le rhino de la toundra confère <b>Charge</b>.,Basic,Enchantment,DS1_178e,Charge,,Hunter,,,,,,,,,,,,,
Confère +2 ATQ et <b>Charge</b> à un serviteur allié.,Basic,Spell,CS2_103,Charge,,Warrior,True,Neutral,Free,,3,Alex Horley Orlandelli,,Débloquée au niveau 23.,« Soyez pas vache attendez-moi ! »,Débloquée au niveau 1.,,,
Ce serviteur a <b>Charge</b>.,Basic,Enchantment,EX1_084e,Charge,,Warrior,,,,,,,,,,,,,
<b>Cri de guerre :</b> invoque un éclaireur murloc 1/1.,Basic,Minion,EX1_506,Chasse-marée murloc,Battlecry,,True,Neutral,Common,1,2,Dan Scott,2,Débloquée au niveau 53 du voleur.,« La mort monte avec la marée ! »,,Murloc,,
<b>Cri de guerre :</b> invoque un sanglier 1/1.,Basic,Minion,CS2_196,Chasseuse de Tranchebauge,Battlecry,,True,Horde,Common,3,3,Clint Langley,2,Débloquée au niveau 55 du chasseur.,Quelqu’un a nargué Longues-défenses une fois. PAS DEUX.,,,,
Inflige $2 |4(pointpoints) de dégâts.,Basic,Spell,CS1_130,Châtiment sacré,,Priest,True,Neutral,Free,,1,Steve Ellis,,Débloquée au niveau 23.,Peu importe votre dévotion. Recevoir un châtiment de temps à autre ne peut pas faire de mal...,Débloquée au niveau 1.,,,
<b>Cri de guerre :</b> gagne +1/+1 pour chaque autre serviteur allié sur le champ de bataille.,Basic,Minion,CS2_226,Chef de guerre loup-de-givre,Battlecry,,True,Horde,Common,4,5,James Ryman,4,Débloquée au niveau 53 du chaman.,Les Loups-de-givre affrontent les Foudrepiques pour le contrôle de la vallée d’Alterac. Le capitaine Galvangar a étouffé dans l’œuf toutes les tentatives de pourparlers de paix en tuant le médiateur.,,,,
Vos autres serviteurs ont +1 ATQ.,Basic,Minion,CS2_122,Chef de raid,Aura,,True,,Free,2,3,Phill Gonzales,2,Débloquée au niveau 57 du guerrier.,Moins 50 DKP !,,,,
<b>Charge</b>,Basic,Minion,CS2_131,Chevalier de Hurlevent,Charge,,True,Alliance,Common,5,4,Ladronn,2,Débloquée au niveau 55 du paladin.,Il est encore un peu gêné pour « l’incident » avec Aile de mort.,,,,
<b>Charge</b>,Basic,Minion,CS2_124,Chevaucheur de loup,Charge,,True,Horde,Free,1,3,Dany Orizio,3,Débloquée au niveau 59 du guerrier.,Les chevaucheurs préfèrent monter des loups parce qu’ils sont extrêmement bien adaptés aux environnements rigoureux mais aussi parce qu’ils ont le poil doux et brillant.,,,,
