MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,INPLAYTEXT,ELITE,RACE,DURABILITY
OneTurnEffect,Classic,« Inspiré »,Ce serviteur a +2 ATQ pendant ce tour.,Enchantment,CS2_188o,,,,,,,,,,,,,
Deathrattle|Taunt,Classic,Abomination,<b>Provocation</b>.
<b>Râle d’agonie :</b> inflige 2 points de dégâts à TOUS les personnages.,Minion,EX1_097,True,Neutral,Alex Horley Orlandelli,Rare,4,5,4,Les abominations adorent la viande fraîche et les longues promenades sur la plage.,,,,,
,Classic,Acclimatation,Détruit un serviteur. Votre adversaire pioche 2 cartes.,Spell,EX1_161,True,Neutral,Leo Che,Common,,1,,Sur le moment ça m’a semblé une bonne idée...,Druid,,,,
,Classic,Accro au mana,Chaque fois que vous lancez un sort gagne +2 ATQ pendant ce tour.,Minion,EX1_055,True,Alliance,Hideaki Takamura,Rare,1,2,3,Elle tente de se défaire de cette mauvaise habitude mais après une mauvaise journée c’est dur de résister.,,,,,
OneTurnEffect,Classic,Acier trempé,+2 ATQ pendant ce tour.,Enchantment,EX1_046e,,,,,,,,,,,,,
,Classic,Acolyte de la souffrance,Vous piochez une carte chaque fois que ce serviteur subit des dégâts.,Minion,EX1_007,True,,Dave Kendall,Common,1,3,3,Quand il était plus jeune il voulait devenir acolyte de la joie mais on ne fait pas toujours ce qu’on veut dans la vie.,,,,,
,Classic,Affûtage nécessaire,ATQ réduite.,Enchantment,EX1_411e2,,,,,,,,,Warrior,,,,
Combo,Classic,Agent du SI:7,<b>Combo :</b> inflige 2 points de dégâts.,Minion,EX1_134,True,Neutral,Chris Moeller,Rare,3,3,3,Les agents du SI:7 sont chargés des activités secrètes de Hurlevent. Cela comprend l’espionnage l’assassinat et les fêtes d’anniversaire surprise pour la famille royale.,Rogue,,,,
,Classic,Aiguisé,+1 Durabilité.,Enchantment,CS2_146o,,,,,,,,,,,,,
Battlecry,Classic,Aile de mort,<b>Cri de guerre :</b> détruit tous les autres serviteurs et vous défausse de votre main.,Minion,NEW1_030,True,,Bernie Kang,Legendary,12,10,12,Aile de mort autrefois nommé Neltharion était à l’époque un noble dragon mais il perdit la tête et ravagea Azeroth avant d’être vaincu. Un complexe d’Œdipe ?,,,True,Dragon,
Charge|Divine Shield|Taunt|Windfury,Classic,Al’Akir seigneur des Vents,<b>Furie des vents Charge Bouclier divin Provocation</b>,Minion,NEW1_010,True,,Raymond Swanland,Legendary,3,8,5,Quel est le comble pour Al’Akir ? Se prendre régulièrement un vent des trois autres seigneurs élémentaires.,Shaman,,True,,
Battlecry,Classic,Alchimiste dément,<b>Cri de guerre :</b> échange l’Attaque et la Vie d’un serviteur.,Minion,EX1_059,True,Neutral,Tom Fleming,Rare,2,2,2,« Vous allez <i>adooorer</i> ma nouvelle recette ! » affirme-t-il... en particulier si vous en avez assez d’être un bipède !,,,,,
Battlecry,Classic,Alexstrasza,<b>Cri de guerre :</b> fixe les points de vie restants d’un héros à 15.,Minion,EX1_561,True,Neutral,Raymond Swanland,Legendary,8,9,8,Alexstrasza la Lieuse-de-vie apporte vie et espoir à tout le monde. Sauf à Aile de mort. Et Malygos. Et Nekros.,,,True,Dragon,
Deathrattle,Classic,Amasseur de butin,<b>Râle d’agonie :</b> vous piochez une carte.,Minion,EX1_096,True,Neutral,Jim Nelson,Common,2,2,1,« Je peux ? C’est pour ma troisième spé ! » - Anachroniste,,,,,
,Classic,Âme de la forêt,Confère à vos serviteurs « <b>Râle d’agonie :</b> invoque un tréant 2/2. »,Spell,EX1_158,True,Neutral,Markus Erdt,Common,,4,,C’est l’arbre qui cache la forêt.,Druid,,,,
,Classic,Âme de la forêt,Râle d’agonie : invoque un tréant 2/2.,Enchantment,EX1_158e,,,,,,,,,Druid,,,,
Aura,Classic,Âme en peine de mana,TOUS les serviteurs coûtent (1) cristal de plus.,Minion,EX1_616,True,Neutral,Luca Zontini,Rare,2,2,2,Elles sortent de nuit pour manger les restes des cristaux de mana en poussant des « mmmmm » de contentement.,,,,,
,Classic,Amélioration,Durabilité augmentée.,Enchantment,EX1_536e,,,,,,,,,Hunter,,,,
,Classic,Amélioration !,Si vous avez une arme lui donne +1/+1. Sinon vous équipe d’une arme 1/3.,Spell,EX1_409,True,Neutral,Matt Cavotta,Rare,,1,,Elle vaut facilement 50 DKP !,Warrior,,,,
,Classic,Améliorée,+1 ATQ et +1 Durabilité.,Enchantment,EX1_409e,,,,,,,,,Warrior,,,,
,Classic,Ancien de la guerre,<b>Choix des armes :</b> 
