SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
"Credits","Andy Brock",True,"Ne peut être <b>réduit au silence. Bouclier divin. Camouflage.</b>","Legendary",1,1,3,"Minion","CRED_15"
"Credits","Ben Brode",True,"Vous ne pouvez pas baisser le volume en dessous du maximum.","Legendary",4,3,1,"Minion","CRED_08"
"Credits","Ben Thompson",True,"<b>Cri de guerre :</b> dessine ses propres cartes.","Legendary",4,6,7,"Minion","CRED_09"
"Credits","Bob Fitch",True,"<b>Super provocation</b> <i>(TOUS les personnages doivent attaquer ce serviteur.)</i>","Legendary",2,3,4,"Minion","CRED_03"
"Credits","Brian Schwab",True,"À la fin de votre tour confère +1 Attaque à un serviteur aléatoire.","Legendary",10,10,10,"Minion","CRED_13"
"Credits","Derek Sakamoto",True,"<i>Le célèbre tapeur des pieds.</i>","Legendary",3,1,1,"Minion","CRED_06"
"Credits","Eric Dodds",True,"<b>Cri de guerre :</b> invoque un pirate 2/2 et détruit tous les ninjas.","Legendary",5,6,5,"Minion","CRED_02"
"Credits","Hamilton Chu",True,"<i>Ne fait PAS partie du problème... la plupart du temps.</i>","Legendary",9,7,5,"Minion","CRED_16"
"Credits","Jason Chayes",True,"<b>Accès de rage :</b> non on blague ! Il ne s’énerve jamais.","Legendary",7,6,6,"Minion","CRED_01"
"Credits","Jay Baxter",True,"<b>Cri de guerre :</b> invoque CINQ inventions aléatoires.","Legendary",1,4,4,"Minion","CRED_11"
"Credits","Kyle Harrison",True,"<i>3 cristaux pour un 5/4 ? Ça c’est une affaire !</i>","Legendary",5,3,4,"Minion","CRED_05"
"Credits","Michael Schweitzer",True,"<b>C-C-C-COMBO :</b> détruit un serviteur.","Legendary",2,2,2,"Minion","CRED_10"
"Credits","Rachelle Davis",True,"<b>Cri de guerre :</b> pioche DEUX cartes. <i>Ce n’est pas un ingénieur novice.</i>","Legendary",1,2,2,"Minion","CRED_12"
"Credits","Rob Pardo",True,"Vous ne pouvez pas commencer de partie sans ce serviteur dans votre deck.","Legendary",9,9,9,"Minion","CRED_17"
"Credits","Steven Gabriel",True,"<b>Cri de guerre :</b> invoque une boisson à mousse.","Legendary",3,1,3,"Minion","CRED_04"
"Credits","Yong Woo",True,"Vos autres serviteurs ont +3 Attaque et <b>Charge</b>.","Legendary",3,5,2,"Minion","CRED_14"
"Credits","Zwick",True,"<b>Cri de guerre :</b> se plaint du prix du bacon.","Legendary",2,2,2,"Minion","CRED_07"
