SET,NAME,TEXT,COST,TYPE,ID,MECHANICS,ATTACK,HEALTH,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,DURABILITY,PLAYERCLASS,RACE
Curse of Naxxramas,Accès de rage,Confère +6 ATQ à votre héros pendant ce tour.,3,Spell,NAX12_04,,,,,,,,,,,,,
Curse of Naxxramas,Accès de rage,+6 ATQ pendant ce tour.,,Enchantment,NAX12_04e,OneTurnEffect,,,,,,,,,,,,
Curse of Naxxramas,Adorateur,Votre héros a +3 ATQ pendant votre tour.,3,Minion,NAX2_05H,Aura,2,4,,,,,,,,,,
Curse of Naxxramas,Adorateur,Votre héros a +1 ATQ pendant votre tour.,3,Minion,NAX2_05,Aura,1,4,,,,,,,,,,
Curse of Naxxramas,Âme gémissante,<b>Cri de guerre :</b> réduit au <b>Silence</b> vos autres serviteurs.,4,Minion,FP1_016,Battlecry,3,5,True,Glenn Rane,Rare,Peut être créée après avoir battu Thaddius dans le quartier des Assemblages.,Cette âme n’arrête pas de se plaindre en <i>gémissant</i> auprès de sa hiérarchie c’est-à-dire vous !,Obtenue en gagnant contre Thaddius dans le quartier des Assemblages.,,,,
Curse of Naxxramas,Anub’Rekhan,,,Hero,NAX1h_01,,,45,,,,,,,,,,
Curse of Naxxramas,Anub’Rekhan,,,Hero,NAX1_01,,,30,,,,,,,,,,
Curse of Naxxramas,Appel des ténèbres,Caractéristiques augmentées.,,Enchantment,FP1_028e,,,,,,,,,,,,,
Curse of Naxxramas,Araignée spectrale,,1,Minion,FP1_002t,,1,1,,,,,,,,,,
Curse of Naxxramas,Aura nécrotique,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts au héros adverse.,0,Hero Power,NAX6_02H,,,,,,,,,,,,,
Curse of Naxxramas,Aura nécrotique,Vos sorts coûtent (5) cristaux de plus au prochain tour.,,Enchantment,FP1_030e,,,,,,,,,,,,,
Curse of Naxxramas,Aura nécrotique,<b>Pouvoir héroïque</b>
Inflige 3 points de dégâts au héros adverse.,2,Hero Power,NAX6_02,,,,,,,,,,,,,
Curse of Naxxramas,Baron Vaillefendre,,,Hero,NAX9_01H,,,14,,,,,,,,,,
Curse of Naxxramas,Baron Vaillefendre,Vos serviteurs déclenchent deux fois leur <b>Râle d’agonie</b>.,4,Minion,FP1_031,Aura,1,7,True,Ralph Horsley,Legendary,Peut être créée après avoir terminé le quartier Militaire.,Dame Blaumeux préférerait qu’on dise « la cavalière et les trois cavaliers ».,Obtenue en terminant le quartier Militaire.,True,,,
Curse of Naxxramas,Baron Vaillefendre,,,Hero,NAX9_01,,,7,,,,,,,,,,
Curse of Naxxramas,Cavalier spectral,Au début de votre tour inflige 1 point de dégâts à votre héros.,5,Minion,NAX8_05t,,0,6,,,,,,,,,,
Curse of Naxxramas,Cavalier tenace,<b>Râle d’agonie :</b> invoque un cavalier spectral pour votre adversaire.,6,Minion,NAX8_05,Deathrattle,5,6,,,,,,,,,,
Curse of Naxxramas,Cervocalypse,Les deux joueurs piochent 2 cartes et gagnent un cristal de mana.,2,Spell,NAX5_03,,,,,,,,,,,,,
Curse of Naxxramas,Chaînes,<b>Pouvoir héroïque</b>
Prend le contrôle d’un serviteur adverse aléatoire jusqu’à la fin du tour.,8,Hero Power,NAX15_04,,,,,,,,,,,,,
Curse of Naxxramas,Chaînes,<b>Pouvoir héroïque</b>
Prend le contrôle d’un serviteur adverse aléatoire.,8,Hero Power,NAX15_04H,,,,,,,,,,,,,
Curse of Naxxramas,Champion gelé,Gelé pour toute la partie. Les serviteurs adjacents sont immunisés contre Souffle de givre.,5,Minion,NAX14_03,Aura,2,10,,,,,,,,,,
Curse of Naxxramas,Changement de polarité,<b>Pouvoir héroïque</b>
Échange l’Attaque et la Vie de tous les serviteurs.,0,Hero Power,NAX13_02,,,,,,,,,,,,,
Curse of Naxxramas,Chevalier de la mort spectral,Ne peut pas être la cible de sorts ou de pouvoirs héroïques.,5,Minion,FP1_008,,4,6,True,Chris Rahn,Common,Peut être créée après avoir battu Gothik le Moissonneur dans le quartier Militaire.,Qu’ont en commun les dragons féeriques et les chevaliers de la mort spectraux ? Ils adorent les pâtes !,Obtenue en gagnant contre Gothik le Moissonneur dans le quartier Militaire.,,,,
Curse of Naxxramas,Consumer,Caractéristiques augmentées.,,Enchantment,FP1_005e,,,,,,,,,,,,,
Curse of Naxxramas,Crache-vase,<b>Provocation.
Râle d’agonie :</b> invoque une gelée 1/2 avec <b>Provocation</b>.,5,Minion,FP1_012,Deathrattle|Taunt,3,5,True,Nate Bowden,Rare,Peut être créée après avoir battu Horreb dans le quartier de la Peste.,Ne vous lancez pas dans un concours de rots avec lui c’est perdu d’avance.,Obtenue en gagnant contre Horreb dans le quartier de la Peste.,,,,
Curse of Naxxramas,Cristal de contrôle mental,Active le cristal pour prendre le contrôle des doublures !,1,Spell,NAX7_05,,,,,,,,,,,,,
Curse of Naxxramas,Crochet,<b>Râle d’agonie :</b> place cette arme dans votre main.,3,Weapon,NAX10_02,Deathrattle,5,,,,,,,,,8,,
Curse of Naxxramas,Crochet,<b>Furie des vents</b>
<b>Râle d’agonie :</b> place cette arme dans votre main.,3,Weapon,NAX10_02H,Deathrattle|Windfury,4,,,,,,,,,8,,
Curse of Naxxramas,Croissance fongique,Attaque augmentée.,,Enchantment,NAX6_03te,,,,,,,,,,,,,
Curse of Naxxramas,Croq’zombie,<b>Râle d’agonie :</b> rend 5 PV au héros adverse.,1,Minion,FP1_001,Deathrattle,2,3,True,E. M. Gist,Common,Peut être créée après avoir battu Gluth dans le quartier des Assemblages.,Au menu ce soir le chef vous propose… du zombie.,Obtenue en gagnant contre Gluth dans le quartier des Assemblages.,,,,
Curse of Naxxramas,Dame Blaumeux,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_02H,,2,7,,,,,,,True,,,
Curse of Naxxramas,Dame Blaumeux,Votre héros est <b>Insensible</b>.,3,Minion,NAX9_02,,1,7,,,,,,,True,,,
Curse of Naxxramas,Décimer,<b>Pouvoir héroïque</b>
