MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,DURABILITY
Taunt,True,Goblins vs Gnomes,Annulateur d’Arcane X-21,Zero Yue,<b>Provocation</b>
Ne peut pas être la cible de sorts ou de pouvoirs héroïques.,Rare,2,4,5,Mech,Les magi et les ingénieurs gnomes se disputent âprement l’invention de ce Méca.,Minion,GVG_091,,,
,True,Goblins vs Gnomes,Appel des ancêtres,Dan Scott,Prend un serviteur aléatoire dans la main de chaque joueur et les pose sur le champ de bataille.,Epic,,4,,,« Hé les ancêtres ! » - Appel des ancêtres,Spell,GVG_029,Shaman,,
,True,Goblins vs Gnomes,Appel du familier,E.M. Gist,Vous piochez une carte. Si c&sbquo;est une Bête elle coûte (4) cristaux de moins.,Rare,,2,,,Les vrais chasseurs chassent la galinette cendrée.,Spell,GVG_017,Hunter,,
,True,Goblins vs Gnomes,Arbre de vie,Steve Prescott,Rend à tous les personnages tous leurs points de vie.,Epic,,9,,,La Vie pousse sur les arbres !?,Spell,GVG_033,Druid,,
,,Goblins vs Gnomes,Armure en plaques,,Attaque augmentée.,,,,,,,Enchantment,GVG_086e,Warrior,,
,,Goblins vs Gnomes,Bien armé,,Caractéristiques augmentées.,,,,,,,Enchantment,GVG_027e,Rogue,,
,,Goblins vs Gnomes,Bien équipé,,+2/+2.,,,,,,,Enchantment,GVG_060e,Paladin,,
Battlecry,True,Goblins vs Gnomes,Bling-o-tron 3000,Jomaro Kindred,<b>Cri de guerre :</b> équipe chaque joueur d’une arme aléatoire.,Legendary,3,5,4,Mech,SERVOS DE FÊTE PRÊTS POUR DÉPLOIEMENT IMMÉDIAT.,Minion,GVG_119,,True,
,True,Goblins vs Gnomes,Bolvar Fordragon,Tooth,Chaque fois qu’un serviteur allié meurt quand vous avez cette carte en main elle gagne +1 ATQ.,Legendary,1,5,7,,Mais tout le monde sait ça : Bolvar se fait calciner puis il s’assoit sur un trône de glace et se fait bien vite oublier.,Minion,GVG_063,Paladin,True,
Battlecry,True,Goblins vs Gnomes,Bombardier cinglé,Alex Horley Orlandelli,<b>Cri de guerre :</b> inflige 6 points de dégâts répartis de façon aléatoire entre tous les autres personnages.,Rare,5,5,4,,Fuyez pauvres fous !,Minion,GVG_090,,,
Battlecry,True,Goblins vs Gnomes,Bombardière d’ombre,Matt Dixon,<b>Cri de guerre :</b> inflige 3 points de dégâts aux héros.,Epic,2,1,1,,Elle fait son travail mais elle le fait machinalement.,Minion,GVG_009,Priest,,
AffectedBySpellPower,True,Goblins vs Gnomes,Bombe de lumière,Luca Zontini,Inflige à chaque serviteur des dégâts équivalents à leur ATQ.,Epic,,6,,,Voilà ce qui se passe quand on laisse les gobelins devenir prêtres…,Spell,GVG_008,Priest,,
,True,Goblins vs Gnomes,Bombe de matière noire,Jeff Haynie,Inflige $3 |4(pointpoints) de dégâts.,Common,,2,,,Si vous cherchez à vous faire un deck « Emo » c’est la carte idéale !,Spell,GVG_015,Warlock,,
Battlecry,True,Goblins vs Gnomes,Bondisseur dent-de-métal,Hideaki Takamura,<b>Cri de guerre :</b> donne +2 ATQ à vos autres Méca.,Rare,3,3,3,Mech,Allez chercher le bidon d’huile il ne faut pas qu’il rouille.,Minion,GVG_048,Hunter,,
,True,Goblins vs Gnomes,Boxeur de l’ombre,Dan Scott,Chaque fois qu’un personnage est soigné inflige 1 point de dégâts à un adversaire aléatoire.,Rare,2,2,3,Mech,Un boxeur ça boxe.,Minion,GVG_072,Priest,,
,,Goblins vs Gnomes,Bricolé à fond,,Caractéristiques augmentées.,,,,,,,Enchantment,GVG_106e,,,
,True,Goblins vs Gnomes,Brik-à-bot,Zoltan Boros,Chaque fois qu’un Méca allié meurt gagne +2/+2.,Epic,1,5,5,Mech,Un robot doit protéger son existence tant que cette protection n’entre pas en conflit avec la Première ou la Deuxième loi.,Minion,GVG_106,,,
,True,Goblins vs Gnomes,Brute ogre,Vinod Rams,50% de chance d’attaquer le mauvais adversaire.,Common,4,3,4,,Les ogres ont vraiment un problème de… Elle est où la poulette ?,Minion,GVG_065,,,
,,Goblins vs Gnomes,CADEAU BONUS,,+2/+2.,,,,,,,Enchantment,GVG_104a,,,
,,Goblins vs Gnomes,Camouflé,,Camouflé jusqu’à votre prochain tour.,,,,,,,Enchantment,PART_004e,,,
,True,Goblins vs Gnomes,Canon du navire,Warren Mahy,Chaque fois que vous invoquez un pirate inflige 2 points de dégâts à un adversaire aléatoire.,Common,2,2,3,,Fais-lui bobo avec tes boulettes !,Minion,GVG_075,,,
,True,Goblins vs Gnomes,Canon lance-flammes,Mauricio Herrera,Inflige $4 |4(pointpoints) de dégâts à un serviteur adverse aléatoire.,Common,,2,,,Le classique de la maison notre fidèle canon lance-flammes mon préféré !,Spell,GVG_001,Mage,,
Windfury,True,Goblins vs Gnomes,Chaman cognedune,José Ladrönn,<b>Furie des vents.</b>
50% de chance d’attaquer le mauvais adversaire. 
<b>Surcharge :</b> (1),Rare,5,4,4,,Il ferme les yeux et il fonce. Rahhhhhhhhhhhhhh !,Minion,GVG_066,Shaman,,
,,Goblins vs Gnomes,Champ de camouflage,Nutchapol Thitinunthakorn,Confère <b>Camouflage</b> à un serviteur allié jusqu’à votre prochain tour.,,,1,,,,Spell,PART_004,,,
,True,Goblins vs Gnomes,Char araignée,Dany Orizio,,Common,3,3,4,Mech,« Et si on lui ajoutait des canons ? »
- Fuséclair à propos de l’araignée de transport,Minion,GVG_044,,,
Divine Shield,True,Goblins vs Gnomes,Char de force MAX,Nutchapol Thitinunthakorn,<b>Bouclier divin</b>,Common,7,8,7,Mech,À Tanaris il y a une usine de chars de force mais seuls deux chars sont sortis des ateliers à cause des dépassements de budget.,Minion,GVG_079,,,
,True,Goblins vs Gnomes,Choix de Velen,Alex Horley Orlandelli,Confère à un serviteur +2/+4 et <b>+1 aux dégâts des sorts</b>.,Common,,3,,,Parce qu’en plus c’est moi qui dois décider ?,Spell,GVG_010,Priest,,
,,Goblins vs Gnomes,Choix de Velen,,+2/+4 et <b>dégâts des sorts :+1</b>.,,,,,,,Enchantment,GVG_010b,,,
