SET,NAME,FACTION,TEXT,RARITY,COST,TYPE,ID,ATTACK,HEALTH,PLAYERCLASS,DURABILITY,MECHANICS,INPLAYTEXT
Missions,Banane,Neutral,Confère +1/+1 à un serviteur allié. <i>(+1 ATQ / +1 PV)</i>,Common,1,Spell,TU4c_006,,,,,,
Missions,Banane,,Ce serviteur a +1/+1. <i>(+1 ATQ / +1 PV)</i>,,,Enchantment,TU4c_006e,,,,,,
Missions,Chasseur fou,,,Common,1,Minion,TU4d_002,1,1,,,,
Missions,Chroniqueur Cho,,,,,Hero,TU4f_001,,25,,,,
Missions,Coup de fusil,,<b>Pouvoir héroïque</b>
Inflige 1 point de dégâts.,Common,2,Hero Power,TU4d_003,,,Hunter,,,
Missions,Éclaireur pandaren,,,Common,1,Minion,TU4f_002,1,1,,,,
Missions,Explosion de flammes,,Lance 5 missiles infligeant chacun $1 |4(pointpoints) de dégâts à des adversaires aléatoires.,Common,3,Spell,TU4e_005,,,,,,
Missions,Flamme d’Azzinoth,,,Common,1,Minion,TU4e_002t,2,1,,,,
Missions,Flammes d’Azzinoth,,<b>Pouvoir héroïque</b>
Invoque deux serviteurs 2/1.,,2,Hero Power,TU4e_002,,,,,,
Missions,Glaive de guerre d’Azzinoth,,,Common,2,Weapon,TU4e_004,2,,,2,,
Missions,Glaives de guerre doubles,,,Common,6,Weapon,TU4e_007,4,,,2,,
Missions,Gnoll,,,Common,1,Minion,TU4a_003,1,1,,,,
Missions,Gnoll massif,,,Common,4,Minion,TU4a_005,5,2,,,,
Missions,Gnoll rivepatte,,,Common,1,Minion,TU4a_002,2,1,,,,
Missions,Gnome caché,Neutral,Il se cachait dans un tonneau !,Common,2,Minion,TU4c_005,1,3,,,,
Missions,Grand frère de Mukla,,Il est si fort et pour seulement 6 cristaux de mana ?!,Common,6,Minion,TU4c_007,10,10,,,,
Missions,Hemet Nesingwary,,,Common,,Hero,TU4d_001,,20,Hunter,,,
Missions,Héritage de l’Empereur,,Confère à vos serviteurs +2/+2. <i>(+2 ATQ / +2 PV)</i>,Common,3,Spell,TU4f_004,,,,,,
Missions,Héritage de l’Empereur,,A +2/+2. <i>(+2 ATQ / +2 PV)</i>,,,Enchantment,TU4f_004o,,,,,,
Missions,Illidan Hurlorage,,,,,Hero,TU4e_001,,30,Hunter,,,
Missions,Jaina Portvaillant,,,Common,,Hero,TU4a_006,,27,Mage,,,
Missions,Lancer de tonneau,Neutral,Inflige 2 points de dégâts.,Common,1,Spell,TU4c_002,,,,,,
Missions,Lardeur,,,Common,,Hero,TU4a_001,,10,,,,
Missions,Lardeur TOUT CASSER !,,Inflige 4 points de dégâts.,Common,3,Spell,TU4a_004,,,,,,
Missions,Maître brasseur,,,Common,4,Minion,TU4f_005,4,4,,,,
Missions,Millhouse Tempête-de-Mana,,,Common,,Hero,TU4b_001,,20,Mage,,,
Missions,Moine pandashan,,,Common,2,Minion,TU4f_003,2,2,,,,
Missions,Myrmidon naga,,<b></b>,Common,1,Minion,TU4e_003,1,1,,,,
Missions,Piétinement,Neutral,Inflige 2 points de dégâts à tous les adversaires.,Common,2,Spell,TU4c_004,,,,,,
Missions,Puissance de Mukla,,Le roi Mukla a +8 en Attaque pendant ce tour.,,,Enchantment,TU4c_008e,,,,,OneTurnEffect,
Missions,Roi Mukla,,,Common,,Hero,TU4c_001,,26,,,,
Missions,Singe cinglé,,<b>Cri de guerre :</b> lance des bananes.,Common,1,Minion,TU4f_007,1,2,,,Battlecry,
Missions,Tonneau,Neutral,Il y a quelque chose dans ce tonneau ?,Common,0,Minion,TU4c_003,,2,,,Deathrattle,
Missions,Transcendance,,Cho ne peut pas être attaqué tant qu’il a des serviteurs.,Common,1,Spell,TU4f_006,,,,,,
Missions,Transcendance,,Cho ne peut pas être attaqué tant qu’il a des serviteurs.,,,Enchantment,TU4f_006o,,,,,,
Missions,Volonté de Mukla,,Rend 8 points de vie.,Common,3,Spell,TU4c_008,,,,,,
