MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,HOWTOGETGOLD,FLAVOR,TYPE,ID,FACTION,RACE,INPLAYTEXT
Battlecry,True,"Promotion","Elite Tauren Chieftain","Samwise Didier",True,"<b>Cri de guerre :</b> confère aux deux joueurs la puissance du ROCK ! (grâce à une carte au riff dément !)","Legendary",5,5,5,"Obtenue à la BlizzCon 2013.","« Si je dois être détruit par le rock'n roll je m’assurerai que le rock'n roll soit détruit en même temps que moi ! »","Minion","PRO_001",,,
,,"Promotion","Encouragé !",,,"Caractéristiques augmentées.",,,,,,,"Enchantment","Mekka3e",,,
,,"Promotion","Encourageur 3000",,,"À la fin de votre tour confère +1/+1 à un serviteur aléatoire.","Common",0,1,4,,,"Minion","Mekka3","Alliance","Mech",""
Battlecry,True,"Promotion","Gelbin Mekkanivelle","Ludo Lullabi",True,"<b>Cri de guerre :</b> invoque une invention GÉNIALE.","Legendary",6,6,6,"Cette récompense a été attribuée aux joueurs qui ont participé au test de la boutique lors de la bêta.","C’est le chef des gnomes et un formidable inventeur. Mais il y a mieux : il transforme beaucoup MOINS souvent les choses en poulet.","Minion","EX1_112","Alliance",,
,,"Promotion","Je suis murloc",,,"Invoque trois quatre ou cinq murlocs 1/1.",,,4,,,,"Spell","PRO_001a",,,
,,"Promotion","Les voleurs ça vous prend...",,,"Inflige $4 |4(pointpoints) de dégâts. Vous piochez une carte.",,,4,,,,"Spell","PRO_001b",,,
,,"Promotion","Murloc",,,,,1,1,1,,,"Minion","PRO_001at",,"Murloc",
,,"Promotion","Poulet",,,"<i>Viens mon poulet !</i>",,1,0,1,,,"Minion","Mekka4t",,"Beast",
,,"Promotion","Poulet à tête chercheuse",,,"Au début de votre tour ce serviteur est détruit et vous piochez 3 cartes.","Common",0,1,1,,,"Minion","Mekka1","Alliance","Mech",""
,,"Promotion","Pouletisateur",,,"Au début de votre tour transforme un serviteur aléatoire en poulet 1/1.","Common",0,1,3,,,"Minion","Mekka4","Alliance","Mech",""
,,"Promotion","Puissance de la Horde",,,"Invoque un guerrier de la Horde aléatoire.",,,4,,,,"Spell","PRO_001c",,,
,,"Promotion","Robot réparateur",,,"À la fin de votre tour rend 6 PV à un personnage blessé.","Common",0,1,3,,,"Minion","Mekka2","Alliance","Mech",""
Morph,,"Promotion","Transformé",,,"A été transformé en poulet !",,,,,,,"Enchantment","Mekka4e",,,
