MECHANICS,SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,FACTION,RARITY,HEALTH,ARTIST,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,INPLAYTEXT,RACE
OneTurnEffect,Basic,Affilata,+1 Attacco per questo turno.,Enchantment,CS2_083e,Rogue,,,,,,,,,,,,,
,Basic,Anduin Wrynn,,Hero,HERO_09,Priest,True,Neutral,Free,30,,,,,,,,,
Battlecry,Basic,Arciera Elfica,<b>Grido di Battaglia:</b> infligge 1 danno.,Minion,CS2_189,,True,Horde,Common,1,Steve Prescott,1,1,Sbloccata al livello 57 del Druido.,Si sconsiglia di non invitarla fuori a cena. Farebbe letteralmente breccia nel tuo cuore.,,,,
Spellpower,Basic,Arcimago,<b>+1 Danni Magici</b>,Minion,CS2_155,,True,Alliance,Common,7,Steve Ellis,4,6,Sbloccata al livello 57 del Mago.,Un Arcimago ottiene tale titolo quando riesce a sconfiggere chiunque lo metta in dubbio.,,,,
OneTurnEffect,Basic,Arma Roccia Dura,+3 Attacco per questo turno.,Enchantment,CS2_045e,Shaman,,,,,,,,,,,,,
,Basic,Arma Roccia Dura,+3 Attacco a un tuo personaggio per questo turno.,Spell,CS2_045,Shaman,True,Neutral,Free,,Alex Horley Orlandelli,,1,Sbloccata al livello 36.,Particolarmente efficiente contro i nemici duri come una roccia.,Sbloccata al livello 1.,,,
OneTurnEffect,Basic,Artigli,+1 Attacco al tuo eroe per questo turno.,Enchantment,CS2_017o,Druid,,,,,,,,,,,,,
,Basic,Ascia Ardente,,Weapon,CS2_106,Warrior,True,Neutral,Free,,Lucas Graciano,3,2,Sbloccata al livello 49.,Durante periodi di tranquillità e armonia quest&sbquo;arma veniva chiamata Ascia da Pace Rinfrescante.,Sbloccata al livello 1.,2,,
,Basic,Assalto Eroico,+4 Attacco al tuo eroe per questo turno.,Spell,CS2_105,Warrior,True,Neutral,Free,,Jonboy Meyers,,2,Sbloccata al livello 15.,Pensaci: se fossi davvero un eroe <i>ogni</i> tuo assalto sarebbe eroico.,Sbloccata al livello 1.,,,
OneTurnEffect,Basic,Assalto Eroico,+4 Attacco per questo turno.,Enchantment,CS2_105e,Warrior,,,,,,,,,,,,,
,Basic,Assalto Funesto,Infligge $3 danni all&sbquo;eroe nemico.,Spell,CS2_075,Rogue,True,Neutral,Free,,Frank Cho,,1,Sbloccata al livello 15.,C&sbquo;è qualcosa di profondamente inquietante in questo colpo. È quasi... funesto.,Sbloccata al livello 1.,,,
,Basic,Assassinio,Distrugge un servitore nemico.,Spell,CS2_076,Rogue,True,Neutral,Free,,Glenn Rane,,5,Sbloccata al livello 47.,Se non vuoi farti assassinare è meglio se ti trasferisci nelle Savane e cambi nome. Buona fortuna!,Sbloccata al livello 1.,,,
,Basic,Assente,I tuoi turni sono più corti.,Enchantment,GAME_004,,,,,,,,,,,,,,
,Basic,Avatar della Moneta,<i>Hai perso il lancio della moneta ma hai ottenuto un amico.</i>,Minion,GAME_002,,,,Free,1,,1,0,,,,,,
,Basic,Benedizione dei Re,+4/+4.,Enchantment,CS2_092e,Paladin,,,,,,,,,,,,,
,Basic,Benedizione dei Re,+4/+4 a un servitore.,Spell,CS2_092,Paladin,True,Neutral,Common,,Lucas Graciano,,4,Sbloccata al livello 49.,Considerando quanti re sono stati assassinati sei ancora certo di volere la loro benedizione?,Sbloccata al livello 10.,,,
,Basic,Benedizione della Chierica,+1/+1.,Enchantment,EX1_019e,Priest,,,,,,,,,,,,,
,Basic,Benedizione: Vigore,+3 Attacco.,Enchantment,CS2_087e,Paladin,,Neutral,,,,,,,,,,,
,Basic,Benedizione: Vigore,+3 Attacco a un servitore.,Spell,CS2_087,Paladin,True,Neutral,Free,,Zoltan Boros,,1,Sbloccata al livello 45.,&bdquo;Come dice il nome stesso sto per mandarti a farti benedire.&bdquo; - Toad Mackle appena potenziato,Sbloccata al livello 1.,,,
,Basic,Berserker,Attacco aumentato.,Enchantment,EX1_399e,,,,,,,,,,,,,,
,Basic,Berserker Gurubashi,Ottiene +3 Attacco quando subisce danni.,Minion,EX1_399,,True,Neutral,Common,7,Alex Horley Orlandelli,2,5,Sbloccata al livello 57 dello Stregone.,Ciò che non ti uccide ti fortifica.,,,,
OneTurnEffect,Basic,Brama di Sangue,+3 Attacco per questo turno.,Enchantment,CS2_046e,Shaman,,,,,,,,,,,,,
