MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,RACE,DURABILITY,FACTION
Charge,Blackrock Mountain,Aberrazione,<b>Carica</b>,1,1,1,Minion,BRMA15_4,,,,,,,,,,,
,Blackrock Mountain,Aberrazioni Furiose,Evoca 3 Aberrazioni.,,2,,Spell,BRMA15_3,,,,,,,,,,,
,Blackrock Mountain,Accolito Destafiamme,,3,2,3,Minion,BRMA06_4H,,,,,,,,,,,
,Blackrock Mountain,Accolito Destafiamme,,1,2,3,Minion,BRMA06_4,,,,,,,,,,,
,Blackrock Mountain,Adrenalina Ardente,Infligge $2 danni all&sbquo;eroe nemico.,,0,,Spell,BRMA11_3,,,,,,,,,,,
,Blackrock Mountain,Afflizione della Stirpe,<b>Potere Eroe</b>Alla fine del tuo turno mette una carta Afflizione nella mano dell&sbquo;avversario.,,0,,Hero Power,BRMA12_2,,,,,,,,,,,
,Blackrock Mountain,Afflizione della Stirpe,<b>Potere Eroe</b>Alla fine del tuo turno mette una carta Afflizione nella mano dell&sbquo;avversario.,,0,,Hero Power,BRMA12_2H,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Blu,Fintanto che è nella tua mano le Magie di Cromaggus costano (1) Mana in meno.,,1,,Spell,BRMA12_5,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Blu,Fintanto che è nella tua mano le Magie di Cromaggus costano (3) Mana in meno.,,3,,Spell,BRMA12_5H,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Bronzo,Fintanto che è nella tua mano i servitori di Cromaggus costano (1) Mana in meno.,,1,,Spell,BRMA12_7,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Bronzo,Fintanto che è nella tua mano i servitori di Cromaggus costano (3) Mana in meno.,,3,,Spell,BRMA12_7H,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Nera,Fintanto che è nella tua mano ogni volta che Cromaggus pesca una carta ne ottiene anche una copia.,,1,,Spell,BRMA12_6,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Nera,Fintanto che è nella tua mano ogni volta che Cromaggus pesca una carta ne ottiene anche una copia.,,3,,Spell,BRMA12_6H,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Afflizione: Rossa,Fintanto che è nella tua mano subisci 1 danno all&sbquo;inizio del tuo turno.,,1,,Spell,BRMA12_3,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Afflizione: Rossa,Fintanto che è nella tua mano subisci 3 danni all&sbquo;inizio del tuo turno.,,3,,Spell,BRMA12_3H,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Verde,Fintanto che è nella tua mano rigenera 2 Salute all&sbquo;avversario all&sbquo;inizio del tuo turno.,,1,,Spell,BRMA12_4,,,,,,,,,,,
,Blackrock Mountain,Afflizione: Verde,Fintanto che è nella tua mano rigenera 6 Salute all&sbquo;avversario all&sbquo;inizio del tuo turno.,,3,,Spell,BRMA12_4H,,,,,,,,,,,
,Blackrock Mountain,Ala Nera,<b>Potere Eroe</b>Evoca un Dragoide 5/4. Ottiene un nuovo Potere Eroe.,,1,,Hero Power,BRMA09_4H,,,,,,,,,,,
