MECHANICS,COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,RACE,INPLAYTEXT,DURABILITY
Taunt,True,Classic,Aberrazione delle Paludi,Alliance,<b>Provocazione</b>,Monica Langlois,Common,3,5,6,Era stato chiamato Bestia della Palude ma confondeva i giocatori perché effettivamente non è una bestia. TAAAC nome nuovo!,Minion,CS1_069,,,,,
Deathrattle|Taunt,True,Classic,Abominio,Neutral,<b>Provocazione</b>. <b>Rantolo di Morte:</b> infligge 2 danni a TUTTI i personaggi.,Alex Horley Orlandelli,Rare,4,5,4,Puoi sentirne il fetore molto prima di riuscire a vederli.,Minion,EX1_097,,,,,
,True,Classic,Accolito del Dolore,,Quando subisce danni pesca una carta.,Dave Kendall,Common,1,3,3,"È stato imbarazzante... Ogni volta che subiva un colpo gli scappavano dei gridolini di piacere.",Minion,EX1_007,,,,,
,,Classic,Aculeo Mentale,,<b>Potere Eroe</b>
Infligge 2 danni.,,,,2,,,Hero Power,EX1_625t,Priest,,,,
,,Classic,Affilata,,+1 Integrità.,,,,,,,Enchantment,CS2_146o,,,,,
Combo,True,Classic,Agente dell'IR:7,Neutral,<b>Combo:</b> infligge 2 danni.,Chris Moeller,Rare,3,3,3,Gli agenti dell'IR:7 eseguono le operazioni segrete di Roccavento tra cui lo spionaggio l'assassinio e l'organizzazione di feste di compleanno a sorpresa per la famiglia reale.,Minion,EX1_134,Rogue,,,,
Charge|Divine Shield|Taunt|Windfury,True,Classic,Al'Akir,,<b>Furia del Vento</b>. <b>Carica</b>. <b>Scudo Divino</b>. <b>Provocazione</b>,Raymond Swanland,Legendary,3,8,5,È il più debole dei quattro Signori Elementali e gli altri tre fanno in modo che non se lo dimentichi mai.,Minion,NEW1_010,Shaman,True,,,
Battlecry,True,Classic,Alamorte,,<b>Grido di Battaglia:</b> distrugge TUTTI gli altri servitori e scarta le carte che hai in mano.,Bernie Kang,Legendary,12,10,12,Alamorte in passato un nobile drago noto come Neltharion impazzì scatenando il Cataclisma su Azeroth ma infine fu sconfitto. Che fosse stato maltrattato da piccolo?,Minion,NEW1_030,,True,Dragon,,
Battlecry,True,Classic,Alchimista Folle,Neutral,<b>Grido di Battaglia:</b> scambia Attacco e Salute di un altro servitore.,Tom Fleming,Rare,2,2,2,"<i>Adorerai</i> la mia nuova ricetta!" dice... specialmente se il numero attuale dei tuoi arti non ti soddisfa.,Minion,EX1_059,,,,,
