SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,<b>Scudo Divino</b>. <b>Furtività</b>. Non può essere <b>Silenziato</b>.,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,Il volume non può essere abbassato per nessun motivo.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Grido di Battaglia:</b> pesca una carta. Senza esca.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Super Provocazione:</b> TUTTI i personaggi devono attaccare questo servitore!,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,Alla fine del tuo turno +1 Attacco a un servitore casuale.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>Adora tenere il tempo con il piede!</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Grido di Battaglia:</b> evoca un Pirata 2/2 e distrugge tutti i Ninja.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>Quasi sempre NON responsabile dei problemi!</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Rabbia:</b> scherzetto! Non si arrabbia mai!,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Grido di Battaglia:</b> evoca CINQUE invenzioni casuali.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>3 Mana per una carta 5/4? Ottimo affare!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>C-C-C-COMBO:</b> distrugge un servitore nemico.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Grido di Battaglia:</b> pesca DUE carte. <i>Non è unIngegnera Novizia.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,Ogni mazzo che si rispetti deve contenere questo servitore.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Grido di Battaglia:</b> evoca un boccale ghiacciato.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Gli altri tuoi servitori hanno +3 Attacco e <b>Carica</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Grido di Battaglia:</b> si lamenta dei prezzi del bacon.,Legendary,2,2,2,Minion,CRED_07
