MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY,RACE
Aura,Curse of Naxxramas,Adoratore,+1 Attacco al tuo eroe durante il tuo turno.,1,3,4,Minion,NAX2_05,,,,,,,,,,
Aura,Curse of Naxxramas,Adoratore,+3 Attacco al tuo eroe durante il tuo turno.,2,3,4,Minion,NAX2_05H,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Aggressore di Anub&sbquo;ar,<b>Rantolo di Morte:</b> fa tornare un altro tuo servitore casuale nella tua mano.,5,4,5,Minion,FP1_026,True,Nate Bowden,Common,Può essere creata dopo aver completato la Sfida di Classe del Ladro a Naxxramas.,Il nome originale della carta era &bdquo;Scagnozzo di Anub&sbquo;ar che fa tornare un altro tizio in mano&bdquo; ma gli mancava un po&sbquo; di mordente.,Sbloccata completando la Sfida di Classe del Ladro a Naxxramas.,Rogue,,,
Taunt,Curse of Naxxramas,Allievo,<b>Provocazione</b>,0,2,7,Minion,NAX7_02,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Allievo Inarrestabile,<b>Rantolo di Morte:</b> evoca un Allievo Spettrale sotto il controllo dell&sbquo;avversario.,2,1,2,Minion,NAX8_03,,,,,,,,,,
,Curse of Naxxramas,Allievo Spettrale,All&sbquo;inizio del tuo turno infligge 1 danno al tuo eroe.,0,1,2,Minion,NAX8_03t,,,,,,,,,,
Battlecry,Curse of Naxxramas,Anima Lamentosa,<b>Grido di Battaglia: Silenzia</b> tutti gli altri tuoi servitori.,3,4,5,Minion,FP1_016,True,Glenn Rane,Rare,Può essere creata dopo aver sconfitto Thaddius nell&sbquo;Ala dei Costrutti.,Una delle tante anime che popolano i forum su Internet.,Sbloccata sconfiggendo Thaddius nell&sbquo;Ala dei Costrutti.,,,,
,Curse of Naxxramas,Anub&sbquo;rekhan,,,,30,Hero,NAX1_01,,,,,,,,,,
,Curse of Naxxramas,Anub&sbquo;rekhan,,,,45,Hero,NAX1h_01,,,,,,,,,,
,Curse of Naxxramas,Apocalisse Mentale,Ogni giocatore pesca 2 carte e ottiene un Cristallo di Mana.,,2,,Spell,NAX5_03,,,,,,,,,,
,Curse of Naxxramas,Assalto Perfido,<b>Potere Eroe</b>Distrugge un servitore.,,4,,Hero Power,NAX10_03,,,,,,,,,,
,Curse of Naxxramas,Assalto Perfido,<b>Potere Eroe</b>Distrugge un servitore.,,4,,Hero Power,NAX10_03H,,,,,,,,,,
,Curse of Naxxramas,Assalto Sbilanciante,<b>Potere Eroe</b>Infligge 4 danni.,,1,,Hero Power,NAX7_03H,,,,,,,,,,
,Curse of Naxxramas,Assalto Sbilanciante,<b>Potere Eroe</b>Infligge 3 danni.,,2,,Hero Power,NAX7_03,,,,,,,,,,
,Curse of Naxxramas,Aura Necrotica,Le tue Magie costano (5) Mana in più.,,,,Enchantment,FP1_030e,,,,,,,,,,
,Curse of Naxxramas,Aura Necrotica,<b>Potere Eroe</b>Infligge 3 danni all&sbquo;eroe nemico.,,2,,Hero Power,NAX6_02,,,,,,,,,,
,Curse of Naxxramas,Aura Necrotica,<b>Potere Eroe</b>Infligge 3 danni all&sbquo;eroe nemico.,,0,,Hero Power,NAX6_02H,,,,,,,,,,
,Curse of Naxxramas,Barone Fieramorte,,,,14,Hero,NAX9_01H,,,,,,,,,,
