SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,COST,FLAVOR,ATTACK,HEALTH,RACE,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,Adombrato,Salute scambiata.,Enchantment,GVG_014a,Priest,,,,,,,,,,,
Goblins vs Gnomes,Adunata Militare,Evoca tre Reclute Mano d&sbquo;Argento 1/1. Equipaggia un&sbquo;arma 1/4.,Spell,GVG_061,Paladin,True,Mike Hayes,Rare,3,Ho portato le pizze! - Il richiamo più efficace della Mano d&sbquo;Argento,,,,,,
Goblins vs Gnomes,Affilatura,+1 Attacco.,Enchantment,GVG_023a,,,,,,,,,,,,
Goblins vs Gnomes,Albero della Vita,Rigenera la salute di TUTTI i personaggi al massimo.,Spell,GVG_033,Druid,True,Steve Prescott,Epic,9,Chi l&sbquo;avrebbe detto che le guarigioni crescessero sugli alberi?,,,,,,
Goblins vs Gnomes,Alfred,Alla fine del turno di ogni giocatore questo pesca fin quando non ha 3 carte.,Minion,GVG_094,,True,Matt Dixon,Rare,4,Il maggiordomo perfetto!,1,4,Mech,,,
Goblins vs Gnomes,Armatura Potenziata,+1 Salute.,Enchantment,PART_001e,,,,,,,,,,,,
Goblins vs Gnomes,Armatura Potenziata,+1 Salute a un servitore.,Spell,PART_001,,,Nutchapol Thitinunthakorn,,1,,,,,,,
Goblins vs Gnomes,Assorbimento Magia,Attacco aumentato.,Enchantment,GVG_068a,,,,,,,,,,Aura,,
Goblins vs Gnomes,Assorbimento Magia,Attacco aumentato.,Enchantment,GVG_067a,,,,,,,,,,Aura,,
Goblins vs Gnomes,Belva Zannaferrea,<b>Grido di Battaglia:</b> +2 Attacco a tutti gli altri tuoi Robot.,Minion,GVG_048,Hunter,True,Hideaki Takamura,Rare,3,Mai lasciarle sotto la pioggia. Al Cratere di Un&sbquo;Goro c&sbquo;è un intero branco di Belve Zannaruggine.,3,3,Mech,Battlecry,,
Goblins vs Gnomes,Ben Equipaggiato,+2/+2.,Enchantment,GVG_060e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Bobina Occultante,Fornisce <b>Furtività</b> a un tuo servitore fino al tuo turno successivo.,Spell,PART_004,,,Nutchapol Thitinunthakorn,,1,,,,,,,
Goblins vs Gnomes,Bolvar Domadraghi,Mentre è nella tua mano ottiene +1 Attacco quando un tuo servitore muore.,Minion,GVG_063,Paladin,True,Tooth,Legendary,5,Per chi non lo sapesse Bolvar alla fine viene bruciato poi si siede su un trono di ghiaccio e tutti si dimenticano di lui.,1,7,,,True,
Goblins vs Gnomes,Bomba Fotonica,Infligge danni a TUTTI i servitori pari al loro attacco.,Spell,GVG_008,Priest,True,Luca Zontini,Epic,6,Ecco cosa succede se si permette ai Goblin di fare i Sacerdoti...,,,,AffectedBySpellPower,,
Goblins vs Gnomes,Bomba Oscura,Infligge $3 danni.,Spell,GVG_015,Warlock,True,Jeff Haynie,Common,2,Nell&sbquo;oscurità nessuno può sentirti urlare.,,,,,,
