MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,HOWTOGETGOLD,FLAVOR,TYPE,ID,RACE,FACTION,INPLAYTEXT
Battlecry,True,Promotion,Elite Tauren Chieftain,Samwise Didier,True,<b>Grido di Battaglia:</b> fornisce il potere del ROCK a ogni giocatore!,Legendary,5,5,5,Ricompensa della BlizzCon 2013.,Sta cercando un batterista. Al momento i migliori candidati sono: Ingegnera Novizia Guardiano di Sen&sbquo;jin e soprattutto Ragnaros il Signore del Fuoco.,Minion,PRO_001,,,
,,Promotion,Gallina,,,<i>Ehi gallina!</i>,,1,0,1,,,Minion,Mekka4t,Beast,,
,,Promotion,Gallina a Ricerca,,,All&sbquo;inizio del tuo turno questo servitore si autodistrugge e fa pescare 3 carte.,Common,0,1,1,,,Minion,Mekka1,Mech,Alliance,
Battlecry,True,Promotion,Gelbin Meccatork,Ludo Lullabi,True,<b>Grido di Battaglia:</b> evoca una MERAVIGLIOSA invenzione.,Legendary,6,6,6,Ricompensa per aver collaudato il negozio nella fase beta.,È il capo degli Gnomi e un incredibile inventore e sta persino migliorando: trasforma le cose in galline MOLTO meno spesso di quanto non facesse in passato.,Minion,EX1_112,,Alliance,
,,Promotion,I Am Murloc,,,Evoca tre quattro o cinque Murloc 1/1.,,,4,,,,Spell,PRO_001a,,,
,,Promotion,Ingrossato!,,,Statistiche aumentate.,,,,,,,Enchantment,Mekka3e,,,
,,Promotion,Ingrossatore 3000,,,Alla fine del tuo turno +1/+1 a un servitore casuale.,Common,0,1,4,,,Minion,Mekka3,Mech,Alliance,
,,Promotion,Murloc,,,,,1,1,1,,,Minion,PRO_001at,Murloc,,
,,Promotion,Pollizzatore,,,All&sbquo;inizio del tuo turno trasforma un servitore casuale in una Gallina 1/1.,Common,0,1,3,,,Minion,Mekka4,Mech,Alliance,
,,Promotion,Power of the Horde,,,Evoca un guerriero casuale dell&sbquo;Orda.,,,4,,,,Spell,PRO_001c,,,
,,Promotion,Robot di Riparazione,,,Alla fine del tuo turno rigenera 6 Salute a un personaggio danneggiato.,Common,0,1,3,,,Minion,Mekka2,Mech,Alliance,
,,Promotion,Rogues Do It...,,,Infligge $4 danni. Pesca una carta.,,,4,,,,Spell,PRO_001b,,,
Morph,,Promotion,Trasformato,,,Trasformato in una Gallina.,,,,,,,Enchantment,Mekka4e,,,
