SET,NAME,TEXT,COST,TYPE,ID,HEALTH,ARTIST,RARITY,ATTACK,RACE,MECHANICS,COLLECTIBLE,FACTION,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,ELITE,DURABILITY
Blackrock Mountain,가동!,<b>영웅 능력</b>무작위로 선택된 골렘 하나를 가동시킵니다.,4,Hero Power,BRMA14_10,,,,,,,,,,,,,,
Blackrock Mountain,가동!,<b>영웅 능력</b>무작위로 선택된 골렘 하나를 가동시킵니다.,2,Hero Power,BRMA14_10H,,,,,,,,,,,,,,
Blackrock Mountain,가르,,,Hero,BRMA04_1H,45,,,,,,,,,,,,,
Blackrock Mountain,가르,,,Hero,BRMA04_1,30,,,,,,,,,,,,,
Blackrock Mountain,강렬한 시선,<b>지속 영웅 능력</b>모든 카드의 비용이 (1)이 됩니다. 내 최대 마나 수정이 2개로 적은 1개로 고정됩니다.,,Hero Power,BRMA08_2H,,,,,,,,,,,,,,
Blackrock Mountain,강렬한 시선,<b>지속 영웅 능력</b>모든 카드의 비용이 (1)이 됩니다. 각 플레이어의 최대 마나 수정이 1개로 고정됩니다.,,Hero Power,BRMA08_2,,,,,,,,,,,,,,
Blackrock Mountain,거대한 발톱,+3/+3,,Enchantment,BRM_024e,,,,,,,,,,,,,,
Blackrock Mountain,검은 새끼용,,1,Minion,BRM_022t,1,Jaemin Kim,Common,2,Dragon,,,,,,,,,
Blackrock Mountain,검은날개 기술병,<b>전투의 함성:</b> 내 손에 용족 하수인이 있으면 +1/+1을 얻습니다.,3,Minion,BRM_033,4,Matt Dixon,Common,2,,Battlecry,True,Neutral,화산 심장부의 남작 게돈을 쓰러뜨린 후 제작 가능,튜닝하고 싶으시다고요? 검은날개 할인 튜닝샵에 가지 마시고 이 친구를 찾으세요. 얼굴까지 다 튜닝해드립니다.,화산 심장부의 남작 게돈을 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,검은날개 지원군,<b>영웅 능력</b>3/1 용혈족 하나를 소환합니다. 새로운 영웅 능력을 얻습니다.,1,Hero Power,BRMA09_4,,,,,,,,,,,,,,
Blackrock Mountain,검은날개 지원군,<b>영웅 능력</b>5/4 용혈족 하나를 소환합니다. 새로운 영웅 능력을 얻습니다.,1,Hero Power,BRMA09_4H,,,,,,,,,,,,,,
Blackrock Mountain,검은날개 타락자,<b>전투의 함성:</b> 내 손에 용족 하수인이 있으면 피해를 3 줍니다.,5,Minion,BRM_034,4,Greg Staples,Common,5,,Battlecry,True,Neutral,숨겨진 연구실의 말로리악을 쓰러뜨린 후 제작 가능,검은날개 내부에 선정적인 만화와 과격한 록큰롤 음악을 공급하여 붙여진 이름입니다.,숨겨진 연구실의 말로리악을 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,검은무쇠 구경꾼,<b>도발</b>,1,Minion,BRMA02_2t,1,,,1,,Taunt,,,,,,,,
Blackrock Mountain,검은무쇠 싸움꾼,난투에서 무조건 승리합니다.,6,Minion,BRMA01_3,8,,,4,,,,,,,,,,
Blackrock Mountain,검은무쇠 잠복자,<b>전투의 함성:</b> 피해를 입지 않은 모든 적 하수인에게 피해를 2 줍니다.,5,Minion,BRM_008,3,Eric Braddock,Rare,4,,Battlecry,True,,검은바위 산의 도적 직업 도전 과제를 완료한 후 제작 가능,잠복하는 걸 아주 좋아합니다. 몇 시간이고 가만히 잠복해 있곤 합니다. 그래서 친구가 없습니다.,검은바위 산의 도적 직업 도전 과제를 완료하여 잠금 해제,Rogue,,
Blackrock Mountain,격노의 힘,+3/+3,,Enchantment,BRM_014e,,,,,,,,,,,,Hunter,,
Blackrock Mountain,군주 빅터 네파리우스,,,Hero,BRMA13_1,30,,,,,,,,,,,,,
Blackrock Mountain,군주 빅터 네파리우스,,,Hero,BRMA13_1H,30,,,,,,,,,,,,,
Blackrock Mountain,굶주린 용,<b>전투의 함성:</b> 무작위로 선택된 비용 1짜리 하수인 하나를 상대편에게 소환해 줍니다.,4,Minion,BRM_026,6,John Polidora,Common,5,Dragon,Battlecry,True,,검은날개 둥지의 크로마구스를 쓰러뜨린 후 제작 가능,이봐 용 친구 안색이 안 좋군. 밤이 오기 전에 먹을 걸 찾는 게 좋을 거야!,검은날개 둥지의 크로마구스를 쓰러뜨려 잠금 해제,,,
Blackrock Mountain,기스,,3,Minion,BRMA09_5t,4,,Legendary,8,Dragon,,,,,,,,True,
Blackrock Mountain,기스,,3,Minion,BRMA09_5Ht,8,,Legendary,8,Dragon,,,,,,,,True,
Blackrock Mountain,꼬리 휩쓸기,피해를 $4 줍니다.,4,Spell,BRM_030t,,,,,,,,,,,,,,
Blackrock Mountain,남작 게돈,,,Hero,BRMA05_1H,50,,,,,,,,,,,,,
Blackrock Mountain,남작 게돈,,,Hero,BRMA05_1,30,,,,,,,,,,,,,
Blackrock Mountain,너 박살낸다!,<b>영웅 능력</b>무작위로 선택된 적 하수인 하나를 처치합니다.,0,Hero Power,BRMA07_2H,,,,,,,,,,,,,,
Blackrock Mountain,너 박살낸다!,<b>영웅 능력</b>피해를 입은 적 하수인 중에 무작위로 선택된 하수인 하나를 처치합니다.,1,Hero Power,BRMA07_2,,,,,,,,,,,,,,
Blackrock Mountain,네 소리가 들린다...,공격력 증가,,Enchantment,BRMA16_5e,,,,,,,,,,,,,,
Blackrock Mountain,네파리안,<b>전투의 함성:</b> 무작위로 선택된 <i>상대편 직업</i>의 주문 카드 2장을 내 손으로 가져옵니다.,9,Minion,BRM_030,8,Ruan Jia,Legendary,8,Dragon,Battlecry,True,,숨겨진 연구실을 완료한 후 제작 가능,왠지 사제가 애용할 것 같은 카드입니다.,검은바위 산의 모든 우두머리를 쓰러뜨려 잠금 해제,,True,
Blackrock Mountain,네파리안,,,Hero,BRMA17_2,30,,,,,,,,,,,,,
Blackrock Mountain,네파리안,,,Hero,BRMA13_3H,30,,,,,,,,,,,,,
Blackrock Mountain,네파리안,,,Hero,BRMA13_3,30,,,,,,,,,,,,,
Blackrock Mountain,네파리안,,,Hero,BRMC_02,30,,,,,,,,,,,,,
Blackrock Mountain,네파리안,,,Hero,BRMA17_2H,30,,,,,,,,,,,,,
Blackrock Mountain,네파리안의 공격!,<b>영웅 능력</b>네파리안이 하늘에서 불의 비를 내립니다!,0,Hero Power,BRMA17_8,,,,,,,,,,,,,,
Blackrock Mountain,네파리안의 공격!,<b>영웅 능력</b>네파리안이 하늘에서 불의 비를 내립니다!,0,Hero Power,BRMA17_8H,,,,,,,,,,,,,,
Blackrock Mountain,대법관 그림스톤,,,Hero,BRMA02_1,30,,,,,,,,,,,,,
Blackrock Mountain,대법관 그림스톤,,,Hero,BRMA02_1H,30,,,,,,,,,,,,,
Blackrock Mountain,대영주 오모크,,,Hero,BRMA07_1,30,,,,,,,,,,,,,
Blackrock Mountain,대영주 오모크,,,Hero,BRMA07_1H,30,,,,,,,,,,,,,
Blackrock Mountain,도끼 투척수,이 하수인이 피해를 입을 때마다 적 영웅에게 피해를 2 줍니다.,4,Minion,BRM_016,5,Efrem Palacios,Common,2,,,True,,검은바위 산의 전사 직업 도전 과제를 완료한 후 제작 가능,사실 주위에 있는 것이면 무엇이든 던집니다. 그게 나뭇가지든 타우렌이든 말이죠.,검은바위 산의 전사 직업 도전 과제를 완료하여 잠금 해제,Warrior,,
Blackrock Mountain,돌연변이,<b>돌진</b>,1,Minion,BRMA15_4,1,,,1,,Charge,,,,,,,,
Blackrock Mountain,돌연변이,<b>영웅 능력</b>무작위로 선택된 카드 1장을 버립니다.,1,Hero Power,BRMA12_10,,,,,,,,,,,,,,
Blackrock Mountain,돌연변이를 풀어라!,돌연변이를 3마리 소환합니다.,2,Spell,BRMA15_3,,,,,,,,,,,,,,
Blackrock Mountain,드라키사스의 명령,하수인 하나를 처치합니다. 방어도를 +10 얻습니다.,1,Spell,BRMA08_3,,,,,,,,,,,,,,
Blackrock Mountain,렌드 블랙핸드,<b>전투의 함성:</b> 내 손에 용족 하수인이 있으면 <b>전설</b> 하수인 하나를 처치합니다.,7,Minion,BRM_029,4,Alex Horley,Legendary,8,,Battlecry,True,,검은바위 첨탑을 완료한 후 제작 가능,자신이 진정한 호드의 대족장이라 믿고 있는 렌드 블랙핸드는 오늘도 &bdquo;호드의 대족장&bdquo; 위키백과 문서에 자신의 사진을 넣기 위해 애쓰고 있습니다.,검은바위 첨탑을 완료하여 잠금 해제,,True,
Blackrock Mountain,렌드 블랙핸드,,,Hero,BRMA09_1,30,,,,,,,,,,,,,
Blackrock Mountain,렌드 블랙핸드,,,Hero,BRMA09_1H,30,,,,,,,,,,,,,
Blackrock Mountain,마그마 분출,<b>영웅 능력</b><b>모든</b> 하수인에게 피해를 1 줍니다.,1,Hero Power,BRMA04_2,,,,,,,,,,,,,,
Blackrock Mountain,마나 점화,<b>영웅 능력</b>적 영웅에게 마나가 남아 있다면 피해를 10 줍니다.,0,Hero Power,BRMA05_2H,,,,,,,,,,,,,,
Blackrock Mountain,마나 점화,<b>영웅 능력</b>적 영웅에게 마나가 남아 있다면 피해를 5 줍니다.,0,Hero Power,BRMA05_2,,,,,,,,,,,,,,
Blackrock Mountain,마법 폭주,<b>영웅 능력</b>무작위로 선택된 상대편 직업의 주문 카드 1장을 내 손으로 가져옵니다.,1,Hero Power,BRMA13_4H,,,,,,,,,,,,,,
Blackrock Mountain,마법 폭주,<b>영웅 능력</b>무작위로 선택된 상대편 직업의 주문 카드 1장을 내 손으로 가져옵니다.,1,Hero Power,BRMA13_4,,,,,,,,,,,,,,
Blackrock Mountain,만능골렘 방어 시스템,,,Hero,BRMA14_1H,30,,,,,,,,,,,,,
Blackrock Mountain,만능골렘 방어 시스템,,,Hero,BRMA14_1,30,,,,,,,,,,,,,
Blackrock Mountain,말로리악,,,Hero,BRMA15_1,30,,,,,,,,,,,,,
Blackrock Mountain,말로리악,,,Hero,BRMA15_1H,30,,,,,,,,,,,,,
Blackrock Mountain,맹독골렘,내 턴이 시작될 때 다른 <b>모든</b> 하수인에게 피해를 1 줍니다.,1,Minion,BRMA14_5H,4,,Legendary,4,Mech,,,,,,,,True,
Blackrock Mountain,맹독골렘,내 턴이 시작될 때 다른 <b>모든</b> 하수인에게 피해를 1 줍니다.,1,Minion,BRMA14_5,3,,Legendary,3,Mech,,,,,,,,True,
Blackrock Mountain,맹독골렘 가동,<b>영웅 능력</b>맹독골렘 가동!,2,Hero Power,BRMA14_4H,,,,,,,,,,,,,,
Blackrock Mountain,맹독골렘 가동,<b>영웅 능력</b>맹독골렘 가동!,4,Hero Power,BRMA14_4,,,,,,,,,,,,,,
Blackrock Mountain,모이라 브론즈비어드,타우릿산이 영웅 능력을 쓸 수 없습니다.<b>도발</b> 능력이 없는 하수인은 절대로 공격하지 않습니다.,2,Minion,BRMA03_3,3,,,1,,Aura,,,,,,,,
Blackrock Mountain,모이라 브론즈비어드,타우릿산이 영웅 능력을 쓸 수 없습니다.<b>도발</b> 능력이 없는 하수인은 절대로 공격하지 않습니다.,2,Minion,BRMA03_3H,1,,,3,,Aura,,,,,,,,
Blackrock Mountain,문을 열어라!,<b>영웅 능력</b>1/1 새끼용 3마리를 소환합니다. 새로운 영웅 능력을 얻습니다.,2,Hero Power,BRMA09_2,,,,,,,,,,,,,,
Blackrock Mountain,문을 열어라!,<b>영웅 능력</b>2/2 새끼용 3마리를 소환합니다. 새로운 영웅 능력을 얻습니다.,2,Hero Power,BRMA09_2H,,,,,,,,,,,,,,
Blackrock Mountain,바위의 습격,불꽃의 추종자 셋을 소환합니다. <b>과부하:</b> (2),3,Spell,BRMA04_4,,,,,,,,,,,,,,
Blackrock Mountain,바위의 습격,불꽃의 추종자 셋을 소환합니다. <b>과부하:</b> (2),3,Spell,BRMA04_4H,,,,,,,,,,,,,,
Blackrock Mountain,박살낼 시간이다!,무작위로 선택된 적 하나에게 피해를 $5 줍니다. 방어도를 +5 얻습니다.,4,Spell,BRMA07_3,,,,,,,,,,,,,,
Blackrock Mountain,복수,<b>모든</b> 하수인에게 피해를 $1 줍니다. 만약 내 생명력이 12 이하라면 피해를 $3 줍니다.,2,Spell,BRM_015,,Ben Olson,Rare,,,,True,,검은날개 둥지의 서슬송곳니를 쓰러뜨린 후 제작 가능,화염구가 필사의 일격보다 좋아서 서운하셨다고요? 이제 마법사 친구가 잘난 척 하는 꼴을 볼 필요가 없습니다. 복수가 신비한 폭발보다 좋으니까요! ...아마도.,검은날개 둥지의 서슬송곳니를 쓰러뜨려 잠금 해제,Warrior,,
Blackrock Mountain,부화,생명력 증가,,Enchantment,BRMA10_3e,,,,,,,,,,,,,,
