MECHANICS,SET,NAME,TEXT,TYPE,ID,COLLECTIBLE,FACTION,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,PLAYERCLASS,RACE,INPLAYTEXT,DURABILITY,ELITE
OneTurnEffect,"Classic","'고무됨'","이번 턴에 공격력 +2","Enchantment","CS2_188o",,,,,,,,,,,,,
Combo,"Classic","SI:7 요원","<b>연계:</b> 피해를 2 줍니다.","Minion","EX1_134",True,"Neutral","Chris Moeller","Rare",3,3,3,"SI: 7의 요원들은 스톰윈드의 비밀 임무를 수행합니다. 첩보 암살 왕가의 깜짝 생일 파티 등등...","Rogue",,,,
Stealth,"Classic","가시덤불 호랑이","<b>은신</b>","Minion","EX1_028",True,"Alliance","Alex Horley Orlandelli","Common",5,5,5,"호랑이에 대한 멋진 사실은 호랑이가 멋지다는 사실입니다!",,"Beast",,,
,"Classic","가젯잔 경매인","내가 주문을 시전할 때마다 카드를 1장 뽑습니다.","Minion","EX1_095",True,"Neutral","Matt Dixon","Rare",4,6,4,"암시장 경매장을 운영하던 때도 있었지만 너무 폭력이 난무하는 바람에 옮길 수 밖에 없었답니다.",,,"",,
Battlecry,"Classic","가혹한 하사관","<b>전투의 함성:</b> 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.","Minion","CS2_188",True,"Alliance","Luca Zontini","Common",2,1,1,"날 덱에 추가해라 이 고문관 녀석아!",,,,,
,"Classic","갈래 번개","무작위 적 하수인 둘에게 피해를 $2 줍니다. <b>과부하:</b> (2)","Spell","EX1_251",True,"Neutral","Ralph Horsley","Common",,1,,"올래 번개와 짝을 이루는 주문입니다. 무슨 말인지 모르겠다고요? 다행이네요.","Shaman",,,,
,"Classic","감시 중","공격력 증가","Enchantment","EX1_001e",,,,,,,,,,,,,
OneTurnEffect,"Classic","강화","공격력 증가","Enchantment","EX1_055o",,,,,,,,,,,,,
,"Classic","강화!","내가 무기를 장착하고 있으면 +1/+1을 부여합니다. 무기가 없다면 1/3 무기를 장착합니다.","Spell","EX1_409",True,"Neutral","Matt Cavotta","Rare",,1,,"상대편의 스트레스 지수도 높아집니다.","Warrior",,,,
,"Classic","강화됨","내구도 증가","Enchantment","EX1_536e",,,,,,,,,"Hunter",,,,
,"Classic","강화됨","공격력 +1 내구도 +1","Enchantment","EX1_409e",,,,,,,,,"Warrior",,,,
,"Classic","개들을 풀어라","적 하수인 하나당 <b>돌진</b> 능력이 있는 1/1 사냥개를 1마리씩 소환합니다.","Spell","EX1_538",True,,"Linggar Bramanty","Common",,3,,"이 카드를 낼 때마다 "물어!"라고 크게 외쳐야 합니다.","Hunter",,,,
Secret,"Classic","거울상","<b>비밀:</b> 상대편이 하수인을 내면 그 하수인을 복사합니다.","Spell","EX1_294",True,"Neutral","Raven Mimura","Common",,3,,""네가 앞장서라." - 거수 크루쉬고르가 그의 애완동물 멧돼지에게 명령하며.","Mage",,,,
,"Classic","거품 무는 광전사","하수인이 피해를 입을 때마다 공격력을 +1 얻습니다.","Minion","EX1_604",True,"Neutral","Simon Bisley","Rare",2,3,4,"거품 물기 전까지는 회계사였답니다.","Warrior",,"",,
,"Classic","검 제작의 대가","내 턴이 끝날 때 다른 무작위 아군 하수인에게 공격력을 +1 부여합니다.","Minion","NEW1_037",True,,"E.M. Gist","Rare",1,2,3,"현재는 다른 모든 대장장이들의 만류에도 불구하고 "도리깨 도끼"라는 무기를 제작하고 있습니다.",,,"",,
Battlecry,"Classic","검은무쇠 드워프","<b>전투의 함성:</b> 이번 턴에 하수인 하나에게 공격력을 +2 부여합니다.","Minion","EX1_046",True,"Alliance","Scott Hampton","Common",4,4,4,"검은무쇠 주괴의 수호자들입니다. 이 주괴가 필요한 자들에게는 참으로 귀찮은 존재가 아닐 수 없습니다.",,,,,
,"Classic","검투사의 장궁","내 영웅이 공격할 때 <b>피해 면역</b> 상태가 됩니다.","Weapon","DS1_188",True,"Neutral","Peter C. Lee","Epic",5,7,,"멀리서 쏠 수 있기 때문에 냄새가 지독한 적을 상대할 때 유용합니다.","Hunter",,,2,
,"Classic","격돌","하수인 하나에게 피해를 $2 줍니다. 그 하수인이 생존하면 카드를 1장 뽑습니다.","Spell","EX1_391",True,"Neutral","E.M. Gist","Common",,2,,"난 딱 죽지 않을 만큼만 패지.","Warrior",,,,
Secret,"Classic","고귀한 희생","<b>비밀:</b> 적이 공격할 때 대신 맞아주는 2/1 수호자를 1명 소환합니다.","Spell","EX1_130",True,"Neutral","Zoltan & Gabor","Common",,1,,"아아 못다핀 꽃 한 송이 그대의 이름은 "수호자"!","Paladin",,,,
,"Classic","고대의 감시자","이 하수인은 적을 공격할 수 없습니다.","Minion","EX1_045",True,"Alliance","Richard Wright","Rare",4,2,5,"왜 지날 때마다 눈이 날 따라 움직이는 것 같을까요?",,,,,
Battlecry,"Classic","고대의 마법사","<b>전투의 함성:</b> 양옆의 하수인들에게 <b>주문 공격력 +1</b>을 부여합니다.","Minion","EX1_584",True,"Neutral","Howard Lyon","Rare",2,4,5,"깜빡하고 다른 사람의 게임에 등장하기도 합니다.",,,,,
,"Classic","고대의 비밀","생명력을 5 회복시킵니다.","Spell","NEW1_008b",,,,,,,,,"Druid",,,,
Battlecry,"Classic","고대의 양조사","<b>전투의 함성:</b> 전장의 아군 하수인 하나를 내 손으로 다시 가져옵니다.","Minion","EX1_057",True,"Alliance","Bernie Kang","Common",5,4,4,"대부분의 판다렌은 그의 맥주에서 야크 맛이 난다고 평합니다... 네 칭찬입니다.",,,,,
,"Classic","고대의 영혼","<b>죽음의 메아리:</b> 이 하수인을 다시 소환함","Enchantment","CS2_038e",,,,,,,,,"Shaman",,,,
,"Classic","고대의 영혼","하수인 하나에게 "<b>죽음의 메아리:</b> 이 하수인을 다시 소환합니다." 능력을 부여합니다.","Spell","CS2_038",True,"Neutral","Zoltan & Gabor","Rare",,2,,"네가 죽은 건 추진력을 얻기 위해서였다!","Shaman",,,,
,"Classic","고대의 지식","카드를 2장 뽑습니다.","Spell","NEW1_008a",,,,,,,,,"Druid",,,,
,"Classic","고무","생명력 증가","Enchantment","NEW1_025e",,,,,,,,,,,,,
,"Classic","고통의 수행사제","이 하수인이 피해를 입을 때마다 카드를 1장 뽑습니다.","Minion","EX1_007",True,,"Dave Kendall","Common",1,3,3,"사실은 기쁨의 수행사제가 되고 싶었던 사람입니다. 이것으로 우리는 고통과 기쁨이 종이 한 장 차이라는 걸 알 수 있습니다.",,,,,
,"Classic","곰 변신","생명력 +2와 <b>도발</b> 능력을 얻습니다.","Spell","EX1_165b",,"Neutral",,"Common",,,,,"Druid",,,,
Taunt,"Classic","공포의 해적","<b>도발.</b> 내 무기의 공격력만큼 비용이 감소합니다.","Minion","NEW1_022",True,,"Trent Kaniuga","Common",3,4,3,""야아아르"는 해적 말로 "안녕하십니까"라는 뜻입니다.",,"Pirate",,,
Battlecry,"Classic","공허의 괴물","<b>전투의 함성:</b> 이 하수인 양옆에 있는 하수인들을 처치하고 그들의 공격력과 생명력을 얻습니다.","Minion","EX1_304",True,,"Alexander Alexandrov","Rare",3,3,3,"이 카드를 덱에 넣으면 다른 하수인들의 신뢰를 잃습니다.","Warlock","Demon",,,
,"Classic","과부하됨","능력치 증가","Enchantment","EX1_258e",,,,,,,,,"Shaman",,,,
