SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,데릭 사카모토,True,<i>발로 박수치기의 달인입니다.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,랍 팔도,True,덱에 이 하수인이 없으면 게임을 시작할 수 없습니다.,Legendary,9,9,9,Minion,CRED_17
Credits,레이첼 데이비스,True,<b>전투의 함성:</b> 카드를 <b>2장</b> 뽑습니다. <i>그녀는 풋내기 기술자가 아니니까요.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,마이클 슈바이처,True,<b>여-여-여-연계:</b> 하수인 하나를 처치합니다.,Legendary,2,2,2,Minion,CRED_10
Credits,밥 피치,True,<b>초도발</b> <i>(모든 캐릭터가 이 하수인을 공격해야 함)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,벤 브로드,True,효과음과 배경음악이 최대로 고정됩니다.,Legendary,4,3,1,Minion,CRED_08
Credits,벤 톰슨,True,<b>전투의 함성:</b> 카드를 좀 그립니다.
펜으로.,Legendary,4,6,7,Minion,CRED_09
Credits,브라이언 슈와브,True,내 턴이 끝날 때 무작위 하수인 하나에게 공격력을 +1 부여합니다.,Legendary,10,10,10,Minion,CRED_13
Credits,스티븐 가브리엘,True,<b>전투의 함성:</b> 거품으로 가득한 음료 한 잔을 소환합니다.,Legendary,3,1,3,Minion,CRED_04
Credits,앤디 브록,True,<b>침묵 천상의 보호막 은신</b> 효과를 받을 수 없습니다.,Legendary,1,1,3,Minion,CRED_15
Credits,에릭 다즈,True,<b>전투의 함성:</b> 2/2 해적 하나를 소환하고 모든 닌자를 처치합니다.,Legendary,5,6,5,Minion,CRED_02
Credits,용 우,True,내 다른 하수인들이 공격력 +3과 <b>돌진</b>을 얻습니다.,Legendary,3,5,2,Minion,CRED_14
Credits,제이 백스터,True,<b>전투의 함성:</b> 무작위 발명품 <b>5개</b>를 소환합니다.,Legendary,1,4,4,Minion,CRED_11
Credits,제이슨 체이스,True,<b>격노:</b> 농담입니다! 이 하수인은 한번도 격노한 적 없습니다.,Legendary,7,6,6,Minion,CRED_01
Credits,즈윅,True,<b>전투의 함성:</b> 베이컨 가격이 너무 비싸다고 불평합니다.,Legendary,2,2,2,Minion,CRED_07
Credits,카일 해리슨,True,<i>5/4인데 3밖에 안 들어? 요거 괜찮네!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,해밀턴 추,True,<i>이번엔 사고를 안 치는 데 성공했습니다. 웬만큼은...</i>,Legendary,9,7,5,Minion,CRED_16
