SET,NAME,RARITY,ATTACK,COST,HEALTH,TYPE,ID,TEXT,MECHANICS,PLAYERCLASS,FACTION,DURABILITY,INPLAYTEXT
Missions,갈퀴발 놀,Common,2,1,1,Minion,TU4a_002,,,,,,
Missions,거대한 놀,Common,5,4,2,Minion,TU4a_005,,,,,,
Missions,광기의 사냥꾼,Common,1,1,1,Minion,TU4d_002,,,,,,
Missions,나가 미르미돈,Common,1,1,1,Minion,TU4e_003,<b></b>,,,,,
Missions,놀,Common,1,1,1,Minion,TU4a_003,,,,,,
Missions,들창코,Common,,,10,Hero,TU4a_001,,,,,,
Missions,들창코 강타!,Common,,3,,Spell,TU4a_004,피해를 4 줍니다.,,,,,
Missions,무클라의 의지,Common,,3,,Spell,TU4c_008,생명력을 8 회복시킵니다.,,,,,
Missions,무클라의 큰형,Common,10,6,10,Minion,TU4c_007,이렇게 센데 마나는 6밖에 안 든다고?!,,,,,
Missions,무클라의 힘,,,,,Enchantment,TU4c_008e,이번 턴에 공격력 +8,OneTurnEffect,,,,
Missions,미친 원숭이,Common,1,1,2,Minion,TU4f_007,<b>전투의 함성:</b> 바나나를 던집니다.,Battlecry,,,,
Missions,밀림의 왕 무클라,Common,,,26,Hero,TU4c_001,,,,,,
Missions,밀하우스 마나스톰,Common,,,20,Hero,TU4b_001,,,Mage,,,
Missions,바나나,,,,,Enchantment,TU4c_006e,+1/+1 <i>(공격력 +1/생명력 +1)</i>,,,,,
Missions,바나나,Common,,1,,Spell,TU4c_006,아군 하수인 하나에게 +1/+1을 부여합니다. <i>(공격력 +1/생명력 +1)</i>,,,Neutral,,
Missions,발 구르기,Common,,2,,Spell,TU4c_004,모든 적에게 피해를 2 줍니다.,,,Neutral,,
Missions,산탄총 발사,Common,,2,,Hero Power,TU4d_003,<b>영웅 능력</b>피해를 1 줍니다.,,Hunter,,,
Missions,숨어있는 노움,Common,1,2,3,Minion,TU4c_005,통 안에 숨어 있었습니다!,,,Neutral,,
Missions,쌍수 쌍날검,Common,4,6,,Weapon,TU4e_007,,,,,2,
Missions,아지노스의 불꽃,,,2,,Hero Power,TU4e_002,<b>영웅 능력</b>2/1 하수인을 둘 소환합니다.,,,,,
Missions,아지노스의 불꽃,Common,2,1,1,Minion,TU4e_002t,,,,,,
Missions,아지노스의 쌍날검,Common,2,2,,Weapon,TU4e_004,,,,,2,
Missions,양조사,Common,4,4,4,Minion,TU4f_005,,,,,,
Missions,음영파 수도사,Common,2,2,2,Minion,TU4f_003,,,,,,
Missions,일리단 스톰레이지,,,,30,Hero,TU4e_001,,,Hunter,,,
Missions,전승지기 초,,,,25,Hero,TU4f_001,,,,,,
Missions,제이나 프라우드무어,Common,,,27,Hero,TU4a_006,,,Mage,,,
Missions,초월,,,,,Enchantment,TU4f_006o,초의 하수인들 처치 전에는 초 공격 불가,,,,,
Missions,초월,Common,,1,,Spell,TU4f_006,초의 하수인들을 처치하기 전에는 초를 공격할 수 없습니다.,,,,,
Missions,통,Common,,0,2,Minion,TU4c_003,통에 뭔가 있나요?,Deathrattle,,Neutral,,
Missions,통 던지기,Common,,1,,Spell,TU4c_002,피해를 2 줍니다.,,,Neutral,,
Missions,판다렌 정찰병,Common,1,1,1,Minion,TU4f_002,,,,,,
Missions,헤멧 네싱워리,Common,,,20,Hero,TU4d_001,,,Hunter,,,
Missions,화염 폭발,Common,,3,,Spell,TU4e_005,피해를 $1씩 주는 화살 5개를 무작위로 선택된 적들에게 발사합니다.,,,,,
Missions,황제의 유산,Common,,3,,Spell,TU4f_004,내 하수인들에게 +2/+2를 부여합니다. <i>(공격력 +2/생명력 +2)</i>,,,,,
Missions,황제의 유산,,,,,Enchantment,TU4f_004o,+2/+2. <i>(공격력 +2/생명력 +2)</i>,,,,,
