SET,NAME,FACTION,TEXT,RARITY,ATTACK,COST,HEALTH,RACE,INPLAYTEXT,TYPE,ID,MECHANICS,COLLECTIBLE,ELITE,ARTIST,HOWTOGETGOLD,FLAVOR
"Promotion","강화 구슬 3000","Alliance","내 턴이 끝날 때 무작위 하수인 하나에게 +1/+1을 부여합니다.","Common",0,1,4,"Mech","","Minion","Mekka3",,,,,,
"Promotion","강화됨!",,"능력치 증가",,,,,,,"Enchantment","Mekka3e",,,,,,
"Promotion","겔빈 멕카토크","Alliance","<b>전투의 함성:</b> 끝내주는 발명품을 1개 소환합니다.","Legendary",6,6,6,,,"Minion","EX1_112",Battlecry,True,True,"Ludo Lullabi","베타 때 상점 테스트를 도와주신 플레이어들께 드리는 보상","노움의 지도자이자 엄청난 발명가입니다. 게다가 실력도 조금씩 나아지고 있죠. 뭐든 닭으로 만들어버리는 빈도가 <b>많이</b> 줄었으니까요."
"Promotion","꼬꼬댁 변신장치","Alliance","내 턴이 시작될 때 무작위 하수인 하나를 1/1 닭으로 변신시킵니다.","Common",0,1,3,"Mech","","Minion","Mekka4",,,,,,
"Promotion","나는야 멀록",,"3마리 4마리 또는 5마리 1/1 멀록을 소환합니다.",,,4,,,,"Spell","PRO_001a",,,,,,
"Promotion","닭",,"<i>오 닭이다!</i>",,1,0,1,"Beast",,"Minion","Mekka4t",,,,,,
"Promotion","도적은 뒤를 치지...",,"피해를 $4 줍니다. 카드를 1장 뽑습니다.",,,4,,,,"Spell","PRO_001b",,,,,,
"Promotion","멀록",,,,1,1,1,"Murloc",,"Minion","PRO_001at",,,,,,
"Promotion","변신",,"닭으로 변신!",,,,,,,"Enchantment","Mekka4e",Morph,,,,,
"Promotion","수리로봇","Alliance","내 턴이 끝날 때 피해를 입은 캐릭터 하나의 생명력을 6 회복시킵니다.","Common",0,1,3,"Mech","","Minion","Mekka2",,,,,,
"Promotion","유도 닭","Alliance","내 턴이 시작될 때 이 하수인을 파괴하고 카드를 세 장 뽑습니다.","Common",0,1,1,"Mech","","Minion","Mekka1",,,,,,
"Promotion","정예 타우렌 족장",,"<b>전투의 함성:</b> 두 플레이어 모두 파워 코드 카드를 1장 뽑고 <b>로큰롤</b>에 흠뻑 취합니다!","Legendary",5,5,5,,,"Minion","PRO_001",Battlecry,True,True,"Samwise Didier","블리즈컨 2013 참가 보상","현재 드러머를 구하는 중입니다. 풋내기 기술자 센진 방패대가 불의 군주 라그나로스가 후보라네요."
"Promotion","호드의 힘",,"무작위 호드 전사 하나를 소환합니다.",,,4,,,,"Spell","PRO_001c",,,,,,
