COLLECTIBLE,SET,NAME,FACTION,RARITY,HEALTH,TYPE,ID,PLAYERCLASS,MECHANICS,TEXT,ARTIST,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,DURABILITY,RACE,INPLAYTEXT
True,Basic,Anduin Wrynn,Neutral,Free,30,Hero,HERO_09,Priest,,,,,,,,,,,
True,Basic,Arcymag,Alliance,Common,7,Minion,CS2_155,,Spellpower,<b>Obrażenia zaklęć +1</b>,Steve Ellis,4,6,Odblokowane na 57 poziomie maga.,Arcymagowie mają w Dalaranie specjalną salę. Nikt nie wie co się tam dzieje ale na pewno nie imprezują mimo że zawsze wynosi się stamtąd mnóstwo butelek.,,,,
True,Basic,Arkanitowy Rozpruwacz,Neutral,Common,,Weapon,CS2_112,Warrior,,,Stefan Kopinski,5,5,Odblokowane na poziomie 51.,Rozpruwaj waść... wstydu oszczędź.,Odblokowane na poziomie 10.,2,,
,Basic,Awatar monety,,Free,1,Minion,GAME_002,,,<i>Straciłeś monetę ale zyskałeś przyjaciela.</i>,,1,0,,,,,,
True,Basic,Bagienny raptor,Horde,Free,2,Minion,CS2_172,,,,Dan Brereton,3,2,Odblokowane na 57 poziomie łowcy.,Ten gatunek raptorów żyje na Krwawych Bagnach. Hemet Nesingwary radzi aby zabijać je po 30 sztuk.,,,Beast,
True,Basic,Berserker z Gurubaszi,Neutral,Common,7,Minion,EX1_399,,,Otrzymuje +3 do ataku za każdym razem gdy zostanie zraniony.,Alex Horley Orlandelli,2,5,Odblokowane na 57 poziomie czarnoksiężnika.,Tak naprawdę to lubi gdy go boli.,,,,
True,Basic,Blok tarczą,Neutral,Common,,Spell,EX1_606,Warrior,,Otrzymujesz 5 pkt. pancerza.Dobierz kartę.,Michael Komarck,,3,Odblokowane na poziomie 28.,Tarcze wynaleziono bo blok twarzą okazał się bezużyteczny.,Odblokowane na poziomie 8.,,,
,Basic,Bojowy szał,,,,Enchantment,EX1_399e,,,Ten stronnik ma zwiększony atak.,,,,,,,,,
True,Basic,Boski duch,,Common,,Spell,CS2_236,Priest,,Podwajasz zdrowie stronnika.,Jim Pavelec,,2,Odblokowane na poziomie 28.,Takiego potrojenia jak to podwojenie nie ma ani jednego.,Odblokowane na poziomie 2.,,,
,Basic,Boski duch,,,,Enchantment,CS2_236e,Priest,,Ten stronnik ma podwojone zdrowie.,,,,,,,,,
True,Basic,Cios w plecy,Neutral,Free,,Spell,CS2_072,Rogue,,Zadaj $2 pkt. obrażeń niezranionemu stronnikowi.,Michael Sutfin,,0,Odblokowane na poziomie 36.,To zabawne jak często tekst „Patrz trzygłowa małpa” sprawia że przeciwnik się odwraca.,Odblokowane na poziomie 1.,,,
True,Basic,Czempion Wichrogrodu,Alliance,Common,6,Minion,CS2_222,,Aura,Twoi pozostali stronnicy otrzymują +1/+1.,Doug Alexander,6,7,Odblokowane na 59 poziomie paladyna.,Kiedy Śmiercioskrzydły zaatakował stolicę ten żołnierz był jedynym członkiem oddziału który został przy życiu. I nawet osiągnięcia nie dostał!,,,,
,Basic,Dar kapłanki,,,,Enchantment,EX1_019e,Priest,,+1/+1,,,,,,,,,
,Basic,Dar królów,,,,Enchantment,CS2_092e,Paladin,,+4/+4.,,,,,,,,,
True,Basic,Dar królów,Neutral,Common,,Spell,CS2_092,Paladin,,Daj stronnikowi +4/+4 <i>(+4 do ataku/+4 do zdrowia)</i>.,Lucas Graciano,,4,Odblokowane na poziomie 49.,Biorąc pod uwagę liczbę królów którzy zostali skrytobójczo zabici czy na pewno pragniesz ich daru?,Odblokowane na poziomie 10.,,,
,Basic,Dar mocy,Neutral,,,Enchantment,CS2_087e,Paladin,,+3 do ataku.,,,,,,,,,
True,Basic,Dar mocy,Neutral,Free,,Spell,CS2_087,Paladin,,Daj stronnikowi +3 do ataku.,Zoltan Boros,,1,Odblokowane na poziomie 45.,Inspiracja dla słynnego przeboju: „Daj mi tę moc tę jedną moc!”,Odblokowane na poziomie 1.,,,
True,Basic,Dowódca rajdu,,Free,2,Minion,CS2_122,,Aura,Twoi pozostali stronnicy otrzymują +1 do ataku.,Phill Gonzales,2,3,Odblokowane na 57 poziomie wojownika.,Zadaniem dowódcy rajdu jest zaplanować taktykę na wroga wspierać swoją drużynę w czasie walki i nie załamywać się kiedy po raz kolejny wszystko pójdzie w diabły.,,,,
True,Basic,Dowódca Wojennej Pieśni,Neutral,Free,3,Minion,EX1_084,Warrior,,Za każdym razem gdy przyzywasz stronnika z atakiem 3 lub mniejszym daj mu <b>Szarżę</b>.,Wei Wang,2,3,Odblokowane na poziomie 36.,Są dumni z nazwy swojego klanu - choć zdaniem elfów tą pieśnią jest „Nic się nie stało orki nic się nie stało...”,Odblokowane na poziomie 1.,,,
,Basic,Dzik,Neutral,Common,1,Minion,CS2_boar,,,,,1,1,,,,,Beast,
True,Basic,Dzik szabloskalny,Neutral,Free,1,Minion,CS2_171,,Charge,<b>Szarża</b>,Howard Lyon,1,1,Odblokowane na 53 poziomie łowcy.,Ta karta jest dzika.,,,Beast,
True,Basic,Dziki ryk,Neutral,Common,,Spell,CS2_011,Druid,,Daj swoim postaciom +2 do ataku w tej turze.,Grace Liu,,3,Odblokowane na poziomie 43.,Któż zaryczał czego chciał?,Odblokowane na poziomie 4.,,,
,Basic,Dziki ryk,,,,Enchantment,CS2_011o,Druid,OneTurnEffect,+2 do ataku w tej turze.,,,,,,,,,
True,Basic,Egzekucja,Neutral,Free,,Spell,CS2_108,Warrior,,Zniszcz wrogiego stronnika który jest ranny.,Dany Orizio,,1,Odblokowane na poziomie 47.,Spokojnie zasłużył na to.,Odblokowane na poziomie 1.,,,
True,Basic,Elfia łuczniczka,Horde,Common,1,Minion,CS2_189,,Battlecry,<b>Okrzyk bojowy:</b> Zadaj 1 pkt. obrażeń.,Steve Prescott,1,1,Odblokowane na 57 poziomie druida.,Lepiej nie zapraszaj jej na randkę. Bo jak cię strzeli...,,,,
