MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,FACTION,DURABILITY
Charge,Blackrock Mountain,Aberracja,<b>Szarża</b>,1,1,1,Minion,BRMA15_4,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Arkanotrona,<b>Moc specjalna</b>Aktywuj Arkanotrona!,,0,,Hero Power,BRMA14_2H,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Arkanotrona,<b>Moc specjalna</b>Aktywuj Arkanotrona!,,2,,Hero Power,BRMA14_2,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Elektrona,<b>Moc specjalna</b>Aktywuj Elektrona!,,6,,Hero Power,BRMA14_6,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Elektrona,<b>Moc specjalna</b>Aktywuj Elektrona!,,4,,Hero Power,BRMA14_6H,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Magmatrona.,<b>Moc specjalna</b>Aktywuj Magmatrona!,,8,,Hero Power,BRMA14_8,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Magmatrona.,<b>Moc specjalna</b>Aktywuj Magmatrona!,,6,,Hero Power,BRMA14_8H,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Toksytrona,<b>Moc specjalna</b>Aktywuj Toksytrona!,,4,,Hero Power,BRMA14_4,,,,,,,,,,,
,Blackrock Mountain,Aktywacja Toksytrona,<b>Moc specjalna</b>Aktywuj Toksytrona!,,2,,Hero Power,BRMA14_4H,,,,,,,,,,,
,Blackrock Mountain,Aktywacja!,<b>Moc specjalna</b>Aktywuj losowego trona.,,2,,Hero Power,BRMA14_10H,,,,,,,,,,,
,Blackrock Mountain,Aktywacja!,<b>Moc specjalna</b>Aktywuj losowego trona.,,4,,Hero Power,BRMA14_10,,,,,,,,,,,
,Blackrock Mountain,Alchemik,<b>Pasywna moc specjalna</b>Zdrowie i atak stronnika są zamienione.Twoi stronnicy mają +2/+2.,,,,Hero Power,BRMA15_2H,,,,,,,,,,,
,Blackrock Mountain,Alchemik,<b>Pasywna moc specjalna</b>Za każdym razem gdy zostanie przyzwany stronnik zamień jego atak i zdrowie.,,,,Hero Power,BRMA15_2,,,,,,,,,,,
Spellpower,Blackrock Mountain,Arkanotron,Obaj gracze mają <b>Obrażenia zaklęć +2</b>.,2,0,2,Minion,BRMA14_3,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1,,,,,,,,,,,
,Blackrock Mountain,Atramedes,,,,30,Hero,BRMA16_1H,,,,,,,,,,,
,Blackrock Mountain,Baron Geddon,,,,50,Hero,BRMA05_1H,,,,,,,,,,,
,Blackrock Mountain,Baron Geddon,,,,30,Hero,BRMA05_1,,,,,,,,,,,
,Blackrock Mountain,Brązowe Piętno,Gdy masz tę kartę w ręce stronnicy Chromagusa kosztują (3) mniej.,,3,,Spell,BRMA12_7H,,,,,,,,,,,
,Blackrock Mountain,Brązowe Piętno,Gdy masz tę kartę w ręce stronnicy Chromagusa kosztują (1) mniej.,,1,,Spell,BRMA12_7,,,,,,,,,,,
,Blackrock Mountain,Brzytworóg Nieokiełznany,,,,30,Hero,BRMA10_1,,,,,,,,,,,
,Blackrock Mountain,Brzytworóg Nieokiełznany,,,,30,Hero,BRMA10_1H,,,,,,,,,,,
,Blackrock Mountain,Chochlik,,1,1,1,Minion,BRM_006t,,,Demon,Warlock,,,,,,,
,Blackrock Mountain,Chromagus,,,,60,Hero,BRMA12_1H,,,,,,,,,,,
,Blackrock Mountain,Chromagus,,,,30,Hero,BRMA12_1,,,,,,,,,,,
,Blackrock Mountain,Chromagus,Za każdym razem gdy dobierasz kartę umieść jej dodatkową kopię w ręce.,6,8,8,Minion,BRM_031,True,Legendary,Dragon,,True,Todd Lockwood,Można wykonać po ukończeniuLeża Czarnoskrzydłego.,Lewa głowa nie lubi pieczarek prawa głowa nie znosi owoców morza natomiast obie nienawidzą ananasów więc zawsze zamawiają margaritę bez dodatków.,Aby odblokować ukończ Leże Czarnoskrzydłego.,,
,Blackrock Mountain,Chromatyczna Mutacja,Przemień stronnika w Chromatycznego drakanina 2/2.,,2,,Spell,BRMA12_8,,,,,,,,,,,
,Blackrock Mountain,Chromatyczny drakanin,,,,30,Hero,BRMA12_9,,,,,,,,,,,
,Blackrock Mountain,Chromatyczny drakanin,Otrzymuje +2/+2 za każdym razem gdy przeciwnik rzuci zaklęcie.,2,2,3,Minion,BRMA12_8t,,,Dragon,,,,,,,,
Taunt,Blackrock Mountain,Chromatyczny prototyp,<b>Prowokacja</b>,1,2,4,Minion,BRMA17_7,,,,,,,,,,,
,Blackrock Mountain,Chromatyczny smokowiec,,7,4,3,Minion,BRMA10_5,,,,,,,,,,,
,Blackrock Mountain,Chromatyczny smokowiec,,7,4,7,Minion,BRMA10_5H,,,,,,,,,,,
,Blackrock Mountain,Coren Bimberhaust,,,,30,Hero,BRMA01_1H,,,,,,,,,,,
,Blackrock Mountain,Coren Bimberhaust,,,,30,Hero,BRMA01_1,,,,,,,,,,,
,Blackrock Mountain,Czarne Piętno,Gdy masz tę kartę w ręce Chromagus wraz z każdą dobraną kartą otrzyma jej kopię.,,3,,Spell,BRMA12_6H,,,,,,,,,,,
,Blackrock Mountain,Czarne Piętno,Gdy masz tę kartę w ręce Chromagus wraz z każdą dobraną kartą otrzyma jej kopię.,,1,,Spell,BRMA12_6,,,,,,,,,,,
,Blackrock Mountain,Czarne pisklę,,2,1,1,Minion,BRM_022t,,Common,Dragon,,,Jaemin Kim,,,,,
,Blackrock Mountain,Czarnoskrzydły,<b>Moc specjalna</b>Przyzwij Drakanina 3/1. Otrzymujesz nową moc specjalną.,,1,,Hero Power,BRMA09_4,,,,,,,,,,,
,Blackrock Mountain,Czarnoskrzydły,<b>Moc specjalna</b>Przyzwij Drakanina 5/4. Otrzymujesz nową moc specjalną.,,1,,Hero Power,BRMA09_4H,,,,,,,,,,,
,Blackrock Mountain,CZAS WALIĆ!,Zadaj $5 pkt. obrażeń losowemu wrogowi. Otrzymujesz 5 pkt. pancerza.,,4,,Spell,BRMA07_3,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Czerwone Piętno,Gdy masz tę kartę w ręce otrzymujesz 1 pkt. obrażeń na początku twojej tury.,,1,,Spell,BRMA12_3,,,,,,,,,,,
ImmuneToSpellpower,Blackrock Mountain,Czerwone Piętno,Gdy masz tę kartę w ręce otrzymujesz 3 pkt. obrażeń na początku twojej tury.,,3,,Spell,BRMA12_3H,,,,,,,,,,,
,Blackrock Mountain,Dawna Horda,<b>Moc specjalna</b>Przyzwij dwa Orki 2/2 z <b>Prowokacją</b>. Otrzymujesz nową moc specjalną.,,2,,Hero Power,BRMA09_3H,,,,,,,,,,,
,Blackrock Mountain,Dawna Horda,<b>Moc specjalna</b>Przyzwij dwa Orki 1/1 z <b>Prowokacją</b>. Otrzymujesz nową moc specjalną.,,2,,Hero Power,BRMA09_3,,,,,,,,,,,
,Blackrock Mountain,Dokładka!,<b>Moc specjalna</b>Umieść na polu bitwy po jednym stronniku z każdej talii.,,0,,Hero Power,BRMA01_2,,,,,,,,,,,
,Blackrock Mountain,Dokładka!,<b>Moc specjalna</b>Umieść na polu bitwy dwóch stronników z twojej talii i jednego z talii przeciwnika.,,0,,Hero Power,BRMA01_2H,,,,,,,,,,,
,Blackrock Mountain,Doładowanie,Zapełnij wszystkie puste kryształy many.,,0,,Spell,BRMA14_11,,,,,,,,,,,
,Blackrock Mountain,Drakanin,,3,1,1,Minion,BRMA09_4t,,,Dragon,,,,,,,,
,Blackrock Mountain,Drakanin,,5,1,4,Minion,BRMA09_4Ht,,,Dragon,,,,,,,,
,Blackrock Mountain,Drakanin czarownik,Otrzymuje +1/+1 za każdym razem gdy stanie się celem twojego zaklęcia.,3,4,5,Minion,BRM_020,,Common,Dragon,,True,Edouard Guiton & Stuido HIVE,Można wykonać po pokonaniu Nefarianaw Ukrytym Laboratorium.,Drakanin czarownik często zastanawia się dlaczego każdy napotkany goblin i gnom krzyczy do niego z rozbawieniem: „Czarownik czarownik zepsuć mi się pokrętło od machina!”.,Aby odblokować pokonaj Nefariana w Ukrytym Laboratorium.,,
,Blackrock Mountain,Drakoniczna moc,Zwiększone statystyki.,,,,Enchantment,BRM_020e,,,,,,,,,,,
