MECHANICS,COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,PLAYERCLASS,ELITE,RACE,INPLAYTEXT,DURABILITY
Combo,True,Classic,Agent WW:7,Neutral,<b>Kombinacja:</b> Zadaj 2 pkt. obrażeń.,Chris Moeller,Rare,3,3,3,Agenci WW:7 są odpowiedzialni za tajne operacje Wichrogrodu. Wlicza się w nie działalność szpiegowską skrytobójstwa oraz niespodziewane imprezy urodzinowe dla rodziny królewskiej.,Minion,EX1_134,Rogue,,,,
,True,Classic,Akolita bólu,,Dobierz kartę za każdym razem gdy ten stronnik otrzyma obrażenia.,Dave Kendall,Common,1,3,3,Kiedy był młody miał zostać akolitą radości ale coś poszło nie tak.,Minion,EX1_007,,,,,
Charge|Divine Shield|Taunt|Windfury,True,Classic,Al&sbquo;Akir Władca Wichrów,,<b>Furia wichru. Szarża. Boska tarcza. Prowokacja.</b>,Raymond Swanland,Legendary,3,8,5,To najsłabszy z czterech Władców Żywiołów. A pozostali trzej często mu o tym przypominają.,Minion,NEW1_010,Shaman,True,,,
,True,Classic,Alarmobot,,Na początku twojej tury zamień tego stronnika z innym wybranym losowo z twojej ręki.,Sean O’Daniels,Rare,0,3,3,UWAGA. UWAGA. UWAGA.,Minion,EX1_006,,,Mech,,
Battlecry,True,Classic,Alexstraza,Neutral,<b>Okrzyk bojowy:</b> Ustaw pozostałe zdrowie bohatera na 15.,Raymond Swanland,Legendary,8,9,8,Alexstraza daje każdemu życie nadzieję i natchnienie. Za wyjątkiem Śmiercioskrzydłego. I Malygosa. No i Nekrosa.,Minion,EX1_561,,True,Dragon,,
,True,Classic,Amok,Neutral,Daj rannemu stronnikowi +3/+3.,Jonboy Meyers,Common,,2,,Stronnik ZŁY! Stronnik MIAŻDŻYĆ!,Spell,CS2_104,Warrior,,,,
,,Classic,Amok,,+3/+3.,,,,,,,Enchantment,CS2_104e,Warrior,,,,
,True,Classic,Arcymag Antonidas,Neutral,Za każdym razem gdy rzucasz zaklęcie umieść w ręce zaklęcie „Kula ognia”.,Wayne Reynolds,Legendary,5,7,7,Antonidas to najlepsze potwierdzenie obiegowej opinii że potęgę czarodzieja mierzy się długością jego brody.,Minion,EX1_559,Mage,True,,,
,,Classic,Awans!,,Zwiększony atak i zdrowie.,,,,,,,Enchantment,EX1_044e,,,,,
,,Classic,Bain Krwawe Kopyto,,,,Legendary,4,4,5,,Minion,EX1_110t,,True,,,
,,Classic,Banany,,Daj stronnikowi +1/+1.,,,,1,,,Spell,EX1_014t,,,,,
,,Classic,Banany,,Ma +1/+1.,,,,,,,Enchantment,EX1_014te,,,,,
,,Classic,Bandyta Nieskornych,Neutral,,,,2,1,1,,Minion,EX1_131t,Rogue,,,,
,True,Classic,Baron Geddon,Neutral,Na koniec twojej tury zadaj 2 pkt. obrażeń WSZYSTKIM innym postaciom.,Ian Ameling,Legendary,7,7,5,Baron Geddon był pierwszym przybocznym Ragnarosa ale stosunki między nimi się ZAOGNIŁY.,Minion,EX1_249,,True,,,
,True,Classic,Baśniowy smok,,Nie może zostać wybrany jako cel zaklęć lub mocy specjalnych.,Samwise,Common,3,2,2,Rozkoszny. Niewrażliwy na magię. Nie sika na dywan. Idealny domowy zwierzak.,Minion,NEW1_023,,,Dragon,,
Enrage,True,Classic,Berserker z Amani,Neutral,<b>Szał:</b> +3 do ataku.,Chippy,Common,2,2,3,Jeśli berserker z Amani zapyta „Na mnie ty kukasz!?” prawidłową odpowiedzią jest „Nej manusz nej”.,Minion,EX1_393,,,,,
Deathrattle,True,Classic,Bestia,Neutral,<b>Agonia:</b> Przyzwij Finkosza Rogoźnika 3/3 twojemu przeciwnikowi.,Glenn Rane,Legendary,9,6,7,Żyje w Górach Czarnoskałych. Je gnomy. To by było na tyle.,Minion,EX1_577,,True,Beast,,
OneTurnEffect,,Classic,Bestialski gniew,,+2 do ataku oraz <b>Niewrażliwość</b> w tej turze.,,,,,,,Enchantment,EX1_549o,Hunter,,,,
,True,Classic,Bestialski gniew,Neutral,Daj przyjaznej Bestii +2 do ataku oraz <b>Niewrażliwość</b> w tej turze.,Alex Horley Orlandelli,Epic,,1,,Bestialski to on jest tylko z nazwy.,Spell,EX1_549,Hunter,,,,
Battlecry,True,Classic,Beztwarzowy manipulator,Neutral,<b>Okrzyk bojowy:</b> Wybierz stronnika a stanie się jego kopią.,Raymond Swanland,Epic,3,5,3,Beztwarzowi są sługami Yogg-Sarona i żywią się strachem. Obecnie żywią się twoim strachem przed przypadkowym odczarowaniem najlepszych kart.,Minion,EX1_564,,,,,
,True,Classic,Bitewny szał,Neutral,Dobierz kartę za każdą zranioną przyjazną postać.,Alex Horley Orlandelli,Common,,2,,Bo zupa była za słona...,Spell,EX1_392,Warrior,,,,
,,Classic,Bitewny topór,,,,,2,1,,,Weapon,EX1_398t,Warrior,,,,2
,,Classic,Blarghghl,,Zwiększony atak.,,,,,,,Enchantment,EX1_509e,,,,,
,True,Classic,Błogosławiony czempion,,Podwajasz atak stronnika.,Tyler Walpole,Rare,,5,,Podwójny atak to podwójna frajda!,Spell,EX1_355,Paladin,,,,
,,Classic,Błogosławiony Czempion,,Atak tego stronnika został podwojony.,,,,,,,Enchantment,EX1_355e,Paladin,,,,
,True,Classic,Błyskawica,Neutral,Zadaj $3 pkt. obrażeń. <b>Przeciążenie:</b> (1),Daarken,Common,,1,,A niech to jasny piorun strzeli!,Spell,EX1_238,Shaman,,,,
,True,Classic,Bójka,Neutral,Zniszcz wszystkich stronników oprócz jednego. <i>(wybranego losowo)</i>,Wayne Reynolds,Epic,,5,,Wiesz jaka jest pierwsza zasada klubu bójek?,Spell,EX1_407,Warrior,,,,
,True,Classic,Boska łaska,Neutral,Dobieraj karty tak długo aż będziesz mieć ich tyle co przeciwnik.,Lucas Graciano,Rare,,3,,Tak dla pewności przypominamy. To „łaska” a nie „laska”.,Spell,EX1_349,Paladin,,,,
,True,Classic,Burza z piorunami,Neutral,Zadaj $2-$3 pkt. obrażeń wszystkim wrogim stronnikom. <b>Przeciążenie:</b> (2),Christopher Moeller,Rare,,3,,Parasol zbytnio tu nie pomoże.,Spell,EX1_259,Shaman,,,,
,True,Classic,Burzowierny Topór,Neutral,<b>Przeciążenie:</b> (1),Nate Bowden,Common,2,2,,Burzowiernym toporem można zadawać piorunujące ciosy.,Weapon,EX1_247,Shaman,,,,3
,True,Classic,Burzyciel,Neutral,Na początku twojej tury zadaj 2 pkt. obrażeń losowemu wrogowi.,Raymond Swanland,Rare,1,3,4,Prowadzenie oblężeń nie jest już zabawne. Ani też skuteczne odkąd każdy ma latającego wierzchowca.,Minion,EX1_102,,,Mech,,
,True,Classic,Cenarius,Neutral,<b>Wybierz jedno:</b> Daj wszystkim swoim pozostałym stronnikom +2/+2; lub przyzwij dwa Drzewce 2/2 z <b>Prowokacją</b>.,Alex Horley Orlandelli,Legendary,5,9,8,Tak to półbóg. Nie nie musi nosić koszuli.,Minion,EX1_573,Druid,True,,,
Poisonous,True,Classic,Cesarska kobra,Neutral,Zniszcz każdego stronnika zranionego przez tego stronnika.,Lars Grant-West,Rare,2,3,3,Był plan żeby zrzucić kilka tych gadów z maszyny latającej na Śmiercioskrzydłego i zakończyć Kataklizm. Niestety kobry pogryzły wszystkich pasażerów. Powstała o tym opowieść pod tytułem „Kobry w żyrokopterze”.,Minion,EX1_170,,,Beast,,
,,Classic,Chochlik,Neutral,,,Rare,1,1,1,,Minion,EX1_598,,,Demon,,
Stealth,True,Classic,Chochlik krwi,Neutral,<b>Ukrycie</b>. Na koniec twojej tury daj innemu losowemu przyjaznemu stronnikowi +1 do zdrowia.,Bernie Kang,Common,0,1,1,Chochliki uwielbiają chować się w cieniu i złośliwie działać wszystkim na nerwy.,Minion,CS2_059,Warlock,,Demon,,
,True,Classic,Chochlistrzyni,Neutral,Na koniec twojej tury zadaj temu stronnikowi 1 pkt. obrażeń i przyzwij Chochlika 1/1.,Mark Gibbons,Rare,1,3,5,Znacznie bardziej lubiłaby swoją pracę gdyby chochliki w końcu przestały JĄ KĄSAĆ!,Minion,EX1_597,,,,,
,,Classic,Cień nicości,,Starcie umysłów przegrane! Twój przeciwnik nie ma stronników!,,Epic,0,0,1,,Minion,EX1_345t,Priest,,,,
,,Classic,Cienie M&sbquo;uru,,Ten stronnik wchłonął boskie tarcze i ma zwiększony atak i zdrowie.,,Common,,,,,Enchantment,EX1_590e,,,,,
AffectedBySpellPower,True,Classic,Cienisty płomień,Neutral,Zniszcz przyjaznego stronnika i zadaj obrażenia o wartości jego ataku wszystkim wrogim stronnikom.,Dave Kendall,Rare,,4,,Dobry stronnik trochę cienistego płomienia i na planszy wszystko się zmienia!,Spell,EX1_303,Warlock,,,,
Poisonous|Stealth,True,Classic,Cierpliwy skrytobójca,Neutral,<b>Ukrycie</b>. Zniszcz każdego stronnika zranionego przez tego stronnika.,Ben Olson,Epic,1,2,1,Tak naprawdę wcale nie jest cierpliwy. Po prostu rzadko pojawia się ktoś kogo jest w stanie dosięgnąć.,Minion,EX1_522,Rogue,,,,
,,Classic,Ciężki topór,,,,,1,1,,,Weapon,EX1_409t,Warrior,,,,3
Battlecry,True,Classic,Czarny Rycerz,,<b>Okrzyk bojowy:</b> Zniszcz wrogiego stronnika posiadającego <b>Prowokację</b>.,Alex Horley Orlandelli,Legendary,4,6,5,Pilnowanie mostu to JEGO obowiązek. Będzie o to walczył do ostatniej kończyny i jeszcze dalej!,Minion,EX1_002,,True,,,
,,Classic,Czeladnik Purpurowych,,,,,1,0,1,,Minion,NEW1_026t,,,,,
,,Classic,Czysta moc!,,Zwiększone statystyki.,,,,,,,Enchantment,EX1_274e,Mage,,,,
,,Classic,Dalekowidzenie,,Jedna z twoich kart kosztuje (3) mniej.,Lars Grant-West,,,,,,Enchantment,CS2_053e,Shaman,,,,
,True,Classic,Dalekowidzenie,Neutral,Dobierz kartę. Ta karta kosztuje (3) mniej.,Lars Grant-West,Epic,,3,,Podstawowe narzędzie każdego odkrywcy i taktyka. Zwiedzaj i szpieguj bez ruszania się z miejsca!,Spell,CS2_053,Shaman,,,,
,True,Classic,Dar mądrości,,Wybierz stronnika. Dobierz kartę za każdym razem gdy zaatakuje.,Chippy,Common,,1,,Nabyta wiedza podpowiada ci że wypadałoby atakować co turę.,Spell,EX1_363,Paladin,,,,
,,Classic,Dar mądrości,,Gdy ten stronnik zaatakuje przeciwnik dobiera kartę.,,,,,,,Enchantment,EX1_363e2,Paladin,,,,
,,Classic,Dar mądrości,,Gdy ten stronnik zaatakuje gracz który go pobłogosławił dobiera kartę.,,,,,,,Enchantment,EX1_363e,Paladin,,,,
,True,Classic,Demoniczny ogień,Neutral,Zadaj $2 pkt. obrażeń stronnikowi. Jeśli jest przyjaznym Demonem daj mu zamiast tego +2/+2.,Ben Wootten,Common,,2,,Demoniczny ogień przypomina zwykły z tym że NIE MOŻNA GO UGASIĆ! POMOOOOOCYYYYY!,Spell,EX1_596,Warlock,,,,
,,Classic,Demoniczny ogień,Neutral,Ten Demon ma +2/+2.,,Common,,0,,,Enchantment,EX1_596e,Warlock,,,,
,,Classic,Diabłozaur,Neutral,,,Common,5,5,5,,Minion,EX1_tk29,,,Beast,,
,True,Classic,Długi Łuk Gladiatora,Neutral,Twój bohater posiada <b>Niewrażliwość</b> podczas ataku.,Peter C. Lee,Epic,5,7,,Ten długi łuk pozwala na ostrzał z naprawdę daleka i przydaje się do likwidowania szczególnie cuchnących celów.,Weapon,DS1_188,Hunter,,,,2
Charge|Divine Shield,True,Classic,Dowódca Argentu,Neutral,<b>Szarża</b>. <b>Boska tarcza</b>.,James Ryman,Rare,4,6,2,Należał do Argentu zanim to było modne.,Minion,EX1_067,,,,,
Aura,True,Classic,Dowódca murloków,Neutral,WSZYSTKIE pozostałe Murloki otrzymują +2/+1.,Tim McBurnie,Epic,3,3,3,Mrglglrglglglglglglgl - jak cudownie to brzmi!,Minion,EX1_507,,,Murloc,,
,True,Classic,Druid Szponów,Neutral,<b>Wybierz jedno:</b> <b>Szarża</b>; lub +2 do zdrowia oraz <b>Prowokacja</b>.,Luca Zontini,Common,4,5,4,„Wcześniej nazywaliśmy się Druidami Pazura ale wciąż pytano nas o pokrewieństwo z jakimś Czarkiem”. - Starszy Druid Szponów,Minion,EX1_165,Druid,,,,
Charge,,Classic,Druid Szponów,,<b>Szarża</b>,,Common,4,5,4,,Minion,EX1_165t1,Druid,,Beast,,
Taunt,,Classic,Druid Szponów,,<b>Prowokacja</b>,,Common,4,5,6,,Minion,EX1_165t2,Druid,,Beast,,
,,Classic,Drwiąca siostra,,Nie może zostać wybrana jako cel zaklęć lub mocy specjalnych.,,,3,3,5,,Minion,DREAM_01,Dream,,,,
Charge,,Classic,Drzewiec,Neutral,<b>Szarża</b>. Na koniec tury zniszcz tego stronnika.,,Common,2,1,2,,Minion,EX1_tk9,Druid,,,,
Taunt,,Classic,Drzewiec,,<b>Prowokacja</b>,,,2,1,2,,Minion,EX1_573t,Druid,,,,
,,Classic,Drzewiec,Neutral,,,,2,1,2,,Minion,EX1_158t,Druid,,,,
,True,Classic,Drzewiec wiedzy,,<b>Wybierz jedno:</b> Dobierz 2 karty; lub przywróć 5 pkt. zdrowia.,Patrik Hjelm,Epic,5,7,5,No dalej. Wyryj na nim swoje inicjały.,Minion,NEW1_008,Druid,,,,
,True,Classic,Drzewiec wojny,Neutral,<b>Wybierz jedno:</b> +5 do ataku; lub +5 do zdrowia oraz <b>Prowokacja</b>.,Sean O’Daniels,Epic,5,7,5,Młode nocne elfy uwielbiają zabawę „Stary drzewiec mocno śpi”. Przegrywasz jak zadepcze cię na śmierć.,Minion,EX1_178,Druid,,,,
