SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,Nie można go <b>Wyciszyć. Boska tarcza Ukrycie.</b>,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,Twoja głośność nie może być zmniejszona poniżej maksimum.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Okrzyk bojowy:</b> Zmaluj coś!,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Super prowokacja:</b>
<i>(KAŻDA postać musi zaatakować tego stronnika.)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,Na koniec twojej tury daj losowemu stronnikowi +1 do ataku.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>Niesławny tupacz.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Okrzyk bojowy:</b> Przyzwij Pirata 2/2 i zniszcz wszystkich Nindżów.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>NIE BYŁ częścią problemu! ...Przez większość czasu.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Szał:</b> Taki żarcik! Jason nigdy nie wpada w szał.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Okrzyk bojowy:</b> Przyzwij PIĘĆ losowych wynalazków.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>3 za 5/4? To dobry interes!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>KO-KO-KO-KOMBO:</b> Zniszcz stronnika.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Okrzyk bojowy:</b> Dobierz DWIE karty. <i>Nie jest już młodszą inżynier.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,Nie możesz rozpocząć gry bez tego stronnika w talii.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Okrzyk bojowy:</b> Przyzwij pienisty trunek.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Twoi pozostali stronnicy otrzymują +3 do ataku oraz <b>Szarżę</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Okrzyk bojowy:</b> Narzekaj na ceny bekonu.,Legendary,2,2,2,Minion,CRED_07
