HEALTH,SET,TYPE,ID,NAME,MECHANICS,COLLECTIBLE,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,RACE
45,Curse of Naxxramas,Hero,NAX1h_01,AnubRekhan,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX1_01,AnubRekhan,,,,,,,,,,,,,,
7,Curse of Naxxramas,Minion,FP1_031,Baron Zerwikrusz,Aura,True,Ralph Horsley,True,Twoi stronnicy aktywują swoją <b>Agonię</b> dwukrotnie.,Legendary,1,4,Można wykonać po ukończeniu Rewiru Zbrojnych.,Kiedyś było pięcioro Jeźdźców ale jeden wypiął się na kumpli bo dostał lepszą fuchę na stanowisku przewodniczącego rady.,Aby odblokować ukończ Rewir Zbrojnych.,,,
7,Curse of Naxxramas,Hero,NAX9_01,Baron Zerwikrusz,,,,,,,,,,,,,,
14,Curse of Naxxramas,Hero,NAX9_01H,Baron Zerwikrusz,,,,,,,,,,,,,,
,Curse of Naxxramas,Enchantment,FP1_028e,Ciemność wzywa,,,,,Zwiększone statystyki.,,,,,,,,,
2,Curse of Naxxramas,Minion,FP1_005,Cień z Naxxramas,Stealth,True,Ittoku Seta,,<b>Ukrycie.</b> Otrzymuje +1/+1 na początku twojej tury.,Epic,2,3,Można wykonać po pokonaniu KelThuzada w Leżu Żmija Mrozu.,Paradoksalnie wszystkie cienie boją się ciemności. W końcu nie mogą istnieć bez odrobiny światła.,Aby odblokować pokonaj KelThuzada w Leżu Żmija Mrozu.,,,
4,Curse of Naxxramas,Minion,NAX2_05,Czciciel,Aura,,,,W twojej turze twój bohater ma +1 do ataku.,,1,3,,,,,,
4,Curse of Naxxramas,Minion,NAX2_05H,Czciciel,Aura,,,,W twojej turze twój bohater ma +3 do ataku.,,2,3,,,,,,
,Curse of Naxxramas,Enchantment,NAX12_03e,Dodatkowe zęby,,,,,Zwiększony atak.,,,,,,,,,
2,Curse of Naxxramas,Minion,FP1_019t,Drzewiec,,,,,,,2,1,,,,Druid,,
,Curse of Naxxramas,Spell,FP1_018,Duplikacja,Secret,True,Alex Garner,,<b>Sekret:</b> Gdy zginie przyjazny stronnik umieść 2 kopie jego karty w twojej ręce.,Common,,3,Można wykonać po ukończeniu wyzwania klasowego dla maga w Naxxramas.,Zaklęcie zapewnia magom stałą liczbę uczniów gotowych do asystowania przy niebezpiecznych eksperymentach.,Aby odblokować ukończ wyzwanie klasowe dla maga w Naxxramas.,Mage,,
,Curse of Naxxramas,Hero Power,NAX12_02H,Dziesiątkowanie,,,,,<b>Moc specjalna</b>
Zmień zdrowie wrogich stronników na 1.,,,0,,,,,,
,Curse of Naxxramas,Enchantment,NAX12_02e,Dziesiątkowanie,,,,,Zdrowie zmienione na 1.,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX12_02,Dziesiątkowanie,,,,,<b>Moc specjalna</b>
Zmień zdrowie wszystkich stronników na 1.,,,2,,,,,,
,Curse of Naxxramas,Spell,NAX6_04,Eksplozja zarodników,,,,,Zadaj $1 pkt. obrażeń wszystkim wrogim stronnikom. Przyzwij Zarodnik.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX5_02,Erupcja,,,,,<b>Moc specjalna</b>
Zadaj 2 pkt. obrażeń wrogiemu stronnikowi z lewego skraju planszy.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX5_02H,Erupcja,,,,,<b>Moc specjalna</b>
Zadaj 3 pkt. obrażeń wrogiemu stronnikowi z lewego skraju planszy.,,,0,,,,,,
7,Curse of Naxxramas,Minion,NAX13_04H,Feugen,,,,True,,Legendary,4,5,,,,,,
7,Curse of Naxxramas,Minion,FP1_015,Feugen,Deathrattle,True,Dany Orizio,True,<b>Agonia:</b> Jeśli podczas tej partii zginął także Stalag przyzwij Thadiusa.,Legendary,4,5,Można wykonać po przejściu Rewiru Konstruktów.,„Stalag - brzyyydal!” - Feugen,Aby odblokować ukończ Rewir Konstruktów.,,,
45,Curse of Naxxramas,Hero,NAX12_01H,Glut,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX12_01,Glut,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX8_01,Gotyk Żniwiarz,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX8_01H,Gotyk Żniwiarz,,,,,,,,,,,,,,
2,Curse of Naxxramas,Minion,FP1_028,Grabarz,,True,Jonboy Meyers,,Otrzymuje +1 do ataku za każdym razem gdy przyzywasz stronnika z <b>Agonią</b>.,Common,1,1,Można wykonać po pokonaniu Łaciora w Rewirze Konstruktów.,Służba u KelThuzada wymaga wielu wyrzeczeń. Grabarz przykładowo musiał rozstać się ze swoją ulubioną pidżamą.,Aby odblokować pokonaj Łaciora w Rewirze Konstruktów.,,,
45,Curse of Naxxramas,Hero,NAX11_01H,Grobulus,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX11_01,Grobulus,,,,,,,,,,,,,,
,Curse of Naxxramas,Weapon,NAX10_02H,Hak,Deathrattle|Windfury,,,,<b>Furia wichru</b>
<b>Agonia:</b> Weź tę broń do ręki.,,4,3,,,,,8,
,Curse of Naxxramas,Weapon,NAX10_02,Hak,Deathrattle,,,,<b>Agonia:</b> Weź tę broń do ręki.,,5,3,,,,,8,
45,Curse of Naxxramas,Hero,NAX5_01H,Heigan Nieczysty,,,,,,,,,,,,Warlock,,
30,Curse of Naxxramas,Hero,NAX5_01,Heigan Nieczysty,,,,,,,,,,,,Warlock,,
4,Curse of Naxxramas,Minion,FP1_022,Herold Pustki,Deathrattle,True,Robb Shoberg,,<b>Agonia:</b> Umieść losowego Demona z ręki na polu bitwy.,Common,3,4,Można wykonać po ukończeniu wyzwania klasowego dla czarnoksiężnika w Naxxramas.,Wolałby być Heroldem Rozpustki ale nie miał wielkiego wyboru.,Aby odblokować ukończ wyzwanie klasowe dla czarnoksiężnika w Naxxramas.,Warlock,,Demon
55,Curse of Naxxramas,Hero,NAX7_01H,Instruktor Razuwiusz,,,,,,,,,,,,,,
40,Curse of Naxxramas,Hero,NAX7_01,Instruktor Razuwiusz,,,,,,,,,,,,,,
,Curse of Naxxramas,Enchantment,NAX15_01He,Intruz!,,,,,,,,,,,,,,
,Curse of Naxxramas,Enchantment,NAX15_01e,Intruz!,,,,,,,,,,,,,,
4,Curse of Naxxramas,Minion,FP1_027,Kamiennoskóry gargulec,,True,Matt Smith,,Na początku twojej tury przywróć tego stronnika do pełni zdrowia.,Common,1,3,Można wykonać po pokonaniu Nicza Siewcy Zarazy w Rewirze Zarazy.,Gargulce podobnie jak ożywione pomniki nienawidzą gołębi.,Aby odblokować pokonaj Nicza Siewcę Zarazy w Rewirze Zarazy.,,,
45,Curse of Naxxramas,Hero,NAX15_01H,KelThuzad,,,,,,,,,,,,,,
8,Curse of Naxxramas,Minion,FP1_013,KelThuzad,,True,Chris Robinson,True,Na koniec każdej tury przyzwij wszystkich przyjaznych stronników którzy w niej zginęli.,Legendary,6,8,Można wykonać po pokonaniu wszystkich bossów w Naxxramas!,KelThuzad nie mógł się oprzeć wezwaniu Króla Licza bo wiedział że może na dużo liczyć.,Aby odblokować pokonaj wszystkich bossów w Naxxramas!,,,
30,Curse of Naxxramas,Hero,NAX15_01,KelThuzad,,,,,,,,,,,,,,
