MECHANICS,COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,ATTACK,COST,HEALTH,FLAVOR,TYPE,ID,ELITE,RACE,PLAYERCLASS,DURABILITY
Stealth,True,Goblins vs Gnomes,Akwoblin tropiciel,Seamus Gallagher,<b>Ukrycie</b>,Common,2,2,3,„Patrzcie! Płynie do nas jakaś duża rybka!” – ostatnie słowa jednego z uczestników (nieudanej) wyprawy wędkarskiej u wschodnich wybrzeży Azeroth.,Minion,GVG_081,,,,
Taunt,True,Goblins vs Gnomes,Anodowany robocik,Eva Widermann,<b>Prowokacja</b>.<b>Wybierz jedno:</b> +1 do ataku; lub +1 do zdrowia.,Common,2,2,2,Jaki uroczy malec! RATUNKU ZARAZ ZEŻRE MI TWARZ!,Minion,GVG_030,False,Mech,Druid,
Battlecry,True,Goblins vs Gnomes,Antyczny medibot,Jesper Esjing,<b>Okrzyk bojowy:</b> Przywróć 8 pkt. zdrowia twojemu bohaterowi.,Common,3,5,3,Teraz panie to już takich nie robią! (Zapewne dlatego że większość wybuchła).,Minion,GVG_069,,Mech,,
Taunt,True,Goblins vs Gnomes,Atrapa,Matt Dixon,<b>Prowokacja</b>,Rare,0,0,2,Cały czas coś ją trapi.,Minion,GVG_093,,Mech,,
Freeze,,Goblins vs Gnomes,Awaryjne chłodziwo,Peerasak Senalai,<b>Zamroź</b> stronnika.,,,1,,,Spell,PART_005,,,,
Battlecry,True,Goblins vs Gnomes,Błyskotron 3000,Jomaro Kindred,<b>Okrzyk bojowy:</b> Wyposaż każdego z graczy w losową broń.,Legendary,3,5,4,Błyszczy niczym tron.,Minion,GVG_119,True,Mech,,
,True,Goblins vs Gnomes,Bokser cienia,Dan Scott,Za każdym razem gdy jakaś postać zostanie uleczona zadaj 1 pkt. obrażeń losowemu wrogowi.,Rare,2,2,3,Jego funkcja podstawowa to prawy sierpowy. Funkcja wspomagająca to lewy sierpowy.,Minion,GVG_072,,Mech,Priest,
,True,Goblins vs Gnomes,Bolvar Fordragon,Tooth,Gdy masz tę kartę w ręce otrzymuje +1 do ataku za każdym razem gdy zginie przyjazny stronnik.,Legendary,1,5,7,Uwaga zdradzamy zakończenie: Bolvar ginie! Ale nie całkiem ponieważ zostaje zamieniony w żywy ogarek a potem zasiada na tronie z lodu i wszyscy o nim zapominają.,Minion,GVG_063,True,,Paladin,
,True,Goblins vs Gnomes,Bomba cieni,Jeff Haynie,Zadaj $3 pkt. obrażeń.,Common,,2,,Nie wiem jak dla państwa ale dla mnie - bomba!,Spell,GVG_015,,,Warlock,
AffectedBySpellPower,True,Goblins vs Gnomes,Bomba światła,Luca Zontini,Każdemu stronnikowi zadaj obrażenia równe jego atakowi.,Epic,,6,,Tak to jest jak się pozwoli goblinom na zostanie kapłanami.,Spell,GVG_008,,,Priest,
Battlecry,True,Goblins vs Gnomes,Bombardier,Luca Zontini,<b>Okrzyk bojowy:</b> Zadaj 4 pkt. obrażeń losowemu wrogiemu stronnikowi.,Rare,3,5,3,Przez dziesięć lat z rzędu zdobywał tytuł mistrza okręgu w rzucie bombą pchnięciu bombą oraz toczeniu bomby na czas.,Minion,GVG_099,,,,
,,Goblins vs Gnomes,Chochlik,,,,1,1,1,,Minion,GVG_045t,,Demon,Warlock,
,True,Goblins vs Gnomes,Chochlikoza,Jaemin Kim,Zadaj $2-$4 pkt. obrażeń stronnikowi. Przyzwij Chochlika 1/1 za każdy zadany punkt obrażeń.,Rare,,4,,Wbrew pozorom zaklęcie to nie przywołuje kozy z chochlą.,Spell,GVG_045,,,Warlock,
Battlecry,True,Goblins vs Gnomes,Cieniomantka,Matt Dixon,<b>Okrzyk bojowy:</b> Zadaj 3 pkt. obrażeń każdemu bohaterowi.,Epic,2,1,1,Wykonuje swoją pracę bez cienia entuzjazmu.,Minion,GVG_009,,,Priest,
,True,Goblins vs Gnomes,Cykl życia,Brandon Kitkouski,Wtasuj wrogiego stronnika do talii przeciwnika.,Rare,,6,,Nie mylić z „Cyklinowaniem życia”!,Spell,GVG_031,,,Druid,
,,Goblins vs Gnomes,Czasoprzewijacz,Nutthapon Petthai,Cofnij przyjaznego stronnika na twoją rękę.,,,1,,,Spell,PART_002,,,,
Divine Shield,True,Goblins vs Gnomes,Czołg wspomagany MAKS,Nutchapol Thitinunthakorn,<b>Boska tarcza</b>,Common,7,8,7,Ma promień skrętu jak czołg ale przynajmniej niestraszne mu korki.,Minion,GVG_079,,Mech,,
,,Goblins vs Gnomes,Czystość,,Zwiększone statystyki.,,,,,,Enchantment,GVG_101e,,,Paladin,
,,Goblins vs Gnomes,Dar kart,,Każdy z graczy dobiera kartę.,,,,,,Spell,GVG_032b,,,Druid,
,,Goblins vs Gnomes,Dar many,,Daj każdemu z graczy po krysztale many.,,,,,,Spell,GVG_032a,,,Druid,
Battlecry,True,Goblins vs Gnomes,Doktor Huk,Alex Garner,<b>Okrzyk bojowy:</b> Przyzwij dwa Hukoboty 1/1. <i>UWAGA: Hukoboty mogą huknąć.</i>,Legendary,7,7,7,Szef najskuteczniejszej (a na pewno najszybszej) ekipy rozbiórkowej w całym Azeroth.,Minion,GVG_110,True,,,
,True,Goblins vs Gnomes,Dożynkarz 4000,James Ryman,Zadaj również obrażenia stronnikom znajdującym się obok celu ataku.,Legendary,6,8,9,Doskonały na dożynki i dorzynki.,Minion,GVG_113,True,Mech,,
Battlecry,True,Goblins vs Gnomes,Druid Kłów,Brandon Kitkouski,<b>Okrzyk bojowy:</b> Jeśli kontrolujesz Bestię przemień tego stronnika w 7/7.,Common,4,5,4,Druidzi Kła piszą wyłącznie wężykiem.,Minion,GVG_080,,,Druid,
,,Goblins vs Gnomes,Druid Kłów,Massive Black,,,7,5,7,,Minion,GVG_080t,,Beast,Druid,
,True,Goblins vs Gnomes,Drzewo Życia,Steve Prescott,Przywróć wszystkie postaci do pełni zdrowia.,Epic,,9,,Dotyk drzewa leczy całe życie!,Spell,GVG_033,,,Druid,
