TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,ATTACK,COST,HEALTH,RACE,INPLAYTEXT,MECHANICS,COLLECTIBLE,ARTIST,ELITE,HOWTOGETGOLD,FLAVOR
Zwiększone statystyki.,Promotion,Enchantment,Mekka3e,Doping!,,,,,,,,,,,,,
Na koniec twojej tury daj losowemu stronnikowi +1/+1.,Promotion,Minion,Mekka3,Dopingator 3000,Alliance,Common,0,1,4,Mech,,,,,,,
Na początku twojej tury przemień losowego stronnika w Kurczaka 1/1.,Promotion,Minion,Mekka4,Drobiozator,Alliance,Common,0,1,3,Mech,,,,,,,
<b>Okrzyk bojowy:</b> Daj obu graczom moc metalu! (oraz kartę „Odjazdowy riff”),Promotion,Minion,PRO_001,Elitarny Taureński Czempion,,Legendary,5,5,5,,,Battlecry,True,Samwise Didier,True,Nagroda za BlizzCon 2013,Największe hity ETC to: „I Am a Murloc” (Jestem murlokiem) „Rogues Do It...” (Łotrzy robią to...) oraz „Power of the Horde” (Potęga Hordy).
<b>Okrzyk bojowy:</b> Przyzwij NIESAMOWITY wynalazek.,Promotion,Minion,EX1_112,Gelbin Mekanownik,Alliance,Legendary,6,6,6,,,Battlecry,True,Ludo Lullabi,True,Nagroda dla graczy którzy pomogli testować sklep podczas bety.,Jest przywódcą gnomów i wspaniałym wynalazcą. Z każdym dniem coraz mniej rzeczy zamienia w kurczaki.
Przyzwij trzy cztery albo pięć Murloków 1/1.,Promotion,Spell,PRO_001a,Jestem murlokiem,,,,4,,,,,,,,,
<i>Hej kurczaku!</i>,Promotion,Minion,Mekka4t,Kurczak,,,1,0,1,Beast,,,,,,,
Zadaj $4 pkt. obrażeń. Dobierz kartę.,Promotion,Spell,PRO_001b,Łotrzy robią to...,,,,4,,,,,,,,,
,Promotion,Minion,PRO_001at,Murlok,,,1,1,1,Murloc,,,,,,,
Przyzwij losowego wojownika Hordy.,Promotion,Spell,PRO_001c,Potęga Hordy,,,,4,,,,,,,,,
Na koniec twojej tury przywróć 6 pkt. zdrowia rannej postaci.,Promotion,Minion,Mekka2,Reperobot,Alliance,Common,0,1,3,Mech,,,,,,,
Na początku twojej tury zniszcz tego stronnika i dobierz 3 karty.,Promotion,Minion,Mekka1,Samonaprowadzany kurczak,Alliance,Common,0,1,1,Mech,,,,,,,
Ten stronnik został zamieniony w kurczaka!,Promotion,Enchantment,Mekka4e,Transformacja,,,,,,,,Morph,,,,,
