MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,RACE,PLAYERCLASS,ELITE,DURABILITY
Aura,Curse of Naxxramas,Adorador,Seu herói tem +1 de Ataque no seu turno.,1,3,4,Minion,NAX2_05,,,,,,,,,,
Aura,Curse of Naxxramas,Adorador,Seu herói tem +3 de Ataque no seu turno.,2,3,4,Minion,NAX2_05H,,,,,,,,,,
Battlecry,Curse of Naxxramas,Alma Ululante,<b>Grito de Guerra: Silencie</b> seus outros lacaios.,3,4,5,Minion,FP1_016,True,Glenn Rane,Rare,Pode ser criado após derrotar Thaddius no Distrito dos Constructos.,Esta alma fica <i>se lamentando</i> com você. Sai alma me deixa!,Desbloqueado ao derrotar Thaddius no Distrito dos Constructos.,,,,
,Curse of Naxxramas,Alteração de Polaridade,<b>Poder Heroico</b>
Troque o Ataque com a Vida de todos os lacaios.,,0,,Hero Power,NAX13_02,,,,,,,,,,
,Curse of Naxxramas,Anub'Rekhan,,,,30,Hero,NAX1_01,,,,,,,,,,
,Curse of Naxxramas,Anub'Rekhan,,,,45,Hero,NAX1h_01,,,,,,,,,,
,Curse of Naxxramas,Apocalipse Mental,Os dois jogadores compram 2 cards e recebem um Cristal de Mana.,,2,,Spell,NAX5_03,,,,,,,,,,
,Curse of Naxxramas,Aprendiz Espectral,No início do seu turno cause 1 de dano ao seu herói.,0,1,2,Minion,NAX8_03t,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Aprendiz Implacável,<b>Último Suspiro:</b> Evoque um Aprendiz Espectral para o seu oponente.,2,1,2,Minion,NAX8_03,,,,,,,,,,
,Curse of Naxxramas,Aranha Espectral,,1,1,1,Minion,FP1_002t,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Arauto do Caos,<b>Último Suspiro:</b> Coloque um Demônio aleatório da sua mão no campo de batalha.,3,4,4,Minion,FP1_022,True,Robb Shoberg,Common,Pode ser criado após completar o Desafio de Bruxo em Naxxramas.,"Caos! Aqui caos! Aqui amigão!",Desbloqueado ao completar o Desafio de Bruxo em Naxxramas.,Demon,Warlock,,
Deathrattle|Taunt,Curse of Naxxramas,Arrota-Lodo,<b>Provocar.
Último Suspiro:</b> Evoque um Visgo 1/2 com <b>Provocar</b>.,3,5,5,Minion,FP1_012,True,Nate Bowden,Rare,Pode ser criado após derrotar Repugnaz no Distrito da Peste.,NÃO DÊ A ELE UMA GARRAFA DE CERVEJA.,Desbloqueado ao derrotar Repugnaz no Distrito da Peste.,,,,
,Curse of Naxxramas,Arvoroso,,2,1,2,Minion,FP1_019t,,,,,,,,Druid,,
Taunt,Curse of Naxxramas,Aspirante,<b>Provocar</b>,0,2,7,Minion,NAX7_02,,,,,,,,,,
,Curse of Naxxramas,Aura Necrótica,<b>Poder Heroico</b>
Cause 3 de dano ao herói inimigo.,,0,,Hero Power,NAX6_02H,,,,,,,,,,
,Curse of Naxxramas,Aura Necrótica,<b>Poder Heroico</b>
Cause 3 de dano ao herói inimigo.,,2,,Hero Power,NAX6_02,,,,,,,,,,
,Curse of Naxxramas,Aura Necrótica,Seus feitiços custam (5) a mais neste turno!,,,,Enchantment,FP1_030e,,,,,,,,,,
,Curse of Naxxramas,Barão Rivendare,,,,14,Hero,NAX9_01H,,,,,,,,,,
Aura,Curse of Naxxramas,Barão Rivendare,Seus lacaios ativam os <b>Últimos Suspiros</b> duas vezes.,1,4,7,Minion,FP1_031,True,Ralph Horsley,Legendary,Pode ser criado após completar o Distrito Militar.,Antes eram cinco Cavaleiros mas um saiu porque apareceu uma vaga nas Minas Mortas com mais benefícios.,Desbloqueado ao completar o Distrito Militar.,,,True,
,Curse of Naxxramas,Barão Rivendare,,,,7,Hero,NAX9_01,,,,,,,,,,
Aura,Curse of Naxxramas,Campeão Congelado,Congelado permanentemente. Os lacaios adjacentes ficam imunes a Sopro Gélido.,2,5,10,Minion,NAX14_03,,,,,,,,,,
Deathrattle|Taunt,Curse of Naxxramas,Carniçal Instável,<b>Provocar</b>. <b>Último Suspiro:</b> Cause 1 de dano a todos os lacaios.,1,2,3,Minion,FP1_024,True,Mike Nicholson,Common,Pode ser criado após derrotar Heigan o Sujo no Distrito da Peste.,Encher seus Carniçais com Combustível de Foguete é a maior diversão na escola de Necromantes.,Desbloqueado ao derrotar Heigan o Sujo no Distrito da Peste.,,,,
,Curse of Naxxramas,Cavaleiro Espectral,Não pode ser alvo de feitiços nem de Poderes Heroicos.,4,5,6,Minion,FP1_008,True,Chris Rahn,Common,Pode ser criado após derrotar Gothik o Ceifador no Distrito Militar.,O que as Dragoletas e os Calaveiros Espectrais têm em comum? Os dois gostam de macarrão!,Desbloqueado ao derrotar Gothik o Ceifador no Distrito Militar.,,,,
,Curse of Naxxramas,Cavalgante Espectral,No início do seu turno cause 1 de dano ao seu herói.,0,5,6,Minion,NAX8_05t,,,,,,,,,,
Deathrattle,Curse of Naxxramas,Cavalgante Implacável,<b>Último Suspiro:</b> Evoque um Cavalgante Espectral para o seu oponente.,5,6,6,Minion,NAX8_05,,,,,,,,,,
,Curse of Naxxramas,Ceifar,<b>Poder Heroico</b>
Compre um card. Receba um Cristal de Mana.,,1,,Hero Power,NAX8_02H,,,,,,,,,,
,Curse of Naxxramas,Ceifar,<b>Poder Heroico</b>
Compre um card.,,2,,Hero Power,NAX8_02,,,,,,,,,,
,Curse of Naxxramas,Chamado da Escuridão,Atributos aumentados.,,,,Enchantment,FP1_028e,,,,,,,,,,
