SET,NAME,TEXT,TYPE,ID,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,ATTACK,COST,HEALTH,RACE,FLAVOR,MECHANICS,ELITE,DURABILITY
Goblins vs Gnomes,À Sombra,A Vida foi trocada.,Enchantment,GVG_014a,Priest,,,,,,,,,,,
Goblins vs Gnomes,Andarilho Espiritual Pinarena,Sempre que um Murloc aliado morrer compre um card. <b>Sobrecarga</b>: (1),Minion,GVG_040,Shaman,True,Clint Langley,Epic,2,4,5,Murloc,Os elementos respondem a todos que têm uma causa justa mesmo se o seu chamado for "MRGHRGLGLGL!".,,,
Goblins vs Gnomes,Aníquilus,Sempre que seu oponente jogar um card descarte os três cards do topo do seu deck.,Minion,GVG_016,,True,Zoltan & Gabor,Epic,8,5,8,Mech,"Aniquilo porque qui-lo" - Aníquilus,,,
Goblins vs Gnomes,Armadura Blindada,Ataque aumentado.,Enchantment,GVG_086e,Warrior,,,,,,,,,,,
Goblins vs Gnomes,Árvore da Vida,Restaure toda a Vida de todos os personagens.,Spell,GVG_033,Druid,True,Steve Prescott,Epic,,9,,,Cura: isso dá em árvore!,,,
Goblins vs Gnomes,Atirador Bondebico,Seu Poder Heroico pode alvejar lacaios.,Minion,GVG_087,Hunter,True,Jun Kang,Epic,2,2,3,,Goblins não têm paciência para ser francoatiradores. Eles preferem tacar umas bombas logo.,,,
Goblins vs Gnomes,Autobarbeiro Goblínico,<b>Grito de Guerra</b>: Conceda +1 de Ataque à sua arma.,Minion,GVG_023,Rogue,True,Zolton Boros,Common,3,2,2,Mech,Excelente para cortar cabelo... só procure não se mexer muito.,Battlecry,,
Goblins vs Gnomes,Azucrinatron,<b>Provocar</b>
<b>Escudo Divino</b>,Minion,GVG_085,,True,Matt Dixon,Common,1,2,2,Mech,O inventor do Azucrinatron foi imediatamente expulso da Escola de Gambiarras da Vila da Gambiarra e por fim dos Reinos do Leste.,Divine Shield|Taunt,,
Goblins vs Gnomes,Bem Equipado,+2/+2.,Enchantment,GVG_060e,Paladin,,,,,,,,,,,
Goblins vs Gnomes,Blindagem,Conceda +1 de Vida a um lacaio.,Spell,PART_001,,,Nutchapol Thitinunthakorn,,,1,,,,,,
Goblins vs Gnomes,Blindagem,+1 de Vida.,Enchantment,PART_001e,,,,,,,,,,,,
Goblins vs Gnomes,Blingtron 3000,<b>Grito de Guerra:</b> Equipe uma arma aleatória para cada jogador.,Minion,GVG_119,,True,Jomaro Kindred,Legendary,3,5,4,Mech,PREPARAR GIROSCÓPIOS DE BALADA PARA USO IMEDIATO.,Battlecry,True,
Goblins vs Gnomes,Bolvar Fordragon,Sempre que um lacaio aliado morrer e este card estiver na sua mão ganhe +1 de Ataque.,Minion,GVG_063,Paladin,True,Tooth,Legendary,1,5,7,,Spoiler: Bolvar derrete senta em um trono de gelo e todo mundo se esquece dele.,,True,
Goblins vs Gnomes,Bomba Luminosa,Cause dano a todos os lacaios igual ao Ataque de cada um.,Spell,GVG_008,Priest,True,Luca Zontini,Epic,,6,,,É isso que dá deixar goblins virarem sacerdotes.,AffectedBySpellPower,,
Goblins vs Gnomes,Bomba Negra,Cause $3 de dano.,Spell,GVG_015,Warlock,True,Jeff Haynie,Common,,2,,,Perfeito se você quiser criar um deck "emo"!,,,
Goblins vs Gnomes,Bombardeiro das Sombras,<b>Grito de Guerra:</b> Cause 3 de dano a cada herói.,Minion,GVG_009,Priest,True,Matt Dixon,Epic,2,1,1,,A Bombardeira das Sombras cumpre seu dever mas já nem se esforça muito.,Battlecry,,
Goblins vs Gnomes,Bombardeiro Muito Louco,<b>Grito de Guerra:</b> Cause 6 de dano divididos aleatoriamente entre todos os outros personagens.,Minion,GVG_090,,True,Alex Horley Orlandelli,Rare,5,5,4,,Caramba bombardeiro sossega aí pô.,Battlecry,,
Goblins vs Gnomes,Boneco-alvo,<b>Provocar</b>,Minion,GVG_093,,True,Matt Dixon,Rare,0,0,2,Mech,A versão mecanizada daqueles papéis com "Me Chute" escrito.,Taunt,,
Goblins vs Gnomes,Boxeador da Sombra,Sempre que um personagem for curado cause 1 de dano a um inimigo aleatório.,Minion,GVG_072,Priest,True,Dan Scott,Rare,2,2,3,Mech,Socar é a função primária. E a secundária também.,,,
Goblins vs Gnomes,Brutamontes Ogro,50% de chance de atacar o inimigo errado.,Minion,GVG_065,,True,Vinod Rams,Common,4,3,4,,Ogros têm muita dificuldade de lembrar... o que é que eles não conseguem lembrar mesmo? Tá aqui na ponta da língua...,,,
Goblins vs Gnomes,Buzina Enferrujada,Conceda <b>Provocar</b> a um lacaio.,Spell,PART_003,,,Peerasak Senalai,,,1,,,,,,
Goblins vs Gnomes,Cabeça de Mimiron,No início do seu turno se você tiver pelo menos 3 Mecanoides destrua todos e forme o V-07-TR-0N.,Minion,GVG_111,,True,Trent Kaniuga,Legendary,4,5,5,Mech,Não aperte o botãozão vermelho!,,True,
Goblins vs Gnomes,Calhambeque Vai-no-tranco,<b>Grito de Guerra</b>: Conceda +2/+2 a um Mecanoide aliado.,Minion,GVG_055,Warrior,True,Jesper Esjing,Rare,2,4,5,Mech,Se emperrar basta dar uns chutes e gritar: "Ô diacho de treco da disgrama sô!",Battlecry,,
Goblins vs Gnomes,Camuflado,Furtivo até seu próximo turno.,Enchantment,PART_004e,,,,,,,,,,,,
Goblins vs Gnomes,Camuflagem Instável,Conceda <b>Furtividade</b> a um lacaio aliado até o seu próximo turno.,Spell,PART_004,,,Nutchapol Thitinunthakorn,,,1,,,,,,
Goblins vs Gnomes,Canhão de Chamas,Cause $4 de dano a um lacaio inimigo aleatório.,Spell,GVG_001,Mage,True,Mauricio Herrera,Common,,2,,,Qual é o "Canhão de Chamas" mesmo? Todos os dispositivos goblínicos têm coisa de fogo aí fica difícil queridão.,,,
Goblins vs Gnomes,Canhão do Navio,Sempre que você evocar um Pirata cause 2 de dano a um inimigo aleatório.,Minion,GVG_075,,True,Warren Mahy,Common,2,2,3,,Quando eu falei "cuidado com o canhão" não estava me referindo a uma dona feia.,,,
Goblins vs Gnomes,Canhão Vil,No final do seu turno cause 2 de dano a um lacaio não-Mecanoide.,Minion,GVG_020,Warlock,True,Matt Gaser,Rare,3,4,5,Mech,A caixa diz: "Novo e melhorado agora com 200% a mais de vileza!",,,
Goblins vs Gnomes,Caolho Trapaceiro,Sempre que você evocar um Pirata receba <b>Furtividade</b>.,Minion,GVG_025,Rogue,True,Danny Beck,Rare,4,2,1,Pirate,Uma vez eu vi um pirata tirando moedas do tapa-olho. Eeeca!,,,
Goblins vs Gnomes,Ceifador de Inimigos 4000,Também causa dano aos lacaios adjacentes ao alvo atacado.,Minion,GVG_113,,True,James Ryman,Legendary,6,8,9,Mech,Ceifar inimigos não é muito diferente de ceifar a colheita sabe.,,True,
Goblins vs Gnomes,Cenho Franzido,Atributos aumentados.,Enchantment,GVG_100e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Chamado do Ancestral,Coloque um lacaio aleatório da mão de cada jogador no campo de batalha.,Spell,GVG_029,Shaman,True,Dan Scott,Epic,,4,,,"Ei! Ancestral!" - O Chamado do Ancestral,,,
Goblins vs Gnomes,Chamar Ajudante,Compre um card.
Se for uma Fera ela custará (4) a menos.,Spell,GVG_017,Hunter,True,E.M. Gist,Rare,,2,,,Caçadores de verdade adestram caranguejos famintos.,,,
Goblins vs Gnomes,Chave do Mestre da Engrenagem,Ganha +2 de Ataque enquanto você tiver um Mecanoide.,Weapon,GVG_024,Rogue,True,Richard Wright,Epic,1,3,,,Bom para desemporcalhar porcas e desentortar tortas!,Aura,,3
Goblins vs Gnomes,Chave Reversora,Troque o Ataque pela Vida de um lacaio.,Spell,PART_006,,,Nutthapon Petthai,,,1,,,,,,
Goblins vs Gnomes,Coração Demoníaco,Cause $5 de dano a um lacaio. Se for um Demônio aliado em vez disso conceda-lhe +5/+5.,Spell,GVG_019,Warlock,True,Kerem Beyit,Epic,,5,,,Quase todos os membros do lobby pró-demônio são Bruxos. Estranho.,,,
Goblins vs Gnomes,Coração Demoníaco,+5/+5.,Enchantment,GVG_019e,Warlock,,,,,,,,,,,
Goblins vs Gnomes,Cospe-Fuligem,<b>+1 de Dano Mágico</b>,Minion,GVG_123,Mage,True,Phil Saunders,Rare,3,3,3,Mech,O inventor do retalhador goblínico está envolvido em várias disputas de patente com o inventor do cospe-fuligem.,Spellpower,,
Goblins vs Gnomes,Dádiva de Cards,Cada jogador compra um card.,Spell,GVG_032b,Druid,,,,,,,,,,,
Goblins vs Gnomes,Dádiva de Mana,Conceda a cada jogador um Cristal de Mana.,Spell,GVG_032a,Druid,,,,,,,,,,,
Goblins vs Gnomes,Dama Escudeira,<b>Grito de Guerra:</b> Receba 5 de Armadura.,Minion,GVG_053,Warrior,True,Alex Horley Orlandelli,Rare,5,6,5,,Ela tem três carrega-escudos no grupo para servir de apoio quando a sua durabilidade fica baixa.,Battlecry,,
Goblins vs Gnomes,Dentes de Metal,+2 de Ataque.,Enchantment,GVG_048e,Hunter,,,,,,,,,,,
Goblins vs Gnomes,Diabrete,,Minion,GVG_045t,Warlock,,,,1,1,1,Demon,,,,
Goblins vs Gnomes,Disparo da Naja,Cause $3 de dano a um lacaio e ao herói inimigo.,Spell,GVG_073,Hunter,True,Howard Lyon,Common,,5,,,Disparo da Naja machuca muuuuuito mais que Beijoca da Naja.,,,
Goblins vs Gnomes,Dr. Cabum,<b>Grito de Guerra:</b>: Evoque duas 1/1 Robombas. <i>ATENÇÃO: Os Robôs podem explodir.</i>,Minion,GVG_110,,True,Alex Garner,Legendary,7,7,7,,MARAVILHEM-SE COM O PODER DELE!,Battlecry,True,
Goblins vs Gnomes,Druida da Presa,,Minion,GVG_080t,Druid,,Massive Black,,7,5,7,Beast,,,,
Goblins vs Gnomes,Druida da Presa,<b>Grito de Guerra:</b> Se você tiver uma Fera este lacaio torna-se 7/7.,Minion,GVG_080,Druid,True,Brandon Kitkouski,Common,4,5,4,,Os Druidas da Presa vivem na Caverna Ululante. Eles usam camisetas de cobra maneiras contam piadas de cobra e falam "parcêro" o tempo todo.,Battlecry,,
Goblins vs Gnomes,Eco de Medivh,Coloque uma cópia de cada lacaio aliado na sua mão.,Spell,GVG_005,Mage,True,Alex Garner,Epic,,4,,,O Eco de Medivh assombra Karazhan... roubando eternamente no xadrez e no <i>Hearthstone</i>.,,,
Goblins vs Gnomes,Encolhista,<b>Grito de Guerra:</b> Conceda
-2 de Ataque a um lacaio neste turno.,Minion,GVG_011,Priest,True,Jim Nelson,Common,3,2,2,,Depois do fiasco do Aumentador de Mundo Gnômico os gnomos andam meio desconfiados das invenções de alterar tamanho.,Battlecry,,
Goblins vs Gnomes,Engrenomalho,<b>Grito de Guerra:</b> Conceda <b>Escudo Divino</b> e <b>Provocar</b> a um lacaio aliado aleatório.,Weapon,GVG_059,Paladin,True,Danny Orizio,Epic,2,3,,,Então você arrancou isso de uma máquina gravou algumas runas enfiou um cabo nele e transformou numa arma de poder divino? É... agora eu já vi tudo.,Battlecry,,3
Goblins vs Gnomes,Escolhido de Velen,Conceda +2/+4 e <b>+1 de Dano Mágico</b> a um lacaio.,Spell,GVG_010,Priest,True,Alex Horley Orlandelli,Common,,3,,,Velen escreveu um "Lindo Cartão" para Tyrande com uma imagem do Metrô Correfundo dizendo: "Meu amor por você corre fundo em meu peito".,,,
Goblins vs Gnomes,Escolhido de Velen,+2/+4 e <b>+1 de Dano Mágico</b>.,Enchantment,GVG_010b,,,,,,,,,,,,
Goblins vs Gnomes,Esmagar,Destrua um lacaio. Se você tiver um lacaio ferido este feitiço custa (4) a menos.,Spell,GVG_052,Warrior,True,Michael Sutfin,Epic,,7,,,Usar esse card nos inimigos é uma das melhores coisas da vida segundo alguns bárbaros.,,,
Goblins vs Gnomes,Espreitador Guelblin,<b>Furtividade</b>,Minion,GVG_081,,True,Seamus Gallagher,Common,2,2,3,,"Shhh eu ouvi alguma coisa."

"Ah deixa pra lá não deve ser nada." - Últimas palavras de todos os lacaios,Stealth,,
Goblins vs Gnomes,Estalar,Cause $3-$6 de dano. <b>Sobrecarga: (1)</b>,Spell,GVG_038,Shaman,True,Warren Mahy,Common,,2,,,Aquele cheirinho de fritura...,,,
Goblins vs Gnomes,Exorcistinha,<b>Provocar</b>
<b>Grito de Guerra:</b> Receba +1/+1 para cada lacaio inimigo com <b>Último Suspiro</b>.,Minion,GVG_097,,True,Jim Nelson,Rare,2,3,3,,Bruxos sabem de cor o número de telefone do exorcista local para o caso de evocar o demônio errado.,Battlecry|Taunt,,
