HEALTH,SET,TYPE,ID,NAME,TEXT,FACTION,RARITY,COST,MECHANICS,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY
25,Missions,Hero,TU4f_001,Andarilho das Lendas Cho,,,,,,,,,
,Missions,Enchantment,TU4c_006e,Bananas,Este lacaio tem +1/+1. <i>(+1 de Ataque/+1 de Vida)</i>,,,,,,,,
,Missions,Spell,TU4c_006,Bananas,Conceda +1/+1 a um lacaio aliado. <i>(+1 de Ataque/+1 de Vida)</i>,Neutral,Common,1,,,,,
2,Missions,Minion,TU4c_003,Barril,Tem alguma coisa no barril?,Neutral,Common,0,Deathrattle,,,,
1,Missions,Minion,TU4f_002,Batedor Pandaren,,,Common,1,,,1,,
1,Missions,Minion,TU4d_002,Caçador Enlouquecido,,,Common,1,,,1,,
,Missions,Hero Power,TU4e_002,Chamas de Azzinoth,<b>Poder Heroico</b>Evoque dois lacaios 2/1.,,,2,,,,,
,Missions,Hero Power,TU4d_003,Disparo de Escopeta,<b>Poder Heroico</b>Cause 1 de dano.,,Common,2,,,,Hunter,
,Missions,Spell,TU4e_005,Estouro Flamejante,Dispare 5 mísseis em inimigos aleatórios causando $1 de dano em cada.,,Common,3,,,,,
,Missions,Weapon,TU4e_004,Glaive de Guerra de Azzinoth,,,Common,2,,,2,,2
,Missions,Weapon,TU4e_007,Glaives de Guerra Duplas,,,Common,6,,,4,,2
1,Missions,Minion,TU4a_003,Gnoll,,,Common,1,,,1,,
2,Missions,Minion,TU4a_005,Gnoll Enorme,,,Common,4,,,5,,
1,Missions,Minion,TU4a_002,Gnoll Pata Molhada,,,Common,1,,,2,,
3,Missions,Minion,TU4c_005,Gnomo Escondido,Estava escondido num barril!,Neutral,Common,2,,,1,,
10,Missions,Hero,TU4a_001,Hogger,,,Common,,,,,,
,Missions,Spell,TU4a_004,Hogger ESMAGA!,Cause 4 de dano.,,Common,3,,,,,
30,Missions,Hero,TU4e_001,Illidan Tempesfúria,,,,,,,,Hunter,
10,Missions,Minion,TU4c_007,Irmão Mais Velho de Mukla,Tão forte! E só custa 6 de Mana?!,,Common,6,,,10,,
27,Missions,Hero,TU4a_006,Jaina Proudmore,,,Common,,,,,Mage,
1,Missions,Minion,TU4e_002t,Labareda de Azzinoth,,,Common,1,,,2,,
,Missions,Spell,TU4c_002,Lançamento de Barril,Cause 2 de dano.,Neutral,Common,1,,,,,
,Missions,Enchantment,TU4f_004o,Legado do Imperador,Tem +2/+2. <i>(+2 de Ataque/+2 de Vida)</i>,,,,,,,,
,Missions,Spell,TU4f_004,Legado do Imperador,Conceda +2/+2 aos seus lacaios. <i>(+2 de Ataque/+2 de Vida)</i>,,Common,3,,,,,
2,Missions,Minion,TU4f_007,Macaco Louco,<b>Grito de Guerra:</b> Arremessa Bananas.,,Common,1,Battlecry,,1,,
4,Missions,Minion,TU4f_005,Mestre Cervejeiro,,,Common,4,,,4,,
20,Missions,Hero,TU4b_001,Millhouse Manavento,,,Common,,,,,Mage,
1,Missions,Minion,TU4e_003,Mirmidão Naga,<b></b>,,Common,1,,,1,,
2,Missions,Minion,TU4f_003,Monge Shado-Pan,,,Common,2,,,2,,
,Missions,Spell,TU4c_004,Pisada,Cause 2 de dano a todos os inimigos.,Neutral,Common,2,,,,,
,Missions,Enchantment,TU4c_008e,Poder de Mukla,O Rei Mukla tem +8 de Ataque neste turno.,,,,OneTurnEffect,,,,
26,Missions,Hero,TU4c_001,Rei Mukla,,,Common,,,,,,
20,Missions,Hero,TU4d_001,Rosarães Guima,,,Common,,,,,Hunter,
,Missions,Spell,TU4f_006,Transcendência,Cho não pode ser atacado até que você mate todos os lacaios dele.,,Common,1,,,,,
,Missions,Enchantment,TU4f_006o,Transcendência,Cho não pode ser atacado até que você mate todos os lacaios dele.,,,,,,,,
,Missions,Spell,TU4c_008,Vontade de Mukla,Restaure 8 de Vida.,,Common,3,,,,,
