TYPE,SET,HEALTH,ID,NAME,TEXT,FACTION,RARITY,COST,MECHANICS,INPLAYTEXT,ATTACK,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,RACE,FLAVOR,ELITE,HOWTOGET,HOWTOGETGOLD
Hero,Missions,25,TU4f_001,Andarilho das Lendas Cho,,,,,,,,,,,,,,,,
Enchantment,Missions,,TU4c_006e,Bananas,Este lacaio tem +1/+1. <i>(+1 de Ataque/+1 de Vida)</i>,,,,,,,,,,,,,,,
Spell,Missions,,TU4c_006,Bananas,Conceda +1/+1 a um lacaio aliado. <i>(+1 de Ataque/+1 de Vida)</i>,Neutral,Common,1,,,,,,,,,,,,
Minion,Missions,2,TU4c_003,Barril,Tem alguma coisa no barril?,Neutral,Common,0,Deathrattle,,,,,,,,,,,
Minion,Missions,1,TU4f_002,Batedor Pandaren,,,Common,1,,,1,,,,,,,,,
Minion,Missions,1,TU4d_002,Caçador Enlouquecido,,,Common,1,,,1,,,,,,,,,
Hero Power,Missions,,TU4e_002,Chamas de Azzinoth,<b>Poder Heroico</b>
Evoque dois lacaios 2/1.,,,2,,,,,,,,,,,,
Hero Power,Missions,,TU4d_003,Disparo de Escopeta,<b>Poder Heroico</b>
Cause 1 de dano.,,Common,2,,,,Hunter,,,,,,,,
Spell,Missions,,TU4e_005,Estouro Flamejante,Dispare 5 mísseis em inimigos aleatórios causando $1 de dano em cada.,,Common,3,,,,,,,,,,,,
Weapon,Missions,,TU4e_004,Glaive de Guerra de Azzinoth,,,Common,2,,,2,,2,,,,,,,
Weapon,Missions,,TU4e_007,Glaives de Guerra Duplas,,,Common,6,,,4,,2,,,,,,,
Minion,Missions,1,TU4a_003,Gnoll,,,Common,1,,,1,,,,,,,,,
Minion,Missions,2,TU4a_005,Gnoll Enorme,,,Common,4,,,5,,,,,,,,,
Minion,Missions,1,TU4a_002,Gnoll Pata Molhada,,,Common,1,,,2,,,,,,,,,
Minion,Missions,3,TU4c_005,Gnomo Escondido,Estava escondido num barril!,Neutral,Common,2,,,1,,,,,,,,,
Hero,Missions,10,TU4a_001,Hogger,,,Common,,,,,,,,,,,,,
Spell,Missions,,TU4a_004,Hogger ESMAGA!,Cause 4 de dano.,,Common,3,,,,,,,,,,,,
Hero,Missions,30,TU4e_001,Illidan Tempesfúria,,,,,,,,Hunter,,,,,,,,
Minion,Missions,10,TU4c_007,Irmão Mais Velho de Mukla,Tão forte! E só custa 6 de Mana?!,,Common,6,,,10,,,,,,,,,
Hero,Missions,27,TU4a_006,Jaina Proudmore,,,Common,,,,,Mage,,,,,,,,
Minion,Missions,1,TU4e_002t,Labareda de Azzinoth,,,Common,1,,,2,,,,,,,,,
Spell,Missions,,TU4c_002,Lançamento de Barril,Cause 2 de dano.,Neutral,Common,1,,,,,,,,,,,,
