MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,ELITE,RARITY,RACE,COLLECTIBLE,ARTIST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,FACTION
Charge,Blackrock Mountain,Aberração,<b>Investida</b>,1,1,1,Minion,BRMA15_4,,,,,,,,,,,
,Blackrock Mountain,Abra os Portões,<b>Poder Heroico</b>Evoque três Dragonetes 1/1. Receba um novo Poder Heroico.,,2,,Hero Power,BRMA09_2,,,,,,,,,,,
,Blackrock Mountain,Abra os Portões,<b>Poder Heroico</b>Evoque três Dragonetes 2/2. Receba um novo Poder Heroico.,,2,,Hero Power,BRMA09_2H,,,,,,,,,,,
,Blackrock Mountain,Adrenalina Ardente,Cause $2 de dano ao herói inimigo.,,0,,Spell,BRMA11_3,,,,,,,,,,,
Spellpower,Blackrock Mountain,Arcanotron,Ambos os jogadores recebem <b>+2 de Dano Mágico</b>.,2,0,2,Minion,BRMA14_3,True,Legendary,Mech,,,,,,,,
,Blackrock Mountain,Ardilante,Depois de lançar um feitiço cause 2 de dano dividido aleatoriamente entre todos os inimigos.,2,3,4,Minion,BRM_002,,Rare,,True,Alex Horley Orlandelli,Pode ser criado após a derrota de Vaelastrasz no Covil Asa Negra.,O negócio dos Ardilantes é fazer arder; o dos Flamívagos inflamar. Não é porque as temperaturas são altíssimas que é tudo a mesma coisa.,Desbloqueado após a derrota de Vaelastrasz no Covil Asa Negra.,Mage,,
,Blackrock Mountain,Ardilante Acólito,,1,2,3,Minion,BRMA06_4,,,,,,,,,,,
,Blackrock Mountain,Ardilante Acólito,,3,2,3,Minion,BRMA06_4H,,,,,,,,,,,
,Blackrock Mountain,Asa Negra,<b>Poder Heroico</b>Evoque um Draconiano 5/4. Receba um novo Poder Heroico.,,1,,Hero Power,BRMA09_4H,,,,,,,,,,,
,Blackrock Mountain,Asa Negra,<b>Poder Heroico</b>Evoque um Draconiano 3/1. Receba um novo Poder Heroico.,,1,,Hero Power,BRMA09_4,,,,,,,,,,,
,Blackrock Mountain,Atirador de Machados,Sempre que este lacaio receber dano cause 2 de dano ao herói inimigo.,2,4,5,Minion,BRM_016,,Common,,True,Efrem Palacios,Pode ser criado após a conclusão do Desafio do Guerreiro na Montanha Rocha Negra.,Antes um mero &bdquo;Atirador de Gravetos&bdquo; ele luta incansavelmente para alcançar seu sonho: virar &bdquo;Atirador de Taurens&bdquo;.,Desbloqueado após a conclusão do Desafio do Guerreiro da Montanha Rocha Negra.,Warrior,,
