SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,Não pode ser <b>Silenciado. Escudo Divino Furtividade.</b>,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,O volume do seu áudio não pode ser reduzido abaixo do máximo.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Grito de Guerra:</b> Compre alguns cards. E refaça os desenhos.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Super Provocar</b> <i>(TODOS os personagens precisam atacar este lacaio.)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,No final do seu turno conceda +1 de Ataque a um lacaio aleatório.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>O infame Bate-pé.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Grito de Guerra:</b> Evoque um Pirata 2/2 e destrua todos os Ninjas.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>Foi bem-sucedido em NÃO ser parte do problema! ...na maior parte do tempo.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Enfurecer:</b> Brincadeira! Ele nunca se enfurece.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Grito de Guerra:</b> Evoque CINCO Invenções aleatórias.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>3 por um 5/4? Ótimo negócio!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>C-C-C-COMBO:</b> Destrua um lacaio.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Grito de Guerra:</b> Compre DOIS cards. <i>Ela não é uma engenheira novata.</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,Você não pode começar o jogo sem esse lacaio no seu deck.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Grito de Guerra:</b> Evoque uma bebida espumante.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Seus outros lacaios têm +3 de Ataque e <b>Investida</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Grito de Guerra:</b> Reclama sobre o preço do bacon.,Legendary,2,2,2,Minion,CRED_07
