SET,NAME,TEXT,RARITY,COST,TYPE,ID,MECHANICS,ATTACK,HEALTH,PLAYERCLASS,DURABILITY,ELITE
Debug,,,Common,0,Spell,XXX_030,,,,,,
Debug,,,Common,0,Spell,XXX_001,ImmuneToSpellpower,,,,,
Debug,,,Common,0,Spell,XXX_003,,,,,,
Debug,,,Common,0,Spell,XXX_004,,,,,,
Debug,,,Common,0,Spell,XXX_005,,,,,,
Debug,,,Common,0,Spell,XXX_006,,,,,,
Debug,,,Common,0,Spell,XXX_007,,,,,,
Debug,,,Common,0,Spell,XXX_008,Freeze,,,,,
Debug,,,Common,0,Spell,XXX_009,,,,,,
Debug,,,Common,,Enchantment,XXX_009e,,,,,,
Debug,,,Common,0,Spell,XXX_010,,,,,,
Debug,,,Common,0,Spell,XXX_011,,,,,,
Debug,,,Common,0,Spell,XXX_012,,,,,,
Debug,,,Common,0,Spell,XXX_013,,,,,,
Debug,,,Common,0,Spell,XXX_014,,,,,,
Debug,,,Common,0,Spell,XXX_015,,,,,,
Debug,,,,0,Spell,XXX_016,,,,,,
Debug,,,Common,0,Spell,XXX_017,,,,,,
Debug,,,Common,0,Spell,XXX_018,,,,,,
Debug,,,Common,,Spell,XXX_019,,,,,,
Debug,,,Common,0,Spell,XXX_020,ImmuneToSpellpower,,,,,
Debug,,,Common,0,Spell,XXX_021,,,,,,
Debug,,,Common,0,Spell,XXX_022,,,,,,
Debug,,,,,Enchantment,XXX_022e,,,,,,
Debug,,,Common,0,Spell,XXX_023,,,,,,
Debug,,,Common,0,Minion,XXX_024,,3,10,,,
Debug,,,Common,0,Spell,XXX_025,,,,,,
Debug,,,Common,0,Spell,XXX_026,,,,,,
Debug,,,,,Spell,XXX_027,,,,,,
Debug,,,Common,,Spell,XXX_028,,,,,,
Debug,,,,0,Spell,XXX_029,,,,,,
Debug,,,Common,0,Spell,XXX_002,ImmuneToSpellpower,,,,,
Debug,,,,0,Spell,XXX_039,,,,,,
Debug,,,,,Hero,XXX_040,,,10,Warrior,,
Debug,,,Common,0,Spell,XXX_041,,,,,,
Debug,,,Common,0,Spell,XXX_042,,,,,,
Debug,,,Common,0,Spell,XXX_043,,,,,,
Debug,,,Common,0,Minion,XXX_044,,5,5,,,
Debug,,,Common,0,Spell,XXX_045,,,,,,
Debug,,,Common,0,Spell,XXX_046,,,,,,
Debug,,,Common,0,Spell,XXX_047,,,,,,
Debug,,,Common,0,Spell,XXX_048,,,,,,
Debug,,,Common,0,Spell,XXX_049,,,,,,
Debug,,,Common,0,Spell,XXX_050,,,,,,
Debug,,,Common,0,Spell,XXX_051,,,,,,
Debug,,,Common,0,Spell,XXX_052,,,,,,
Debug,,,,0,Spell,XXX_053,,,,,,
Debug,,,,0,Spell,XXX_054,,,,,,
Debug,,,,,Enchantment,XXX_054e,,,,,,
Debug,,,,0,Spell,XXX_055,,,,,,
Debug,,,,,Enchantment,XXX_055e,,,,,,
Debug,,,,0,Spell,XXX_056,,,,,,
Debug,,,,0,Spell,XXX_057,,,,,,
Debug,,,Common,0,Spell,XXX_058,,,,,,
Debug,,,,,Enchantment,XXX_058e,,,,,,
Debug,,,,0,Spell,XXX_059,,,,,,
Debug,,,,0,Spell,XXX_060,ImmuneToSpellpower,,,,,
Debug,,,,0,Minion,XXX_094,,1,1,,,
Debug,,,,0,Minion,XXX_095,,1,1,,,
Debug,,,,0,Minion,XXX_096,,1,1,,,
Debug,,,,0,Minion,XXX_097,,1,1,,0,
Debug,,,,0,Minion,XXX_098,,1,1,,0,
Debug,,,,0,Minion,XXX_099,,1,1,,0,False
