TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,INPLAYTEXT,PLAYERCLASS,DURABILITY,COLLECTIBLE,ARTIST,FLAVOR,ELITE,RACE,HOWTOGET,HOWTOGETGOLD
Это существо получило +1/+1. <i>(+1 к атаке/+1 к здоровью)</i>,Missions,Enchantment,TU4c_006e,Бананы,,,,,,,,,,,,,,,,
Ваше существо получает +1/+1. <i>(+1 к атаке/+1 к здоровью)</i>,Missions,Spell,TU4c_006,Бананы,Neutral,Common,1,,,,,,,,,,,,,
,Missions,Minion,TU4d_002,Безумный охотник,,Common,1,1,1,,,,,,,,,,,
<b>Боевой клич:</b> бросает бананы.,Missions,Minion,TU4f_007,Бешеная мартышка,,Common,1,1,2,Battlecry,,,,,,,,,,
В этой бочке что-то есть!,Missions,Minion,TU4c_003,Бочка,Neutral,Common,0,,2,Deathrattle,,,,,,,,,,
Наносит 2 ед. урона.,Missions,Spell,TU4c_002,Бросок бочки,Neutral,Common,1,,,,,,,,,,,,,
Восстанавливает 8 ед. здоровья.,Missions,Spell,TU4c_008,Воля Муклы,,Common,3,,,,,,,,,,,,,
Выстреливает 5 раз в случайных персонажей противника каждый раз нанося 1 ед. урона.,Missions,Spell,TU4e_005,Выброс пламени,,Common,3,,,,,,,,,,,,,
<b>Сила героя</b> Наносит 1 ед. урона.,Missions,Hero Power,TU4d_003,Выстрел из дробовика,,Common,2,,,,,Hunter,,,,,,,,
,Missions,Minion,TU4a_005,Гигантский гнолл,,Common,4,5,2,,,,,,,,,,,
,Missions,Minion,TU4a_003,Гнолл,,Common,1,1,1,,,,,,,,,,,
,Missions,Minion,TU4a_002,Гнолл Речной Лапы,,Common,1,2,1,,,,,,,,,,,
,Missions,Hero,TU4a_006,Джайна Праудмур,,Common,,,27,,,Mage,,,,,,,,
,Missions,Hero,TU4a_001,Дробитель,,Common,,,10,,,,,,,,,,,
,Missions,Hero,TU4e_001,Иллидан Ярость Бури,,,,,30,,,Hunter,,,,,,,,
,Missions,Weapon,TU4e_004,Клинок Аззинота,,Common,2,2,,,,,2,,,,,,,
,Missions,Hero,TU4c_001,Король Мукла,,Common,,,26,,,,,,,,,,,
,Missions,Hero,TU4b_001,Миллхаус Манашторм,,Common,,,20,,,Mage,,,,,,,,
,Missions,Minion,TU4f_003,Монах Шадо-Пан,,Common,2,2,2,,,,,,,,,,,
Король Мукла получает +8 к атаке до конца хода.,Missions,Enchantment,TU4c_008e,Мощь Муклы,,,,,,OneTurnEffect,,,,,,,,,,
<b></b>,Missions,Minion,TU4e_003,Нага-мирмидон,,Common,1,1,1,,,,,,,,,,,
+2/+2. <i>(+2 к атаке/+2 к здоровью)</i>,Missions,Enchantment,TU4f_004o,Наследие императора,,,,,,,,,,,,,,,,
Ваши существа получают +2/+2. <i>(+2 к атаке/+2 к здоровью)</i>,Missions,Spell,TU4f_004,Наследие императора,,Common,3,,,,,,,,,,,,,
,Missions,Minion,TU4f_002,Пандарен-разведчик,,Common,1,1,1,,,,,,,,,,,
,Missions,Weapon,TU4e_007,Парные клинки,,Common,6,4,,,,,2,,,,,,,
<b>Сила героя</b> Призывает на поле боя двух существ 2/1.,Missions,Hero Power,TU4e_002,Пламя Аззинота,,,2,,,,,,,,,,,,,
,Missions,Minion,TU4e_002t,Пламя Аззинота,,Common,1,2,1,,,,,,,,,,,
Он прятался в бочке!,Missions,Minion,TU4c_005,Спрятавшийся гном,Neutral,Common,2,1,3,,,,,,,,,,,
Такой большой и всего за 6 маны?!,Missions,Minion,TU4c_007,Старший брат Муклы,,Common,6,10,10,,,,,,,,,,,
Наносит 2 ед. урона всем противникам.,Missions,Spell,TU4c_004,Топот,Neutral,Common,2,,,,,,,,,,,,,
Вы не можете атаковать Чо пока не убьете его существ.,Missions,Spell,TU4f_006,Трансцендентность,,Common,1,,,,,,,,,,,,,
Вы не можете атаковать Чо пока не убьете его существ.,Missions,Enchantment,TU4f_006o,Трансцендентность,,,,,,,,,,,,,,,,
Наносит 4 ед. урона.,Missions,Spell,TU4a_004,Удар Дробителя!,,Common,3,,,,,,,,,,,,,
,Missions,Hero,TU4d_001,Хеминг Эрнестуэй,,Common,,,20,,,Hunter,,,,,,,,
,Missions,Minion,TU4f_005,Хмелевар,,Common,4,4,4,,,,,,,,,,,
,Missions,Hero,TU4f_001,Хранитель истории Чо,,,,,25,,,,,,,,,,,
Каждый раз когда вы разыгрываете карту это существо получает +1/+1.,Classic,Minion,EX1_044,Авантюрист,Alliance,Rare,3,2,2,,,,,True,Attila Adorjany,Правильнее было бы назвать его «Приключенец» потому что с ним все время что-то приключается.,,,,
<b>Серия приемов:</b> наносит 2 ед. урона.,Classic,Minion,EX1_134,Агент ШРУ,Neutral,Rare,3,3,3,Combo,,Rogue,,True,Chris Moeller,Агенты ШРУ занимаются секретной деятельностью в интересах Штормграда: шпионажем убийствами и организацией вечеринок-сюрпризов на дни рождения членов королевской семьи.,,,,
,Classic,Minion,EX1_finkle,Айс Вентурон,Neutral,Legendary,2,3,3,,,,,,,,True,,,
<b>Неистовство ветра Рывок Божественный щит Провокация</b>,Classic,Minion,NEW1_010,Ал&sbquo;акир,,Legendary,8,3,5,Charge|Divine Shield|Taunt|Windfury,,Shaman,,True,Raymond Swanland,Он самый слабый среди четырех повелителей элементалей и остальные трое не дают ему забыть об этом.,True,,,
<b>Боевой клич:</b> текущее здоровье выбранного героя становится равно 15.,Classic,Minion,EX1_561,Алекстраза,Neutral,Legendary,9,8,8,Battlecry,,,,True,Raymond Swanland,Алекстраза Хранительница Жизни несет свет и надежду каждому. Кроме Смертокрыла. И Малигоса. И еще Некроса.,True,Dragon,,
Ваши существа стоят на (3) маны больше.,Classic,Minion,CS2_227,Алчный наемник,Horde,Common,5,7,6,Aura,,,,True,John Polidora,Он может смотреть бесконечно на то как льется вода горит огонь и блестит его гонорар.,,,,
<b>Божественный щит</b>,Classic,Minion,EX1_020,Алый крестоносец,Alliance,Common,3,3,1,Divine Shield,,,,True,Gonzalo Ordonez,Привезите ей цветочек аленький. Она будет счастлива.,,,,
<b>Исступление:</b> +3 к атаке.,Classic,Minion,EX1_393,Аманийский берсерк,Neutral,Common,2,2,3,Enrage,,,,True,Chippy,Если аманийский берсерк спрашивает вас: «Ты это на меня уставился?» правильным ответом будет: «Нее чувак!»,,,,
<b>Секрет:</b> когда противник разыгрывает заклинание вы <b>отменяете</b> его.,Classic,Spell,EX1_287,Антимагия,Neutral,Rare,3,,,Secret,,Mage,,True,Jason Chan,Чем отличается маг пользующийся Антимагией от мага пренебрегающего этим заклинанием? Первый никогда не получит Огненной глыбой по физиономии.,,,,
Атака увеличена.,Classic,Enchantment,EX1_509e,Арггггг,,,,,,,,,,,,,,,,
+1/+1 от <i>Капитана Южных морей</i>.,Classic,Enchantment,NEW1_027e,Аррр!,,,,,,,,,,,,,,,,
Каждый раз когда вы разыгрываете карту заклинания вы кладете карту «Огненный шар» к себе в руку.,Classic,Minion,EX1_559,Архимаг Антонидас,Neutral,Legendary,7,5,7,,,Mage,,True,Wayne Reynolds,Антонидас был великим магом Кирин-Тора и учителем Джайны. После предыдущей работы великим зачаровывателем пончиков с джемом это было серьезное повышение.,True,,,
Ваши карты и способности восстанавливающие здоровье вместо этого наносят урон.,Classic,Minion,EX1_591,Аукенайская жрица,Neutral,Rare,4,3,5,Aura,,Priest,,True,Doug Alexander,Аукенайские жрецы знают что конец близок но не уверены насколько.,,,,
+1/+1.,Classic,Enchantment,EX1_014te,Бананы,,,,,,,,,,,,,,,,
Выбранное существо получает +1/+1.,Classic,Spell,EX1_014t,Бананы,,,1,,,,,,,,,,,,,
,Classic,Minion,EX1_131t,Бандит Братства,Neutral,,1,2,1,,,Rogue,,,,,,,,
