MECHANICS,SET,NAME,TEXT,ATTACK,COST,HEALTH,TYPE,ID,RACE,PLAYERCLASS,COLLECTIBLE,ARTIST,RARITY,HOWTOGETGOLD,FLAVOR,HOWTOGET,ELITE,FACTION,DURABILITY
Charge,Blackrock Mountain,Аберрация,<b>Рывок</b>,1,1,1,Minion,BRMA15_4,,,,,,,,,,,
,Blackrock Mountain,Активация Магматрона,<b>Сила героя</b> Активирует Магматрона!,,6,,Hero Power,BRMA14_8H,,,,,,,,,,,
,Blackrock Mountain,Активация Магматрона,<b>Сила героя</b> Активирует Магматрона!,,8,,Hero Power,BRMA14_8,,,,,,,,,,,
,Blackrock Mountain,Активация Токситрона,<b>Сила героя</b> Активирует Токситрона!,,4,,Hero Power,BRMA14_4,,,,,,,,,,,
,Blackrock Mountain,Активация Токситрона,<b>Сила героя</b> Активирует Токситрона!,,2,,Hero Power,BRMA14_4H,,,,,,,,,,,
,Blackrock Mountain,Активация Чаротрона,<b>Сила героя</b> Активирует Чаротрона!,,0,,Hero Power,BRMA14_2H,,,,,,,,,,,
,Blackrock Mountain,Активация Чаротрона,<b>Сила героя</b> Активирует Чаротрона!,,2,,Hero Power,BRMA14_2,,,,,,,,,,,
,Blackrock Mountain,Активация Электрона,<b>Сила героя</b> Активирует Электрона!,,6,,Hero Power,BRMA14_6,,,,,,,,,,,
,Blackrock Mountain,Активация Электрона,<b>Сила героя</b> Активирует Электрона!,,4,,Hero Power,BRMA14_6H,,,,,,,,,,,
,Blackrock Mountain,Активация!,<b>Сила героя</b> Активирует случайного Трона.,,2,,Hero Power,BRMA14_10H,,,,,,,,,,,
,Blackrock Mountain,Активация!,<b>Сила героя</b> Активирует случайного Трона.,,4,,Hero Power,BRMA14_10,,,,,,,,,,,
,Blackrock Mountain,Алхимик,<b>Пассивная сила героя</b>Каждый раз когда на поле боя призывается существо его атака и здоровье меняются местами.,,,,Hero Power,BRMA15_2,,,,,,,,,,,
,Blackrock Mountain,Алхимик,<b>Пассивная сила героя</b>Меняет местами атаку и здоровье существ.Ваши существа получают +2/+2.,,,,Hero Power,BRMA15_2H,,,,,,,,,,,
,Blackrock Mountain,Атрамед,,,,30,Hero,BRMA16_1,,,,,,,,,,,
,Blackrock Mountain,Атрамед,,,,30,Hero,BRMA16_1H,,,,,,,,,,,
,Blackrock Mountain,Барон Геддон,,,,30,Hero,BRMA05_1,,,,,,,,,,,
,Blackrock Mountain,Барон Геддон,,,,50,Hero,BRMA05_1H,,,,,,,,,,,
,Blackrock Mountain,Бес,,1,1,1,Minion,BRM_006t,Demon,Warlock,,,,,,,,,
,Blackrock Mountain,Бритвосмерт Неукротимый,,,,30,Hero,BRMA10_1H,,,,,,,,,,,
,Blackrock Mountain,Бритвосмерт Неукротимый,,,,30,Hero,BRMA10_1,,,,,,,,,,,
,Blackrock Mountain,В отрыв!,Призывает на поле боя 3 огнекамня. <b>Перегрузка:</b> (2),,3,,Spell,BRMA04_4,,,,,,,,,,,
