COLLECTIBLE,SET,NAME,FACTION,TEXT,ARTIST,RARITY,ATTACK,COST,HEALTH,INPLAYTEXT,FLAVOR,TYPE,ID,MECHANICS,PLAYERCLASS,ELITE,RACE,DURABILITY
True,Classic,Авантюрист,Alliance,Каждый раз когда вы разыгрываете карту это существо получает +1/+1.,Attila Adorjany,Rare,2,3,2,,Правильнее было бы назвать его «Приключенец» потому что с ним все время что-то приключается.,Minion,EX1_044,,,,,
True,Classic,Агент ШРУ,Neutral,<b>Серия приемов:</b> наносит 2 ед. урона.,Chris Moeller,Rare,3,3,3,,Агенты ШРУ занимаются секретной деятельностью в интересах Штормграда: шпионажем убийствами и организацией вечеринок-сюрпризов на дни рождения членов королевской семьи.,Minion,EX1_134,Combo,Rogue,,,
,Classic,Айс Вентурон,Neutral,,,Legendary,3,2,3,,,Minion,EX1_finkle,,,True,,
True,Classic,Алакир,,<b>Неистовство ветра Рывок Божественный щит Провокация</b>,Raymond Swanland,Legendary,3,8,5,,Он самый слабый среди четырех повелителей элементалей и остальные трое не дают ему забыть об этом.,Minion,NEW1_010,Charge|Divine Shield|Taunt|Windfury,Shaman,True,,
True,Classic,Алекстраза,Neutral,<b>Боевой клич:</b> текущее здоровье выбранного героя становится равно 15.,Raymond Swanland,Legendary,8,9,8,,Алекстраза Хранительница Жизни несет свет и надежду каждому. Кроме Смертокрыла. И Малигоса. И еще Некроса.,Minion,EX1_561,Battlecry,,True,Dragon,
True,Classic,Алчный наемник,Horde,Ваши существа стоят на (3) маны больше.,John Polidora,Common,7,5,6,,Он может смотреть бесконечно на то как льется вода горит огонь и блестит его гонорар.,Minion,CS2_227,Aura,,,,
True,Classic,Алый крестоносец,Alliance,<b>Божественный щит</b>,Gonzalo Ordonez,Common,3,3,1,,Привезите ей цветочек аленький. Она будет счастлива.,Minion,EX1_020,Divine Shield,,,,
True,Classic,Аманийский берсерк,Neutral,<b>Исступление:</b> +3 к атаке.,Chippy,Common,2,2,3,,Если аманийский берсерк спрашивает вас: «Ты это на меня уставился?» правильным ответом будет: «Нее чувак!»,Minion,EX1_393,Enrage,,,,
True,Classic,Антимагия,Neutral,<b>Секрет:</b> когда противник разыгрывает заклинание вы <b>отменяете</b> его.,Jason Chan,Rare,,3,,,Чем отличается маг пользующийся Антимагией от мага пренебрегающего этим заклинанием? Первый никогда не получит Огненной глыбой по физиономии.,Spell,EX1_287,Secret,Mage,,,
,Classic,Арггггг,,Атака увеличена.,,,,,,,,Enchantment,EX1_509e,,,,,
,Classic,Аррр!,,+1/+1 от <i>Капитана Южных морей</i>.,,,,,,,,Enchantment,NEW1_027e,,,,,
True,Classic,Архимаг Антонидас,Neutral,Каждый раз когда вы разыгрываете карту заклинания вы кладете карту «Огненный шар» к себе в руку.,Wayne Reynolds,Legendary,5,7,7,,Антонидас был великим магом Кирин-Тора и учителем Джайны. После предыдущей работы великим зачаровывателем пончиков с джемом это было серьезное повышение.,Minion,EX1_559,,Mage,True,,
True,Classic,Аукенайская жрица,Neutral,Ваши карты и способности восстанавливающие здоровье вместо этого наносят урон.,Doug Alexander,Rare,3,4,5,,Аукенайские жрецы знают что конец близок но не уверены насколько.,Minion,EX1_591,Aura,Priest,,,
,Classic,Бананы,,+1/+1.,,,,,,,,Enchantment,EX1_014te,,,,,
,Classic,Бананы,,Выбранное существо получает +1/+1.,,,,1,,,,Spell,EX1_014t,,,,,
,Classic,Бандит Братства,Neutral,,,,2,1,1,,,Minion,EX1_131t,,Rogue,,,
True,Classic,Барон Геддон,Neutral,В конце вашего хода наносит 2 ед. урона ВСЕМ остальным персонажам.,Ian Ameling,Legendary,7,7,5,,В детстве его дразнили «Геддон-армагеддон». Он вырос и пошел работать на Рагнароса.,Minion,EX1_249,,,True,,
True,Classic,Безликий манипулятор,Neutral,<b>Боевой клич:</b> становится копией выбранного существа.,Raymond Swanland,Epic,3,5,3,,Безликие – слуги Йогг-Сарона и они питаются страхом. Вот прямо сейчас они смакуют ваш страх случайно распылить все хорошие карты.,Minion,EX1_564,Battlecry,,,,
True,Classic,Безумный алхимик,Neutral,<b>Боевой клич:</b> меняет местами атаку и здоровье выбранного существа.,Tom Fleming,Rare,2,2,2,,«Тебе <i>понравится</i> мой новый рецепт!» — приговаривает он. Да уж... особенно если вы недовольны количеством ваших конечностей.,Minion,EX1_059,Battlecry,,,,
,Classic,Бейн Кровавое Копыто,,,,Legendary,4,4,5,,,Minion,EX1_110t,,,True,,
,Classic,Белка,Neutral,,,Common,1,1,1,,,Minion,EX1_tk28,,,,Beast,
,Classic,Берсерк,,Атака увеличена.,,,,,,,,Enchantment,EX1_604o,,Warrior,,,
,Classic,Бес,Neutral,,,Rare,1,1,1,,,Minion,EX1_598,,,,Demon,
True,Classic,Бич судьбы,Neutral,Наносит $2 ед. урона выбранному персонажу. Если это его убьет на поле боя призывается случайный демон.,Raymond Swanland,Epic,,5,,,Настоятельно рекомендуется его избегать.,Spell,EX1_320,,Warlock,,,
,Classic,Благодать Элуны,,Здоровье увеличено.,,,,,,,,Enchantment,EX1_004e,,,,,
,Classic,Благословение силы,,Атака этого существа удвоена.,,,,,,,,Enchantment,EX1_355e,,Paladin,,,
True,Classic,Благословение силы,,Удваивает атаку выбранного существа.,Tyler Walpole,Rare,,5,,,Эта карта удваивает все: и радости и горести.,Spell,EX1_355,,Paladin,,,
True,Classic,Близость к природе,Neutral,Уничтожает существо. Ваш противник берет 2 карты.,Leo Che,Common,,1,,,Еще один повержен в прах.,Spell,EX1_161,,Druid,,,
True,Classic,Боевая ярость,Neutral,Вы берете карту за каждого вашего персонажа с неполным здоровьем.,Alex Horley Orlandelli,Common,,2,,,«Лучше не зли меня. Тебе это не понравится.»,Spell,EX1_392,,Warrior,,,
,Classic,Боевой топор,,,,,2,1,,,,Weapon,EX1_398t,,Warrior,,,2
True,Classic,Божественная милость,Neutral,Вы берете карты до тех пор пока у вас в руке не будет столько же карт сколько у вашего противника.,Lucas Graciano,Rare,,3,,,Это не просто милость а божественная милость. Почти такая же как помыть в гостях посуду.,Spell,EX1_349,,Paladin,,,
True,Classic,Бранящийся сержант,Alliance,<b>Боевой клич:</b> выбранное существо получает +2 к атаке до конца хода.,Luca Zontini,Common,2,1,1,,ПОЛОЖИ МЕНЯ В КОЛОДУ ТУПИЦА!,Minion,CS2_188,Battlecry,,,,
True,Classic,Буйство,Neutral,Существо с неполным здоровьем получает +3/+3.,Jonboy Meyers,Common,,2,,,Кто буйный? Я БУЙНЫЙ?!,Spell,CS2_104,,Warrior,,,
,Classic,Буйство,,+3/+3.,,,,,,,,Enchantment,CS2_104e,,Warrior,,,
,Classic,В ловушке,,Это существо будет <b>заморожено</b> в начале следующего хода.,,,,,,,,Enchantment,EX1_611e,,Hunter,,,
,Classic,В полную силу,,Это существо получило +2 к атаке.,,,,,,,,Enchantment,CS2_181e,,,,,
True,Classic,Вайширский оракул,Neutral,<b>Боевой клич:</b> каждый игрок берет 2 карты.,Steve Prescott,Rare,2,3,2,,Он может предсказать ваше будущее. В будущем оба игрока будут брать карты.,Minion,EX1_050,Battlecry,,,Murloc,
True,Classic,Вайширский провидец,Neutral,<b>Боевой клич:</b> все прочие мурлоки получают +2 к здоровью.,Arthur Gimaldinov,Rare,2,3,3,,Вайширские мурлоки обитают в самых глубоких расщелинах Бездонных глубин. Это доказывает что от мурлоков нигде нельзя спрятаться.,Minion,EX1_103,Battlecry,,,Murloc,
True,Classic,Вестник рока,,В начале вашего хода уничтожает ВСЕХ существ.,Alex Horley Orlandelli,Epic,0,2,7,,Столько раз он был близок к истине предрекая конец света... Он был совершенно уверен что Катаклизм уж точно положит конец всему сущему.,Minion,NEW1_021,,,,,
True,Classic,Взрывная ловушка,Neutral,<b>Секрет:</b> когда вашего героя атакуют наносит 2 ед. урона всем персонажам противника.,Brandon Kitkouski,Common,,2,,,Эта штука не только поймает ваш обед но и зажарит его для вас!,Spell,EX1_610,Secret,Hunter,,,
True,Classic,Владыка преисподней,Neutral,<b>Боевой клич:</b> наносит 5 ед. урона вашему герою.,Glenn Rane,Epic,5,4,6,,Маннорот Магтеридон и Бруталл мертвы. Но похоже в преисподней ОЧЕНЬ много владык.,Minion,EX1_313,Battlecry,Warlock,,Demon,
