SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,Нельзя наложить эффект <b>немоты. Божественный щит. Маскировка.</b>,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,Ваша громкость не может быть убавлена ниже максимума.,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>Боевой клич:</b> Если вам не хватает карт он их нарисует.,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>Супер-провокация</b> <i>(КАЖДЫЙ персонаж должен атаковать это существо.)</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,В конце вашего хода случайное существо получает +1 к атаке.,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>Печально известный топотун.</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>Боевой клич:</b> призывает на поле боя пирата 2/2 и уничтожает всех ниндзя.,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>Успешно избегает затруднений... большую часть времени.</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>Исступление.</b> Шутка! Он никогда не впадает в исступление.,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>Боевой клич:</b> призывает на поле боя ПЯТЬ случайных изобретений.,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>5/4 за 3 маны? Дайте два!</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>С-С-Серия приемов:</b> уничтожает существо.,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>Боевой клич:</b> вы берете ДВЕ карты. <i>Это вам не инженер-новичок!</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,Вы не можете начать игру без этого существа в колоде.,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>Боевой клич:</b> призывает на поле боя пенистый напиток.,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,Другие ваши существа получают +3 к атаке и способность <b>«Рывок»</b>.,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>Боевой клич:</b> возмущается ценами на бекон.,Legendary,2,2,2,Minion,CRED_07
