HEALTH,SET,TYPE,ID,NAME,MECHANICS,COLLECTIBLE,ARTIST,ELITE,TEXT,RARITY,ATTACK,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,PLAYERCLASS,DURABILITY,RACE
45,Curse of Naxxramas,Hero,NAX1h_01,Ануб&sbquo;Рекан,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX1_01,Ануб&sbquo;Рекан,,,,,,,,,,,,,,
14,Curse of Naxxramas,Hero,NAX9_01H,Барон Ривендер,,,,,,,,,,,,,,
7,Curse of Naxxramas,Hero,NAX9_01,Барон Ривендер,,,,,,,,,,,,,,
7,Curse of Naxxramas,Minion,FP1_031,Барон Ривендер,Aura,True,Ralph Horsley,True,<b>«Предсмертный хрип»</b> ваших существ срабатывает дважды.,Legendary,1,4,Можно создать после убийства всех боссов Военного квартала.,Раньше всадников было пятеро но потом один из них устроился работать в Мертвые копи. Там зарплата выше и отличная медстраховка.,Награда за победу над всеми боссами Военного квартала.,,,
4,Curse of Naxxramas,Minion,NAX8_04,Безжалостный воин,Deathrattle,,,,<b>Предсмертный хрип:</b> призывает на сторону вашего противника призрачного воина.,,3,3,,,,,,
6,Curse of Naxxramas,Minion,NAX8_05,Безжалостный всадник,Deathrattle,,,,<b>Предсмертный хрип:</b> призывает на сторону вашего противника призрачного всадника.,,5,6,,,,,,
2,Curse of Naxxramas,Minion,NAX8_03,Безжалостный новобранец,Deathrattle,,,,<b>Предсмертный хрип:</b> призывает на сторону вашего противника призрачного новобранца.,,2,1,,,,,,
2,Curse of Naxxramas,Minion,FP1_004,Безумный ученый,Deathrattle,True,James Ryman,,<b>Предсмертный хрип:</b> вы кладете на поле боя <b>секрет</b> из вашей колоды.,Common,2,2,Можно создать после победы над Гроббулусом в Квартале Мерзости.,Мама хотела чтобы он стал магом или чернокнижником как все нормальные люди. И зачем только он пошел в науку?,Награда за победу над Гроббулусом в Квартале Мерзости.,,,
,Curse of Naxxramas,Spell,NAX6_03,Бутон смерти,,,,,Наносит существу $5 ед. урона. Призывает на поле боя спору.,,,4,,,,,,
45,Curse of Naxxramas,Hero,NAX2_01H,Вдова Фарлина,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX2_01,Вдова Фарлина,,,,,,,,,,,,,,
,Curse of Naxxramas,Spell,NAX5_03,Взрыв мозга,,,,,Оба игрока берут по 2 карты и получают по кристаллу маны.,,,2,,,,,,
,Curse of Naxxramas,Spell,NAX6_04,Взрыв спор,,,,,Наносит всем существам противника $1 ед. урона. Призывает на поле боя спору.,,,1,,,,,,
3,Curse of Naxxramas,Minion,FP1_001,Вкусный зомби,Deathrattle,True,E. M. Gist,,<b>Предсмертный хрип:</b> восстанавливает 5 ед. здоровья герою противника.,Common,2,1,Можно создать после победы над Глутом в Квартале Мерзости.,Зомби — это не только ценный мех но и 20-30 килограммов легкоусвояемого мяса!,Награда за победу над Глутом в Квартале Мерзости.,,,
8,Curse of Naxxramas,Minion,FP1_009,Владыка Смерти,Deathrattle|Taunt,True,Ben Olson,,<b>Провокация. Предсмертный хрип:</b> ваш противник кладет существо из своей колоды на поле боя.,Rare,2,3,Можно создать после победы над четырьмя всадниками в Военном квартале.,«Восстаньте из могил!» — Кел&sbquo;Тузад,Награда за победу над четырьмя всадниками в Военном квартале.,,,
4,Curse of Naxxramas,Minion,FP1_017,Властелин паутины,Aura,True,Alex Horley Orlandelli,,Существа со способностью <b>Боевой клич</b> стоят на (2) маны больше.,Common,1,2,Можно создать после победы над Фарлиной в Паучьем квартале.,На досуге властелины паутины плетут гигантские батуты.,Награда за победу над Фарлиной в Паучьем квартале.,,,
,Curse of Naxxramas,Spell,FP1_025,Возрождение,,True,Dan Scott,,Уничтожает существо а затем возвращает его на поле боя с полным здоровьем.,Common,,2,Можно создать после завершения испытания шамана в Наксрамасе.,Это как рождение только во взрослом возрасте и сразу после смерти.,Награда за прохождение испытания шамана в Наксрамасе.,Shaman,,
,Curse of Naxxramas,Hero Power,NAX4_04,Воскрешение мертвых,,,,,<b>Сила героя</b>
Оживляет павших существ противника в виде скелетов 1/1.,,,0,,,,,,
,Curse of Naxxramas,Hero Power,NAX4_04H,Воскрешение мертвых,,,,,<b>Сила героя</b>
Оживляет павших существ противника в виде скелетов 5/5.,,,0,,,,,,
45,Curse of Naxxramas,Hero,NAX12_01H,Глут,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX12_01,Глут,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX8_01,Готик Жнец,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX8_01H,Готик Жнец,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX11_01H,Гроббулус,,,,,,,,,,,,,,
30,Curse of Naxxramas,Hero,NAX11_01,Гроббулус,,,,,,,,,,,,,,
2,Curse of Naxxramas,Minion,FP1_003,Делящийся слизнюк,Battlecry,True,Eric Browning,,<b>Боевой клич:</b> в конце вашего хода призывает на поле боя копию этого существа.,Epic,1,2,Можно создать после победы над Сапфироном в Логове ледяного змея.,Слизнюк делится... делится слизнюк!,Награда за победу над Сапфироном в Логове ледяного змея.,,,
2,Curse of Naxxramas,Minion,FP1_019t,Древень,,,,,,,2,1,,,,Druid,,
,Curse of Naxxramas,Hero Power,NAX8_02H,Жатва,,,,,<b>Сила героя</b>
 Берет карту и получает кристалл маны.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX8_02,Жатва,,,,,<b>Сила героя</b>
Берет карту.,,,2,,,,,,
10,Curse of Naxxramas,Minion,NAX14_03,Замороженный герой,Aura,,,,Постоянно находится под эффектом <b>заморозки</b>. Находящиеся по обе стороны существа получают неуязвимость к Ледяному дыханию.,,2,5,,,,,,
,Curse of Naxxramas,Spell,NAX9_07,Знак всадников,,,,,Ваше оружие и ваши существа получают +1/+1.,,,5,,,,,,
,Curse of Naxxramas,Enchantment,NAX9_07e,Знак всадников,,,,,+1/+1.,,,,,,,,,
,Curse of Naxxramas,Enchantment,FP1_028e,Зов мрака,,,,,Характеристики увеличены.,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX5_02,Извержение,,,,,<b>Сила героя</b>
Наносит 2 ед. урона крайнему левому существу противника.,,,1,,,,,,
,Curse of Naxxramas,Hero Power,NAX5_02H,Извержение,,,,,<b>Сила героя</b>
Наносит 3 ед. урона крайнему левому существу противника.,,,0,,,,,,
5,Curse of Naxxramas,Minion,FP1_012,Изрыгатель слизи,Deathrattle|Taunt,True,Nate Bowden,,<b>Провокация.
Предсмертный хрип:</b> призывает на поле боя слизь 1/2 со способностью <b>Провокация.</b>,Rare,3,5,Можно создать после победы над Лотхибом в Чумном квартале.,НЕ ПОИТЕ ЕГО ГАЗИРОВКОЙ.,Награда за победу над Лотхибом в Чумном квартале.,,,
55,Curse of Naxxramas,Hero,NAX7_01H,Инструктор Разувий,,,,,,,,,,,,,,
40,Curse of Naxxramas,Hero,NAX7_01,Инструктор Разувий,,,,,,,,,,,,,,
,Curse of Naxxramas,Spell,NAX12_04,Исступление,,,,,Ваш герой получает +6 к атаке в этот ход.,,,3,,,,,,
,Curse of Naxxramas,Enchantment,NAX12_04e,Исступление,OneTurnEffect,,,,+6 к атаке до конца хода.,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX12_02,Истребление,,,,,<b>Сила героя</b>
 Здоровье всех существ становится равно 1.,,,2,,,,,,
,Curse of Naxxramas,Enchantment,NAX12_02e,Истребление,,,,,Здоровье стало равно 1.,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX12_02H,Истребление,,,,,<b>Сила героя</b>
 Здоровье всех существ противника становится равно 1.,,,0,,,,,,
4,Curse of Naxxramas,Minion,FP1_027,Каменная горгулья,,True,Matt Smith,,Это существо полностью восстанавливает свое здоровье в начале каждого вашего хода.,Common,1,3,Можно создать после победы над Нотом Чумным в Чумном квартале.,Каменные горгульи очень любят играть в «Море волнуется раз».,Награда за победу над Нотом Чумным в Чумном квартале.,,,
8,Curse of Naxxramas,Minion,FP1_013,Кел&sbquo;Тузад,,True,Chris Robinson,True,В конце каждого хода призывает на поле боя всех ваших существ которые умерли в этот ход.,Legendary,6,8,Можно создать после убийства всех боссов Наксрамаса.,У Кел&sbquo;Тузада было очень несчастливое детство. Неудивительно с таким-то именем!,Награда за победу над всеми боссами Наксрамаса!,,,
30,Curse of Naxxramas,Hero,NAX15_01,Кел&sbquo;Тузад,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX15_01H,Кел&sbquo;Тузад,,,,,,,,,,,,,,
,Curse of Naxxramas,Hero Power,NAX3_02,Кокон,,,,,<b>Сила героя</b>
Возвращает случайное существо противника в его руку.,,,3,,,,,,
,Curse of Naxxramas,Hero Power,NAX3_02H,Кокон,,,,,<b>Сила героя</b>
Возвращает 2 случайных существа противника в его руку.,,,0,,,,,,
3,Curse of Naxxramas,Minion,FP1_006,Конь смерти,Charge|Deathrattle,,,,<b>Рывок. Предсмертный хрип:</b> наносит 3 ед. урона вашему герою.,,2,1,,,,,,
,Curse of Naxxramas,Spell,NAX7_05,Кристалл контроля,,,,,Активируйте кристалл чтобы управлять учениками.,,,1,,,,,,
,Curse of Naxxramas,Weapon,NAX10_02H,Крюк,Deathrattle|Windfury,,,,<b>Неистовство ветра</b>
<b>Предсмертный хрип:</b> это оружие возвращается вам в руку.,,4,3,,,,,8,
,Curse of Naxxramas,Weapon,NAX10_02,Крюк,Deathrattle,,,,<b>Предсмертный хрип:</b> это оружие возвращается вам в руку.,,5,3,,,,,8,
7,Curse of Naxxramas,Minion,NAX9_02,Леди Бломе,,,,True,Ваш герой <b>неуязвим</b>.,,1,3,,,,,,
7,Curse of Naxxramas,Minion,NAX9_02H,Леди Бломе,,,,True,Ваш герой <b>неуязвим</b>.,,2,3,,,,,,
,Curse of Naxxramas,Hero Power,NAX14_02,Ледяное дыхание,,,,,<b>Сила героя</b>
Уничтожает всех не <b>замороженных</b> существ противника.,,,0,,,,,,
,Curse of Naxxramas,Hero Power,NAX15_02,Ледяной взрыв,Freeze,,,,<b>Сила героя</b>
Наносит 2 ед. урона герою противника и <b>замораживает</b> его.,,,0,,,,,,
,Curse of Naxxramas,Hero Power,NAX15_02H,Ледяной взрыв,Freeze,,,,<b>Сила героя</b>
Наносит 3 ед. урона герою противника и <b>замораживает</b> его.,,,0,,,,,,
30,Curse of Naxxramas,Hero,NAX10_01,Лоскутик,,,,,,,,,,,,,,
45,Curse of Naxxramas,Hero,NAX10_01H,Лоскутик,,,,,,,,,,,,,,
75,Curse of Naxxramas,Hero,NAX6_01,Лотхиб,,,,,,,,,,,,,,
99,Curse of Naxxramas,Hero,NAX6_01H,Лотхиб,,,,,,,,,,,,,,
