TEXT,SET,TYPE,ID,NAME,FACTION,RARITY,COST,ATTACK,HEALTH,MECHANICS,INPLAYTEXT,PLAYERCLASS,DURABILITY
Это существо получило +1/+1. <i>(+1 к атаке/+1 к здоровью)</i>,Missions,Enchantment,TU4c_006e,Бананы,,,,,,,,,
Ваше существо получает +1/+1. <i>(+1 к атаке/+1 к здоровью)</i>,Missions,Spell,TU4c_006,Бананы,Neutral,Common,1,,,,,,
,Missions,Minion,TU4d_002,Безумный охотник,,Common,1,1,1,,,,
<b>Боевой клич:</b> бросает бананы.,Missions,Minion,TU4f_007,Бешеная мартышка,,Common,1,1,2,Battlecry,,,
В этой бочке что-то есть!,Missions,Minion,TU4c_003,Бочка,Neutral,Common,0,,2,Deathrattle,,,
Наносит 2 ед. урона.,Missions,Spell,TU4c_002,Бросок бочки,Neutral,Common,1,,,,,,
Восстанавливает 8 ед. здоровья.,Missions,Spell,TU4c_008,Воля Муклы,,Common,3,,,,,,
Выстреливает 5 раз в случайных персонажей противника каждый раз нанося 1 ед. урона.,Missions,Spell,TU4e_005,Выброс пламени,,Common,3,,,,,,
<b>Сила героя</b>
 Наносит 1 ед. урона.,Missions,Hero Power,TU4d_003,Выстрел из дробовика,,Common,2,,,,,Hunter,
,Missions,Minion,TU4a_005,Гигантский гнолл,,Common,4,5,2,,,,
,Missions,Minion,TU4a_003,Гнолл,,Common,1,1,1,,,,
,Missions,Minion,TU4a_002,Гнолл Речной Лапы,,Common,1,2,1,,,,
,Missions,Hero,TU4a_006,Джайна Праудмур,,Common,,,27,,,Mage,
,Missions,Hero,TU4a_001,Дробитель,,Common,,,10,,,,
,Missions,Hero,TU4e_001,Иллидан Ярость Бури,,,,,30,,,Hunter,
,Missions,Weapon,TU4e_004,Клинок Аззинота,,Common,2,2,,,,,2
,Missions,Hero,TU4c_001,Король Мукла,,Common,,,26,,,,
,Missions,Hero,TU4b_001,Миллхаус Манашторм,,Common,,,20,,,Mage,
,Missions,Minion,TU4f_003,Монах Шадо-Пан,,Common,2,2,2,,,,
Король Мукла получает +8 к атаке до конца хода.,Missions,Enchantment,TU4c_008e,Мощь Муклы,,,,,,OneTurnEffect,,,
<b></b>,Missions,Minion,TU4e_003,Нага-мирмидон,,Common,1,1,1,,,,
+2/+2. <i>(+2 к атаке/+2 к здоровью)</i>,Missions,Enchantment,TU4f_004o,Наследие императора,,,,,,,,,
Ваши существа получают +2/+2. <i>(+2 к атаке/+2 к здоровью)</i>,Missions,Spell,TU4f_004,Наследие императора,,Common,3,,,,,,
,Missions,Minion,TU4f_002,Пандарен-разведчик,,Common,1,1,1,,,,
,Missions,Weapon,TU4e_007,Парные клинки,,Common,6,4,,,,,2
<b>Сила героя</b>
 Призывает на поле боя двух существ 2/1.,Missions,Hero Power,TU4e_002,Пламя Аззинота,,,2,,,,,,
,Missions,Minion,TU4e_002t,Пламя Аззинота,,Common,1,2,1,,,,
Он прятался в бочке!,Missions,Minion,TU4c_005,Спрятавшийся гном,Neutral,Common,2,1,3,,,,
Такой большой и всего за 6 маны?!,Missions,Minion,TU4c_007,Старший брат Муклы,,Common,6,10,10,,,,
Наносит 2 ед. урона всем противникам.,Missions,Spell,TU4c_004,Топот,Neutral,Common,2,,,,,,
Вы не можете атаковать Чо пока не убьете его существ.,Missions,Spell,TU4f_006,Трансцендентность,,Common,1,,,,,,
Вы не можете атаковать Чо пока не убьете его существ.,Missions,Enchantment,TU4f_006o,Трансцендентность,,,,,,,,,
Наносит 4 ед. урона.,Missions,Spell,TU4a_004,Удар Дробителя!,,Common,3,,,,,,
,Missions,Hero,TU4d_001,Хеминг Эрнестуэй,,Common,,,20,,,Hunter,
,Missions,Minion,TU4f_005,Хмелевар,,Common,4,4,4,,,,
,Missions,Hero,TU4f_001,Хранитель истории Чо,,,,,25,,,,
