SET,NAME,TEXT,COST,TYPE,ID,MECHANICS,COLLECTIBLE,ARTIST,ELITE,RARITY,ATTACK,HEALTH,HOWTOGETGOLD,FLAVOR,FACTION,RACE,INPLAYTEXT
"Promotion","«I Am Murloc»","Призывает на поле боя три четыре или пять мурлоков 1/1.",4,"Spell","PRO_001a",,,,,,,,,,,,
"Promotion","«Power of the Horde»","Призывает на поле боя случайного воина Орды.",4,"Spell","PRO_001c",,,,,,,,,,,,
"Promotion","«Rogues Do It...»","Наносит $4 ед. урона. Вы берете карту.",4,"Spell","PRO_001b",,,,,,,,,,,,
"Promotion","E.T.C.","<b>Боевой клич:</b> оба игрока получают силу РОКА! (а также одну из карт серии «Мощный аккорд»)",5,"Minion","PRO_001",Battlecry,True,"Samwise Didier",True,"Legendary",5,5,"Награда за посещение или приобретение виртуального билета BlizzCon 2013.","Внимание! Группе требуется барабанщик! Текущие кандидаты: инженер-новичок щитоносец Сен'джин и Рагнарос.",,,
"Promotion","Воодушевитель 3000","В конце вашего хода случайное существо получает +1/+1.",1,"Minion","Mekka3",,,,,"Common",0,4,,,"Alliance","Mech",""
"Promotion","Воодушевление!","Характеристики увеличены.",,"Enchantment","Mekka3e",,,,,,,,,,,,
"Promotion","Гелбин Меггакрут","<b>Боевой клич:</b> призывает на поле боя удивительное изобретение.",6,"Minion","EX1_112",Battlecry,True,"Ludo Lullabi",True,"Legendary",6,6,"Награда игрокам помогавшим в тестировании магазина на стадии бета-тестирования.","Предводитель гномов и выдающийся изобретатель. Надо заметить теперь он гораздо реже превращает предметы в куриц.","Alliance",,
"Promotion","Курица","<i>Эй цыпа!</i>",0,"Minion","Mekka4t",,,,,,1,1,,,,"Beast",
"Promotion","Мурлок",,1,"Minion","PRO_001at",,,,,,1,1,,,,"Murloc",
"Promotion","Превращение","Превращение в курицу!",,"Enchantment","Mekka4e",Morph,,,,,,,,,,,
"Promotion","Птицефикатор","В начале вашего хода случайное существо превращается в курицу 1/1.",1,"Minion","Mekka4",,,,,"Common",0,3,,,"Alliance","Mech",""
"Promotion","Ремонтный робот","В конце вашего хода восстанавливает 6 ед. здоровья персонажу с неполным здоровьем.",1,"Minion","Mekka2",,,,,"Common",0,3,,,"Alliance","Mech",""
"Promotion","Самонаводящаяся курица","В начале вашего хода это существо будет уничтожено. Вы берете 3 карты.",1,"Minion","Mekka1",,,,,"Common",0,1,,,"Alliance","Mech",""
