SET,NAME,HEALTH,TYPE,ID,PLAYERCLASS,DURABILITY,RARITY,ATTACK,COST,TEXT,FACTION,MECHANICS,INPLAYTEXT,COLLECTIBLE,ARTIST,FLAVOR,RACE,ELITE,HOWTOGET,HOWTOGETGOLD
Missions,伊利丹·怒风,30,Hero,TU4e_001,Hunter,,,,,,,,,,,,,,,
Missions,双持战刃,,Weapon,TU4e_007,,2,Common,4,6,,,,,,,,,,,
Missions,吉安娜·普罗德摩尔,27,Hero,TU4a_006,Mage,,Common,,,,,,,,,,,,,
Missions,埃辛诺斯之焰,1,Minion,TU4e_002t,,,Common,2,1,,,,,,,,,,,
Missions,埃辛诺斯之焰,,Hero Power,TU4e_002,,,,,2,<b>英雄技能</b>召唤两个2/1的随从。,,,,,,,,,,
Missions,埃辛诺斯战刃,,Weapon,TU4e_004,,2,Common,2,2,,,,,,,,,,,
Missions,大型豺狼人,2,Minion,TU4a_005,,,Common,5,4,,,,,,,,,,,
Missions,帝王传承,,Spell,TU4f_004,,,Common,,3,使你的随从获得+2/+2。<i>（+2攻击力/+2生命值）</i>,,,,,,,,,,
Missions,帝王传承,,Enchantment,TU4f_004o,,,,,,获得+2/+2。<i>（+2攻击力/+2生命值）</i>,,,,,,,,,,
Missions,影踪派武僧,2,Minion,TU4f_003,,,Common,2,2,,,,,,,,,,,
Missions,掷桶,,Spell,TU4c_002,,,Common,,1,造成2点伤害。,Neutral,,,,,,,,,
Missions,木桶,2,Minion,TU4c_003,,,Common,,0,这木桶里有什么东西？,Neutral,Deathrattle,,,,,,,,
Missions,河爪豺狼人,1,Minion,TU4a_002,,,Common,2,1,,,,,,,,,,,
Missions,游学者周卓,25,Hero,TU4f_001,,,,,,,,,,,,,,,,
Missions,火枪轰击,,Hero Power,TU4d_003,Hunter,,Common,,2,<b>英雄技能</b>造成1点伤害。,,,,,,,,,,
Missions,火焰爆裂,,Spell,TU4e_005,,,Common,,3,随机对敌人发射$5枚飞弹，每枚飞弹造成$1点伤害。,,,,,,,,,,
Missions,熊猫人斥候,1,Minion,TU4f_002,,,Common,1,1,,,,,,,,,,,
Missions,疯狂的猎人,1,Minion,TU4d_002,,,Common,1,1,,,,,,,,,,,
Missions,疯狂的猴子,2,Minion,TU4f_007,,,Common,1,1,<b>战吼：</b>扔香蕉。,,Battlecry,,,,,,,,
Missions,穆克拉,26,Hero,TU4c_001,,,Common,,,,,,,,,,,,,
Missions,穆克拉之力,,Enchantment,TU4c_008e,,,,,,在本回合中，穆克拉获得+8攻击力。,,OneTurnEffect,,,,,,,,
Missions,穆克拉的大表哥,10,Minion,TU4c_007,,,Common,10,6,如此强大！而且只要6点法力值？！,,,,,,,,,,
Missions,穆克拉的意志,,Spell,TU4c_008,,,Common,,3,恢复8点生命值。,,,,,,,,,,
Missions,米尔豪斯·法力风暴,20,Hero,TU4b_001,Mage,,Common,,,,,,,,,,,,,
Missions,纳迦侍从,1,Minion,TU4e_003,,,Common,1,1,<b></b>,,,,,,,,,,
Missions,豺狼人,1,Minion,TU4a_003,,,Common,1,1,,,,,,,,,,,
Missions,赫米特·奈辛瓦里,20,Hero,TU4d_001,Hunter,,Common,,,,,,,,,,,,,
Missions,践踏,,Spell,TU4c_004,,,Common,,2,对所有敌人造成2点伤害。,Neutral,,,,,,,,,
Missions,躲起来的侏儒,3,Minion,TU4c_005,,,Common,1,2,曾经躲在木桶里！,Neutral,,,,,,,,,
Missions,酒仙,4,Minion,TU4f_005,,,Common,4,4,,,,,,,,,,,
Missions,霍格,10,Hero,TU4a_001,,,Common,,,,,,,,,,,,,
Missions,霍格很厉害！,,Spell,TU4a_004,,,Common,,3,造成4点伤害。,,,,,,,,,,
Missions,香蕉,,Spell,TU4c_006,,,Common,,1,使一个友方随从获得+1/+1。<i>（+1攻击力/+1生命值）</i>,Neutral,,,,,,,,,
Missions,香蕉,,Enchantment,TU4c_006e,,,,,,该随从获得+1/+1。<i>（+1攻击力/+1生命值）</i>,,,,,,,,,,
Missions,魂体双分,,Spell,TU4f_006,,,Common,,1,除非你杀死周卓的随从，否则他无法被攻击。,,,,,,,,,,
Missions,魂体双分,,Enchantment,TU4f_006o,,,,,,除非你杀死周卓的随从，否则他无法被攻击。,,,,,,,,,,
Classic,“深受鼓舞”,,Enchantment,CS2_188o,,,,,,在本回合中，该随从获得+2攻击力。,,OneTurnEffect,,,,,,,,
Classic,上古看守者,5,Minion,EX1_045,,,Rare,4,2,无法攻击。,Alliance,,,True,Richard Wright,为什么在你走动的时候，会感觉它的眼珠也在跟着你动？,,,,
Classic,丛林之魂,,Enchantment,EX1_158e,Druid,,,,,<b>亡语：</b>召唤一个2/2的树人。,,,,,,,,,,
Classic,丛林之魂,,Spell,EX1_158,Druid,,Common,,4,使你的所有随从获得“<b>亡语：</b>召唤一个2/2的树人。”,Neutral,,,True,Markus Erdt,“重新造林”计划突然听起来像是个恐怖的阴谋。,,,,
Classic,丛林守护者,4,Minion,EX1_166,Druid,,Rare,2,4,<b>抉择</b>：造成2点伤害；或者<b>沉默</b>一个随从。,Neutral,,,True,Gabor Szikszai,这些家伙不知道从哪儿冒出来，然后就自说自话地开始守护你的丛林了。,,,,
Classic,丛林猎豹,2,Minion,EX1_017,,,Common,4,3,<b>潜行</b>,Horde,Stealth,,True,Jaemin Kim,荆棘谷是一个很适合观光的地方，但你绝对不会想住在那儿。,Beast,,,
Classic,严酷的监工,2,Minion,EX1_603,Warrior,,Common,2,2,<b>战吼：</b>对一个随从造成1点伤害，并使其获得+2攻击力。,Neutral,Battlecry,,True,Phroilan Gardner,“这个周末你们必须来加班。”——严酷的监工,,,,
Classic,以眼还眼,,Spell,EX1_132,Paladin,,Common,,1,<b>奥秘：</b>当你的英雄受到伤害时，对敌方英雄造成等量伤害。,Neutral,Secret,,True,James Ryman,有时正义的表现形式就是这么简单：紧握的拳头打在瘫软的脸上。,,,,
Classic,任务达人,2,Minion,EX1_044,,,Rare,2,3,每当你使用一张牌时，便获得+1/+1。,Alliance,,,True,Attila Adorjany,“高价收购致命的短枪，卖的密！”,,,,
Classic,伊利丹·怒风,5,Minion,EX1_614,,,Legendary,7,6,每当你使用一张牌时，召唤一个2/1的埃辛诺斯之焰。,Neutral,,,True,Alex Horley Orlandelli,伊利丹的哥哥玛法里奥把他关在海加尔山下长达一万年。怒风两兄弟真是不明白“家和万事兴”的道理。,Demon,True,,
Classic,伊瑟拉,12,Minion,EX1_572,,,Legendary,4,9,在你的回合结束时，获得一张梦境牌。,Neutral,,,True,Gabor Szikszai,伊瑟拉统治翡翠梦境。所谓翡翠梦境，究竟只是现实世界的绿色朦胧倒影，还是其它别的什么地方？,Dragon,True,,
Classic,伊瑟拉苏醒,,Spell,DREAM_02,Dream,,,,2,对除了伊瑟拉之外的所有角色造成$5点伤害。,,,,,,,,,,
Classic,伪装大师,4,Minion,NEW1_014,Rogue,,Rare,4,4,<b>战吼：</b>使一个友方随从获得<b>潜行</b>。,,Battlecry,,True,Ron Spencer,实际上“她”是一个男性牛头人。你以为随便哪个人都配得上“伪装大师”的名号吗？,,,,
Classic,伸张正义,,Enchantment,EX1_366e,Paladin,,,,,获得+1/+1。,,,,,,,,,,
Classic,伺机待发,,Enchantment,EX1_145o,Rogue,,,,,在本回合中，你所施放的下一个法术的法力值消耗减少（3）点。,,OneTurnEffect,,,,,,,,
