SET,NAME,TEXT,COST,FLAVOR,TYPE,ID,COLLECTIBLE,FACTION,RARITY,HEALTH,PLAYERCLASS,ARTIST,ATTACK,HOWTOGETGOLD,MECHANICS,HOWTOGET,DURABILITY,INPLAYTEXT,RACE
Basic,不不不,出于某种原因，你曾经拥有的一张牌被删除了。拿着这张牌吧，它将成为那张牌的替代品！,2,连它的卡牌描述都被删除了，真扫兴。,Spell,GAME_006,,,,,,,,,,,,,
Basic,乌瑟尔·光明使者,,,,Hero,HERO_04,True,Neutral,Free,30,Paladin,,,,,,,,
Basic,作战傀儡,,7,傀儡们从来不会胆怯，但是出于某种原因，当你对它们施放“恐惧”的时候，它们依然会逃跑。也许这就是天性？或是想要融入这个世界的渴望？,Minion,CS2_186,True,Neutral,Common,7,,Dave Kendall,7,潜行者达到51级后解锁。,,,,,
Basic,侏儒发明家,<b>战吼：</b>抽一张牌。,4,她从来不知道她想发明的是什么，她只知道要发明很棒的东西！,Minion,CS2_147,True,Alliance,Common,4,,Court Jones,2,牧师达到57级后解锁。,Battlecry,,,,
Basic,保护之手,使一个随从获得<b>圣盾</b>。,1,这个法术的名字已经被修改了太多次，导致连圣骑士们都不知道它应该叫什么了。,Spell,EX1_371,True,Neutral,Free,,Paladin,Clint Langley,,达到23级后解锁。,,达到1级后解锁。,,,
Basic,先祖治疗,为一个随从恢复所有生命值并使其获得<b>嘲讽</b>。,0,你能在战斗中能够召唤祖先的灵魂！所以，出生在一个强大的家族是很重要的！,Spell,CS2_041,True,Neutral,Free,,Shaman,Dan Scott,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,先祖眷顾,嘲讽,,,Enchantment,CS2_041e,,,,,Shaman,,,,Taunt,,,,
Basic,全副武装！,<b>英雄技能</b>获得2点护甲值。,2,,Hero Power,CS2_102,,Neutral,Free,,Warrior,,,,,,,,
Basic,冰霜新星,<b>冻结</b>所有敌方随从。,3,嘿，伙计，这会冻死你的。我是说真的。,Spell,CS2_026,True,Neutral,Common,,Mage,Josh Tallman,,达到23级后解锁。,Freeze,达到6级后解锁。,,,
Basic,冰霜震击,对一个敌方角色造成$1点伤害，并使其<b>冻结</b>。,1,年轻的萨满们可能没听说过《你与冰霜震击》这本书。,Spell,CS2_037,True,Neutral,Free,,Shaman,Alex Horley Orlandelli,,达到32级后解锁。,Freeze,达到1级后解锁。,,,
Basic,冰风雪人,,4,他梦想着有一天能够下山开一间拉面店。但他没有那个勇气。,Minion,CS2_182,True,Neutral,Common,5,,Mauro Cascioli,4,战士达到55级后解锁。,,,,,
Basic,冲锋,苔原犀牛使其获得<b>冲锋</b>。,,,Enchantment,DS1_178e,,,,,Hunter,,,,,,,,
Basic,冲锋,+2攻击力并获得<b>冲锋</b>。,,,Enchantment,CS2_103e2,,,,,Warrior,,,,,,,,
Basic,冲锋,使一个友方随从获得+2攻击力和<b>冲锋</b>。,3,“伙计们！伙计们！你们稳着点儿！”——某些不属于战士的随从。,Spell,CS2_103,True,Neutral,Free,,Warrior,Alex Horley Orlandelli,,达到23级后解锁。,,达到1级后解锁。,,,
Basic,冲锋,该随从获得<b>冲锋</b>。,,,Enchantment,EX1_084e,,,,,Warrior,,,,,,,,
Basic,刀扇,对所有敌方随从造成$1点伤害，抽一张牌。,3,转瞬即逝的寒光闪过，漫天飞舞的血花绽放。,Spell,EX1_129,True,Neutral,Common,,Rogue,Andrew Robinson,,达到29级后解锁。,,达到4级后解锁。,,,
Basic,列王守卫,<b>战吼：</b>为你的英雄恢复6点生命值。,7,神圣的造物从天而降...真是老掉牙的剧情！,Minion,CS2_088,True,Neutral,Common,6,Paladin,E.M. Gist,5,达到47级后解锁。,Battlecry,达到8级后解锁。,,,
Basic,利爪,在本回合中，你的英雄获得+1攻击力。,,,Enchantment,CS2_017o,,,,,Druid,,,,OneTurnEffect,,,,
Basic,刺客之刃,,5,只有真正的刺客才配拥有。如假包换。,Weapon,CS2_080,True,Neutral,Common,,Rogue,Brian Huang,3,达到32级后解锁。,,达到2级后解锁。,4,,
Basic,刺杀,消灭一个敌方随从。,5,要是你不想被人暗杀，躲到贫瘠之地，然后隐姓埋名。祝你好运！,Spell,CS2_076,True,Neutral,Free,,Rogue,Glenn Rane,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,剃刀猎手,<b>战吼：</b>召唤一个1/1的野猪。,3,有人曾经把塔丝克惹毛过一次。就一次。,Minion,CS2_196,True,Horde,Common,3,,Clint Langley,2,猎人达到55级后解锁。,Battlecry,,,,
Basic,力量祝福,使一个随从获得+3攻击力。,1,没有善，没有恶，也没有圣光。只有——力量！,Spell,CS2_087,True,Neutral,Free,,Paladin,Zoltan Boros,,达到45级后解锁。,,达到1级后解锁。,,,
Basic,力量祝福,+3攻击力。,,,Enchantment,CS2_087e,,Neutral,,,Paladin,,,,,,,,
Basic,加尔鲁什·地狱咆哮,,,,Hero,HERO_01,True,Neutral,Free,30,Warrior,,,,,,,,
Basic,动物伙伴,随机召唤一个野兽伙伴。,3,你可以召唤米莎，雷欧克或是霍弗！霍弗又没用，又爱惹麻烦！,Spell,NEW1_031,True,,Common,,Hunter,Wei Wang,,达到45级后解锁。,,达到2级后解锁。,,,
Basic,匕首精通,<b>英雄技能</b>装备一把1/2的匕首。,2,,Hero Power,CS2_083b,,Neutral,Free,,Rogue,,,,,,,,
Basic,北郡牧师,每当一个随从获得治疗时，抽一张牌。,1,她们帮助被压迫和沮丧的人们。她们也卖饼干。,Minion,CS2_235,True,,Free,3,Priest,Terese Nielsen,1,达到40级后解锁。,HealTarget,达到1级后解锁。,,,
Basic,变形,<b>英雄技能</b>本回合+1攻击力。+1护甲值。,2,,Hero Power,CS2_017,,Neutral,Free,,Druid,,,,,,,,
Basic,变形术,该随从被变形成为1/1的绵羊。,,,Enchantment,CS2_022e,,Neutral,Common,,Mage,,,,Morph,,,,
Basic,变形术,使一个随从变形成为1/1的绵羊。,4,你能想象一个嗜血的兽人发出咩咩的叫声吗？,Spell,CS2_022,True,Neutral,Free,,Mage,Vance Kovacs,,达到47级后解锁。,,达到1级后解锁。,,,
Basic,古尔丹,,,,Hero,HERO_07,True,Neutral,Free,30,Warlock,,,,,,,,
Basic,古拉巴什狂暴者,每当该随从受到伤害，便获得+3攻击力。,5,如果那些伤痛没能让你死掉，它们就会让你更强大。,Minion,EX1_399,True,Neutral,Common,7,,Alex Horley Orlandelli,2,术士达到57级后解锁。,,,,,
Basic,吉安娜·普罗德摩尔,,,,Hero,HERO_08,True,Neutral,Free,30,Mage,,,,,,,,
Basic,吸取生命,造成$2点伤害，为你的英雄恢复#2点生命值。,3,“我只是减少了你一年的寿命而已。”,Spell,CS2_061,True,Neutral,Free,,Warlock,Alex Horley Orlandelli,,达到45级后解锁。,,达到1级后解锁。,,,
Basic,嗜血,在本回合中，使你的随从获得+3攻击力。,5,呜啊哇哇哇哇哇！,Spell,CS2_046,True,Neutral,Common,,Shaman,Luca Zontini,,达到40级后解锁。,,达到2级后解锁。,,,
Basic,嗜血,在本回合中，获得+3攻击力。,,,Enchantment,CS2_046e,,,,,Shaman,,,,OneTurnEffect,,,,
Basic,团队领袖,你的其他随从获得+1攻击力。,3,“谁再敢OT的，扣掉50DKP！”,Minion,CS2_122,True,,Free,2,,Phill Gonzales,2,战士达到57级后解锁。,Aura,,,,
Basic,图腾之力,+2生命值。,,,Enchantment,EX1_244e,,,,,Shaman,,,,,,,,
Basic,图腾之力,使你的图腾获得+2生命值。,0,禁止踩踏图腾。,Spell,EX1_244,True,Neutral,Common,,Shaman,Trent Kaniuga,,达到28级后解锁。,,达到6级后解锁。,,,
Basic,图腾召唤,<b>英雄技能</b>随机召唤一个图腾。,2,,Hero Power,CS2_049,,Neutral,Free,,Shaman,,,,,,,,
Basic,圣光术,恢复#6点生命值。,2,如果你经常暴露于圣光之下，你应该考虑随身带着防晒霜。,Spell,CS2_089,True,Neutral,Free,,Paladin,Zoltan & Gabor,,达到15级后解锁。,,达到1级后解锁。,,,
Basic,圣光的正义,,1,玛克扎尔王子收集了不少稀有的武器，他赋予它们生命，并让它们为他起舞。,Weapon,CS2_091,True,Neutral,Free,,Paladin,Glenn Rane,1,达到36级后解锁。,,达到1级后解锁。,4,,
Basic,地狱烈焰,对所有角色造成$3点伤害。,4,鸟尽弓藏，兔死狗烹，术士才不需要什么忠心耿耿的随从。,Spell,CS2_062,True,Neutral,Free,,Warlock,Chippy,,达到49级后解锁。,,达到1级后解锁。,,,
Basic,埃隆巴克保护者,<b>嘲讽</b>,8,我打赌你一定不敢进攻达纳苏斯。,Minion,CS2_232,True,Neutral,Common,8,Druid,Dave Allsop,8,达到49级后解锁。,Taunt,达到10级后解锁。,,,
Basic,多重射击,对两个随机敌方随从造成$3点伤害。,4,看见没，我完全可以“一心两用”。,Spell,DS1_183,True,Neutral,Free,,Hunter,Benjamin Zhang,,达到36级后解锁。,,达到1级后解锁。,,,
Basic,夜刃刺客,<b>战吼：</b>对敌方英雄造成3点伤害。,5,你的脸可能是你最不希望被刀子碰到的地方，但却是潜行者们最喜欢下手的地方。,Minion,EX1_593,True,Neutral,Free,4,,Raymond Swanland,4,德鲁伊达到53级后解锁。,Battlecry,,,,
Basic,大法师,<b>法术伤害+1</b>,6,只要你能消灭任何质疑你的头衔的人，你就能获得“大法师”的头衔。,Minion,CS2_155,True,Alliance,Common,7,,Steve Ellis,4,法师达到57级后解锁。,Spellpower,,,,
Basic,天空之眼,雷欧克使该随从获得+1攻击力。,,,Enchantment,NEW1_033o,,,,,Hunter,,,,,,,,
