COLLECTIBLE,SET,NAME,ARTIST,TEXT,RARITY,COST,HOWTOGETGOLD,FLAVOR,HOWTOGET,TYPE,ID,PLAYERCLASS,HEALTH,ELITE,ATTACK,RACE,MECHANICS,DURABILITY,FACTION
True,Blackrock Mountain,严正警戒,Jaime Jones,抽两张牌。在本回合中每有一个随从死亡，该牌的法力值消耗就减少（1）点。,Common,5,在完成黑石山的圣骑士职业挑战后能够制作。,每年这个时候，矮人们都聚集在黑石山下，悼念那些被炎魔控制了心智，葬身熔岩之中的同胞们。,在完成黑石山的圣骑士职业挑战后解锁。,Spell,BRM_001,Paladin,,,,,,,
,Blackrock Mountain,乱石滚动,,召唤3个火誓者。<b>过载：</b>（2）,,3,,,,Spell,BRMA04_4,,,,,,,,
,Blackrock Mountain,乱石滚动,,召唤3个火誓者。<b>过载：</b>（2）,,3,,,,Spell,BRMA04_4H,,,,,,,,
,Blackrock Mountain,充能,,充满所有空的法力水晶。,,0,,,,Spell,BRMA14_11,,,,,,,,
,Blackrock Mountain,克洛玛古斯,,,,,,,,Hero,BRMA12_1,,30,,,,,,
,Blackrock Mountain,克洛玛古斯,,,,,,,,Hero,BRMA12_1H,,60,,,,,,
True,Blackrock Mountain,克洛玛古斯,Todd Lockwood,每当你抽一张牌时，复制该牌并加入你的手牌。,Legendary,8,在击败黑翼之巢的所有首领后能够制作。,当两个头都无法说服对方晚餐到底吃什么的时候，它通常都会去拉面店解决问题。,在击败黑翼之巢的所有首领后解锁。,Minion,BRM_031,,8,True,6,Dragon,,,
,Blackrock Mountain,全能金刚防御系统,,,,,,,,Hero,BRMA14_1,,30,,,,,,
,Blackrock Mountain,全能金刚防御系统,,,,,,,,Hero,BRMA14_1H,,30,,,,,,
,Blackrock Mountain,剧毒金刚,,在你的回合开始时，对所有其他随从造成1点伤害。,Legendary,1,,,,Minion,BRMA14_5,,3,True,3,Mech,,,
,Blackrock Mountain,剧毒金刚,,在你的回合开始时，对所有其他随从造成1点伤害。,Legendary,1,,,,Minion,BRMA14_5H,,4,True,4,Mech,,,
,Blackrock Mountain,力量药剂,,+2/+2。,,,,,,Enchantment,BRMA15_2He,,,,,,,,
,Blackrock Mountain,加尔,,,,,,,,Hero,BRMA04_1,,30,,,,,,
,Blackrock Mountain,加尔,,,,,,,,Hero,BRMA04_1H,,45,,,,,,
,Blackrock Mountain,变异,,<b>英雄技能</b>随机弃一张牌。,,1,,,,Hero Power,BRMA12_10,,,,,,,,
,Blackrock Mountain,回响之锣,,摧毁你的对手的武器。,,1,,,,Spell,BRMA16_4,,,,,,,,
,Blackrock Mountain,回音定位,,<b>英雄技能</b>装备一把武器，每当你的对手使用牌时，该武器就会增强。,,0,,,,Hero Power,BRMA16_2H,,,,,,,,
,Blackrock Mountain,回音定位,,<b>英雄技能</b>装备一把武器，每当你的对手使用牌时，该武器就会增强。,,1,,,,Hero Power,BRMA16_2,,,,,,,,
,Blackrock Mountain,堕落的瓦拉斯塔兹,,,,,,,,Hero,BRMA11_1H,,30,,,,,,
,Blackrock Mountain,堕落的瓦拉斯塔兹,,,,,,,,Hero,BRMA11_1,,30,,,,,,
True,Blackrock Mountain,复仇打击,Ben Olson,对所有随从造成$1点伤害。如果你的生命值小于或等于12点，则改为造成$3点伤害。,Rare,2,在击败黑翼之巢的拉佐格尔后能够制作。,过去战士总是抱怨致死打击不如火球术，现在他们总算报仇了，因为复仇打击可比魔爆术好多了。,在击败黑翼之巢的拉佐格尔后解锁。,Spell,BRM_015,Warrior,,,,,,,
True,Blackrock Mountain,复活术,Luke Mancini,随机召唤一个在本局对战中死亡的友方随从。,Rare,2,在击败黑石深渊的索瑞森大帝后能够制作。,我走进了幽暗的地下城，发现了一具冒险者的尸体。在他生命中最后的时刻，他在身边满是灰尘的墙上划出了两个数字：“99”。,在击败黑石深渊的索瑞森大帝后解锁。,Spell,BRM_017,Priest,,,,,,,
,Blackrock Mountain,多彩变形,,将一个随从变形成为2/2的多彩龙人。,,2,,,,Spell,BRMA12_8,,,,,,,,
,Blackrock Mountain,多彩幼龙,,,,4,,,,Minion,BRMA10_5,,3,,7,,,,
,Blackrock Mountain,多彩幼龙,,,,4,,,,Minion,BRMA10_5H,,7,,7,,,,
,Blackrock Mountain,多彩龙人,,<b>嘲讽</b>,,2,,,,Minion,BRMA17_7,,4,,1,,Taunt,,
,Blackrock Mountain,多彩龙人,,每当你的对手施放一个法术，便获得+2/+2。,,2,,,,Minion,BRMA12_8t,,3,,2,Dragon,,,
,Blackrock Mountain,多彩龙人,,,,,,,,Hero,BRMA12_9,,30,,,,,,
True,Blackrock Mountain,夜幕奇袭,Jim Nelson,选择一个随从。将该随从的3个复制洗入你的牌库。,Common,2,在通过黑石深渊的黑铁竞技场后能够制作。,如果你想要拜访月溪镇，最好别太张扬。,在通过黑石深渊的黑铁竞技场后解锁。,Spell,BRM_007,Rogue,,,,,,,
,Blackrock Mountain,奈法利安,,,,,,,,Hero,BRMA13_3H,,30,,,,,,
