SET,NAME,ELITE,TEXT,RARITY,ATTACK,COST,HEALTH,TYPE,ID
Credits,Andy Brock,True,无法被<b>沉默，圣盾，潜行</b>。,Legendary,1,1,3,Minion,CRED_15
Credits,Ben Brode,True,你的嗓音始终处于最大状态，无法下调。,Legendary,4,3,1,Minion,CRED_08
Credits,Ben Thompson,True,<b>战吼：</b>抽几张牌。使劲。,Legendary,4,6,7,Minion,CRED_09
Credits,Bob Fitch,True,<b>超级嘲讽</b> <i>（所有角色必须攻击该随从。）</i>,Legendary,2,3,4,Minion,CRED_03
Credits,Brian Schwab,True,在你的回合结束时，使一个随机随从获得+1攻击力。,Legendary,10,10,10,Minion,CRED_13
Credits,Derek Sakamoto,True,<i>臭名昭著的大嘴巴。</i>,Legendary,3,1,1,Minion,CRED_06
Credits,Eric Dodds,True,<b>战吼：</b>召唤一个2/2的海盗并消灭所有忍者。,Legendary,5,6,5,Minion,CRED_02
Credits,Hamilton Chu,True,<i>问题不会出在我身上！...大部分时候是这样。</i>,Legendary,9,7,5,Minion,CRED_16
Credits,Jason Chayes,True,<b>激怒：</b>开玩笑的，他从来不会被激怒。,Legendary,7,6,6,Minion,CRED_01
Credits,Jay Baxter,True,<b>战吼：</b>召唤五个随机发明。,Legendary,1,4,4,Minion,CRED_11
Credits,Kyle Harrison,True,<i>3点召唤一个5/4的大块头？这可真划算！</i>,Legendary,5,3,4,Minion,CRED_05
Credits,Michael Schweitzer,True,<b>连-连-连-连击：</b>消灭一个随从。,Legendary,2,2,2,Minion,CRED_10
Credits,Rachelle Davis,True,<b>战吼：</b>抓两张牌。<i>她才不是工程师学徒呢。</i>,Legendary,1,2,2,Minion,CRED_12
Credits,Rob Pardo,True,如果你的套牌中没有该随从，则你无法开始任何比赛。,Legendary,9,9,9,Minion,CRED_17
Credits,Steven Gabriel,True,<b>战吼：</b>召唤一杯冰镇饮料。,Legendary,3,1,3,Minion,CRED_04
Credits,Yong Woo,True,你的其他随从获得+3攻击力并具有<b>冲锋</b>。,Legendary,3,5,2,Minion,CRED_14
Credits,Zwick,True,<b>战吼：</b>抱怨火腿的价格。,Legendary,2,2,2,Minion,CRED_07
